Unnamed: 0,Duelos_Ofensivos_Ganhos,Pisadas_Área,Dribles_BemSucedidos,Acelerações,Passes_Longos_Recebidos,xG,Finalizações_NoAlvo,Conversão_Gols,xA,Assistência_Finalização,Deep_Completions,Deep_Completed_Crosses,Passes_Chave,Rating,Atleta,Equipe,Equipe_Janela_Análise,Posição,Posição_Wyscout,Código_Posição_Wyscout,Idade,Valor_Mercado,Fim_Contrato,Jogos,Minutos,Nacionalidade,Passaporte,Pé,Altura,Peso,Empréstimo,Liga,Base,Versão_Temporada,Role,L_Rating,L_Ranking,Size,L_Percentil,Duelos_Ofensivos_Ganhos_LM,Pisadas_Área_LM,Dribles_BemSucedidos_LM,Acelerações_LM,Passes_Longos_Recebidos_LM,xG_LM,Finalizações_NoAlvo_LM,Conversão_Gols_LM,xA_LM,Assistência_Finalização_LM,Deep_Completions_LM,Deep_Completed_Crosses_LM,Passes_Chave_LM,Duelos_Ofensivos_Ganhos_Rank,Pisadas_Área_Rank,Dribles_BemSucedidos_Rank,Acelerações_Rank,Passes_Longos_Recebidos_Rank,xG_Rank,Finalizações_NoAlvo_Rank,Conversão_Gols_Rank,xA_Rank,Assistência_Finalização_Rank,Deep_Completions_Rank,Deep_Completed_Crosses_Rank,Passes_Chave_Rank,Duelos_Ofensivos_Ganhos_Percentil,Pisadas_Área_Percentil,Dribles_BemSucedidos_Percentil,Acelerações_Percentil,Passes_Longos_Recebidos_Percentil,xG_Percentil,Finalizações_NoAlvo_Percentil,Conversão_Gols_Percentil,xA_Percentil,Assistência_Finalização_Percentil,Deep_Completions_Percentil,Deep_Completed_Crosses_Percentil,Passes_Chave_Percentil
2,0.922372,0.98,0.916919,0.8,0.787302,0.2,0.75574,0.392167,0.612903,0.530303,0.848921,0.888889,0.607143,1.0,Arthur Gomes,Cruzeiro,Cruzeiro,"LW, LAMF, LWF",LW,10,25,4000000,2027-06-30,11,889,Brazil,Brazil,right,174,69,no,MG,Testing,2024,Extremo Agudo,1.0,1,21,95,0.63254,0.56381,0.526879,0.547368,0.389418,0.387302,0.495099,0.334773,0.417819,0.395863,0.426173,0.439432,0.45805,2,2.0,2,6.0,2.0,17.5,3.0,7.0,6.5,7.0,2.0,3.0,8.0,90,90,90,71,90,16,85,66,69,66,90,85,61
20,0.809207,0.5,0.832809,0.326316,0.473016,0.9,0.685582,0.357133,1.0,1.0,0.302158,0.923977,1.0,0.98761,Pedro Oliveira,Democrata GV,Democrata GV,"LAMF, LW",LAMF,10,25,0,,11,969,Brazil,Brazil,right,176,68,no,MG,Testing,2024,Extremo Agudo,0.988,2,21,90,0.63254,0.56381,0.526879,0.547368,0.389418,0.387302,0.495099,0.334773,0.417819,0.395863,0.426173,0.439432,0.45805,7,12.0,3,15.0,6.0,2.0,7.0,8.0,1.0,1.0,14.0,2.0,1.0,66,42,85,28,71,90,66,61,95,95,33,90,95
19,1.0,1.0,1.0,0.178947,1.0,0.566667,0.171895,0.0,0.677419,0.560606,0.431655,0.871345,0.761905,0.936789,Richard Cossoniche,Democrata GV,Democrata GV,"RAMF, RW, LAMF",RAMF,10,22,0,,10,848,Brazil,Brazil,right,169,62,no,MG,Testing,2024,Extremo Agudo,0.937,3,21,85,0.63254,0.56381,0.526879,0.547368,0.389418,0.387302,0.495099,0.334773,0.417819,0.395863,0.426173,0.439432,0.45805,1,1.0,1,17.0,1.0,4.0,19.0,19.0,5.0,5.0,9.0,4.0,4.0,95,95,95,19,95,80,9,9,76,76,57,80,80
6,0.280212,0.977143,0.359522,0.926316,0.612698,0.333333,0.286885,0.512833,0.612903,0.550505,0.553957,1.0,0.809524,0.870853,Welinton Torrão,Athletic Club,Athletic Club,"RAMF, RW, LW",RAMF,10,24,100000,,10,790,Brazil,Brazil,right,183,75,no,MG,Testing,2024,Extremo Agudo,0.871,4,21,80,0.63254,0.56381,0.526879,0.547368,0.389418,0.387302,0.495099,0.334773,0.417819,0.395863,0.426173,0.439432,0.45805,19,3.0,17,3.5,3.0,12.5,17.0,4.0,6.5,6.0,8.0,1.0,3.0,9,85,19,83,85,40,19,80,69,71,61,95,85
14,0.910819,0.791429,0.65283,0.852632,0.425397,0.366667,0.408737,0.2564,0.354839,0.343434,0.676259,0.140351,0.714286,0.868658,Rafinha,Tombense,Tombense,"LW, LAMF, LWF",LW,10,24,0,,8,749,Brazil,Brazil,,0,0,no,MG,Testing,2024,Extremo Agudo,0.869,5,21,76,0.63254,0.56381,0.526879,0.547368,0.389418,0.387302,0.495099,0.334773,0.417819,0.395863,0.426173,0.439432,0.45805,3,4.0,7,5.0,11.0,9.0,12.0,12.0,12.0,12.0,4.0,18.0,5.0,85,80,66,76,47,57,42,42,42,42,80,14,76
3,0.861016,0.445714,0.683741,0.715789,0.428571,0.333333,0.372938,0.208333,0.935484,0.621212,1.0,0.730994,0.833333,0.862103,Vitor Jacaré,América Mineiro,América Mineiro,"LW, LAMF, RW",LW,10,24,1400000,,9,647,Brazil,Brazil,right,178,72,no,MG,Testing,2024,Extremo Agudo,0.862,6,21,71,0.63254,0.56381,0.526879,0.547368,0.389418,0.387302,0.495099,0.334773,0.417819,0.395863,0.426173,0.439432,0.45805,6,16.0,6,7.5,10.0,12.5,15.0,16.0,2.5,3.5,1.0,6.0,2.0,71,23,71,64,52,40,28,23,88,83,95,71,90
8,0.733818,0.634286,0.432395,0.989474,0.346032,0.6,0.95004,0.0,0.193548,0.469697,0.345324,0.181287,0.559524,0.754639,Thiaguinho,Pouso Alegre,Pouso Alegre,"LW, LWF, LAMF",LW,10,25,0,,9,580,Brazil,Brazil,right,173,66,no,MG,Testing,2024,Extremo Agudo,0.755,7,21,66,0.63254,0.56381,0.526879,0.547368,0.389418,0.387302,0.495099,0.334773,0.417819,0.395863,0.426173,0.439432,0.45805,10,6.5,14,2.0,14.0,3.0,2.0,19.0,16.0,8.0,12.0,15.0,9.0,52,69,33,90,33,85,90,9,23,61,42,28,57
16,0.88163,0.637143,0.82999,0.010526,0.498413,0.166667,0.561083,0.2564,0.451613,0.313131,0.798561,0.274854,0.369048,0.746266,Marcílio,Patrocinense,Patrocinense,"LW, RW, RAMF",LW,10,24,0,,9,577,Brazil,Brazil,left,170,70,no,MG,Testing,2024,Extremo Agudo,0.746,8,21,61,0.63254,0.56381,0.526879,0.547368,0.389418,0.387302,0.495099,0.334773,0.417819,0.395863,0.426173,0.439432,0.45805,5,5.0,5,20.0,5.0,19.0,10.0,12.0,9.0,14.0,3.0,12.0,13.0,76,76,76,4,76,9,52,42,57,33,85,42,38
13,0.704279,0.631429,0.531946,0.147368,0.35873,0.366667,1.0,0.2564,0.387097,0.429293,0.417266,0.169591,0.345238,0.711735,Felipinho,Tombense,Tombense,"RW, AMF, RAMF",RW,10,21,0,,8,622,Brazil,Brazil,left,179,70,no,MG,Testing,2024,Extremo Agudo,0.712,9,21,57,0.63254,0.56381,0.526879,0.547368,0.389418,0.387302,0.495099,0.334773,0.417819,0.395863,0.426173,0.439432,0.45805,11,8.0,10,18.0,13.0,9.0,1.0,12.0,11.0,9.0,10.0,16.0,14.0,47,61,52,14,38,57,95,42,47,57,52,23,33
10,0.40893,0.48,0.370016,1.0,0.466667,0.333333,0.716378,0.0,0.935484,0.681818,0.0,0.561404,0.654762,0.693113,Gabriel Neto,Pouso Alegre,Pouso Alegre,RW,RW,10,23,0,,10,654,Brazil,Brazil,unknown,0,0,no,MG,Testing,2024,Extremo Agudo,0.693,10,21,52,0.63254,0.56381,0.526879,0.547368,0.389418,0.387302,0.495099,0.334773,0.417819,0.395863,0.426173,0.439432,0.45805,18,14.5,15,1.0,8.0,12.5,6.0,19.0,2.5,2.0,21.0,9.0,7.0,14,30,28,95,61,40,71,9,88,90,0,57,66
