Unnamed: 0,Atleta,Equipe,Equipe_Janela_Análise,Posição,Posição_Wyscout,Código_Posição_Wyscout,Idade,Valor_Mercado,Fim_Contrato,Jogos,Minutos,Nacionalidade,Passaporte,Pé,Altura,Peso,Empréstimo,Ações_Defensivas_BemSucedidas,Duelos_Defensivos_Ganhos,Passes_Frontais_Certos,Passes_Progressivos_Certos,Duelos_Ofensivos_Ganhos,xG,xA,Liga,Base,Versão_Temporada,RF_Rating,ET_Rating,Rating
9,Emerson Negueba,Botafogo SP,Botafogo SP,"RWF, RW, RB",RWF,11,23,400000,2026-12-31,12,704,Brazil,Brazil,right,175,75,yes,4.22,1.917392,2.17212,1.280064,6.137193999999999,0.06,0.07,SP,Testing,2024,0.1652912370496584,0.1696914478589497,0.167491342454304
10,Fernandinho,Mirassol,Mirassol,"LW, LAMF",LW,10,26,400000,,11,735,Brazil,Brazil,right,175,70,no,6.86,3.794091,2.572696,1.5925,6.857308999999999,0.11,0.1,SP,Testing,2024,0.5852157595975831,0.6222411453291772,0.6037284524633801
11,Waguininho,Grêmio Novorizontino,Grêmio Novorizontino,"RW, LW, RWF",RW,10,34,400000,,14,984,Brazil,Brazil,right,177,75,no,4.39,1.739464,3.20328,2.19424,2.013092,0.2,0.14,SP,Testing,2024,0.3727630423993903,0.3945085313487491,0.3836357868740697
12,Pablo Diogo,Ituano,Ituano,"RAMF, LW, RW",RAMF,10,31,350000,,10,716,Brazil,Brazil,right,175,67,no,7.76,3.021494,6.75876,4.742014,1.58,0.07,0.11,SP,Testing,2024,0.9290951740795169,0.956863114330893,0.9429791442052049
13,Reinaldo,Guarani,Guarani,"RAMF, RW, LW",RAMF,10,22,300000,,12,892,Brazil,Brazil,right,177,73,no,5.45,3.12784,2.220344,2.520361,4.439679999999999,0.1,0.26,SP,Testing,2024,0.6654786984676736,0.6647704926550981,0.6651245955613858
14,Iago Dias,Ponte Preta,Ponte Preta,"LW, LCMF, CF",LW,10,30,300000,,9,692,Brazil,Brazil,right,175,74,no,2.99,1.56,2.34,1.169987,3.639467,0.24,0.01,SP,Testing,2024,0.02085105110987226,0.0526974361487148,0.03677424362929353
15,Felipe Marques,Portuguesa,Portuguesa,"LWF, LCMF, RAMF",LWF,11,34,300000,,10,625,Brazil,Brazil,right,168,0,no,3.6,1.870812,2.0125,1.005512,3.456803,0.17,0.02,SP,Testing,2024,0.0,0.0,0.0
16,Rômulo,Grêmio Novorizontino,Grêmio Novorizontino,"LW, LWF",LW,10,22,300000,2025-06-30,13,1058,Brazil,Brazil,right,175,64,no,4.34,2.380204,3.060085,2.55402,2.89432,0.21,0.15,SP,Testing,2024,0.5674642624758713,0.5577515051596595,0.5626078838177655
17,Keké,Água Santa,Água Santa,"LW, LAMF, LWF",LW,10,28,250000,,11,634,Brazil,Brazil,right,177,71,yes,5.54,3.692,1.700742,1.986766,4.257841,0.06,0.01,SP,Testing,2024,0.5696384633805127,0.5605045408493745,0.5650715021149436
18,Lucas Tocantins,São Bernardo FC,São Bernardo FC,"RW, RWF, CF",RW,10,29,200000,2024-04-10,11,771,Brazil,Brazil,right,180,76,no,4.91,2.526521999999999,1.93128,1.336139,4.760541,0.1,0.15,SP,Testing,2024,0.3274629304794556,0.3559680641819691,0.3417154973307124
19,Éverton Brito,Inter de Limeira,Inter de Limeira,"RW, RWF",RW,10,28,200000,,11,837,Brazil,Brazil,right,170,66,no,4.37,2.3634,3.895273,3.660976,3.07125,0.18,0.05,SP,Testing,2024,0.7512517765505882,0.7599900980643035,0.7556209373074458
20,Victor Andrade,Portuguesa,Portuguesa,"LW, LAMF, CF",LW,10,28,200000,,8,561,Brazil,Brazil,right,178,72,no,5.94,1.7655,3.047021,2.728835,15.24022,0.11,0.05,SP,Testing,2024,0.5225854950674423,0.5768495429662599,0.5497175190168511
21,Juninho,Inter de Limeira,Inter de Limeira,LW,LW,10,28,175000,2024-04-10,7,520,Brazil,Brazil,right,170,72,no,4.41,2.005203,3.006,2.405594,3.407214,0.33,0.2,SP,Testing,2024,0.4780503547520777,0.5051002900657615,0.4915753224089196
22,Patrick Brey,Botafogo SP,Botafogo SP,"LW, LWB, LAMF",LW,10,26,125000,,11,574,Brazil,"Brazil, Germany",left,177,67,no,7.37,3.762,4.5472,3.91906,3.449662,0.06,0.03,SP,Testing,2024,0.8507489968450307,0.9047598018447796,0.8777543993449051
23,Pablo Thomaz,Guarani,Guarani,"LW, CF, LWF",LW,10,24,75000,,7,541,Brazil,Brazil,right,180,63,no,5.82,2.829086,1.831293,0.998265,3.6608,0.38,0.02,SP,Testing,2024,0.2792259021848931,0.2884694401990961,0.2838476711919946
24,Bruno Xavier,Água Santa,Água Santa,"RW, LAMF, RAMF",RW,10,27,50000,2024-04-10,11,875,Brazil,Brazil,right,178,71,no,3.91,1.438264,1.4392,1.438744,1.644465,0.1,0.12,SP,Testing,2024,0.0549929315072665,0.07098733576176391,0.06299013363451521
25,Negueba,Mirassol,Mirassol,"RW, RAMF",RW,10,24,50000,2025-12-09,12,929,Brazil,Brazil,right,171,62,no,6.59,3.48816,4.36149,2.421072000000001,3.196296,0.16,0.1,SP,Testing,2024,0.8401618984351694,0.8420814067417974,0.8411216525884835
26,Wesley Gassova,Corinthians,Corinthians,"LWF, LW",LWF,11,18,0,,11,648,Brazil,Brazil,right,175,71,no,3.33,2.083756,3.88613,4.163678,10.140572,0.13,0.1,SP,Testing,2024,0.8999623231766593,0.839875441814868,0.8699188824957635
27,Bruno Michel,Santo André,Santo André,"LAMF, RW, CF",LAMF,10,24,0,,10,519,Brazil,Brazil,left,166,71,no,4.16,2.257238,4.335561,3.293472,7.802809999999999,0.23,0.12,SP,Testing,2024,0.8722730737699308,0.7989605633192305,0.8356168185445807
28,Matheus Régis,São Bernardo FC,São Bernardo FC,"LWF, LW, RW",LWF,11,24,0,2026-01-30,12,717,Brazil,Brazil,right,181,72,no,4.6,3.206647999999999,1.113874,0.2799719999999999,4.742354000000001,0.32,0.01,SP,Testing,2024,0.07617267098936045,0.1105417192775507,0.0933571951334556
29,Silvinho,São Bernardo FC,São Bernardo FC,"LW, CF, RW",LW,10,33,0,,10,567,Brazil,Brazil,right,174,72,no,4.31,1.766901,3.13854,2.15875,3.333252,0.26,0.04,SP,Testing,2024,0.2807957522123805,0.3316474457383868,0.3062215989753837
