Unnamed: 0,Atleta,Equipe,Equipe_Janela_Análise,Posição,Posição_Wyscout,Código_Posição_Wyscout,Idade,Valor_Mercado,Fim_Contrato,Jogos,Minutos,Nacionalidade,Passaporte,Pé,Altura,Peso,Empréstimo,Ações_Defensivas_BemSucedidas,Duelos_Defensivos_Ganhos,Duelos_Aéreos_Ganhos,Passes_Longos_Certos,Passes_Progressivos_Certos,Passes_Laterais_Certos,Ações_Ofensivas_BemSucedidas,Duelos_Ofensivos_Ganhos,Pisadas_Área,Dribles_BemSucedidos,Corridas_Progressivas,Acelerações,xA,Assistência_Finalização,Passes_TerçoFinal_Certos,Deep_Completions,Deep_Completed_Crosses,Passes_ÁreaPênalti_Certos,Liga,Base,Versão_Temporada,RF_Rating,ET_Rating,Rating
0,Guilherme Arana,Atlético Mineiro,Atlético Mineiro,"LB, LWB",LB,1,26,12000000,2027-12-31,10,994,Brazil,Brazil,left,176,66,no,6.43,2.264724,1.27,1.357768,8.418567000000001,12.76803,2.35,2.353451,1.27,1.267296,1.99,0.63,0.14,0.54,5.521634000000001,0.27,0.81,0.907034,MG,Testing,2024,0.7646951426061099,0.7510772709002189,0.7578862067531645
1,R. Saravia,Atlético Mineiro,Atlético Mineiro,"RB, RCB, RWB",RB,1,30,2500000,2025-12-31,9,650,Argentina,Argentina,right,178,73,no,7.75,4.846500000000001,1.24875,1.2456,6.783215999999999,6.786777000000001,1.66,1.799226,0.0,1.108516,1.66,1.8,0.04,0.83,5.125974,0.28,0.55,1.108516,MG,Testing,2024,0.3737737343736111,0.4242167216879962,0.3989952280308037
2,William Furtado,Cruzeiro,Cruzeiro,"RB, RWB",RB,1,28,2000000,2024-12-31,11,1021,Brazil,Brazil,right,176,68,no,9.96,4.674552,1.235661,1.850376,6.608114999999999,9.957666,3.17,1.674195,1.85,0.793654,1.23,0.35,0.2,1.41,3.08654,1.06,1.76,2.29,MG,Testing,2024,0.7735007257142137,0.7545859236130774,0.7640433246636457
3,Marlon,Cruzeiro,Cruzeiro,"LB, LWB",LB,1,26,2000000,2026-12-31,9,906,Brazil,Brazil,left,174,68,no,8.94,4.86855,1.0912,2.484216,5.762159999999999,11.226761,1.49,1.29,0.79,0.4954050000000001,1.39,0.5,0.06,0.79,5.06377,0.3,0.7,0.5957539999999999,MG,Testing,2024,0.4352873571697778,0.4878570854986024,0.4615722213341902
4,Marlon,América Mineiro,América Mineiro,LB,LB,1,30,700000,2025-12-31,8,729,Brazil,Brazil,left,177,69,no,10.99,6.419957999999999,0.4932839999999999,1.731008,6.295833,8.398000000000001,3.58,3.085588,1.11,1.8525,2.72,0.99,0.19,0.86,3.459256,0.49,1.11,1.1115,MG,Testing,2024,0.6666680090112287,0.6392147873680442,0.6529413981896365
5,Bryan,Itabirito,Itabirito,LB,LB,1,31,300000,,9,890,Brazil,Brazil,left,177,72,no,5.46,2.124,1.113222,2.8336,5.766178,7.077172999999999,1.11,1.618864,0.71,0.0,0.81,0.1,0.14,1.21,3.640182,0.3,0.3,0.808808,MG,Testing,2024,0.2069326288294636,0.1992271460138812,0.2030798874216724
6,Yuri,Athletic Club,Athletic Club,LB,LB,1,28,200000,2024-04-10,10,938,Brazil,Brazil,left,175,74,no,8.16,4.412583,0.864773,2.208,4.606452,8.92257,2.21,2.301992,1.15,1.537066,0.96,0.29,0.09,0.77,2.593227,0.38,0.67,0.7658099999999999,MG,Testing,2024,0.271928559090464,0.2943997605126702,0.2831641598015671
7,Douglas Pelé,Athletic Club,Athletic Club,"RB, RAMF, RW",RB,1,24,100000,,11,1176,Brazil,Brazil,right,171,69,no,6.43,3.2895,1.3,1.45376,4.667574,5.889488000000001,3.52,3.751924,1.45,2.449548000000001,1.68,1.22,0.1,1.15,2.528036,0.38,0.99,0.995694,MG,Testing,2024,0.3316741632772145,0.3503482448787656,0.3410112040779901
8,Emerson,Tombense,Tombense,LB,LB,1,25,100000,,7,666,Brazil,Brazil,left,179,73,no,8.11,3.91795,1.754973,1.35,4.4616,10.40682,1.76,2.162208,0.27,1.08,1.49,1.08,0.02,0.54,2.699892,0.0,0.54,0.54,MG,Testing,2024,0.04878536618109058,0.1175674781897167,0.08317642218540365
9,Pedro Costa,Tombense,Tombense,RB,RB,1,30,50000,,8,829,Brazil,Brazil,right,184,80,no,8.58,4.019975000000001,0.432684,2.820141,8.468148,11.727016,4.45,2.497665,0.54,2.390857,2.17,0.87,0.1,1.3,3.473225,0.33,1.95,2.06302,MG,Testing,2024,0.8619050004824655,0.8714359573380772,0.8666704789102715
10,Léo Príncipe,Pouso Alegre,Pouso Alegre,RB,RB,1,27,10000,,10,797,Brazil,Brazil,right,173,68,no,8.92,4.51875,0.7905070000000001,2.257552,4.968445999999999,5.423148,1.81,1.804059,1.69,1.015782,1.24,0.45,0.1,1.02,2.710402,0.9,0.68,0.7891360000000001,MG,Testing,2024,0.2931811563488386,0.3098334903280367,0.3015073233384377
11,Vinicio,Pouso Alegre,Pouso Alegre,LB,LB,1,23,0,,10,975,Brazil,Brazil,unknown,175,0,no,7.94,3.60158,1.291148,1.65942,6.001481999999999,6.188016,2.4,2.028935,0.09,1.202574,1.57,0.28,0.05,0.46,3.320844,0.65,1.02,1.845622,MG,Testing,2024,0.3072111978839171,0.3830005284247112,0.3451058631543142
12,Ynaiã,Athletic Club,Athletic Club,"RB, LB",RB,1,24,0,,11,687,Brazil,Brazil,right,172,67,no,8.78,4.062506,0.655,2.095869,4.325922,6.421212,2.88,3.668388,0.79,2.2304,2.62,0.79,0.13,0.79,2.751948,0.26,0.39,0.6544800000000001,MG,Testing,2024,0.2226160959931568,0.2583419391106584,0.2404790175519077
13,Dávisson,Uberlândia,Uberlândia,RB,RB,1,22,0,,8,528,Brazil,Brazil,unknown,0,0,no,8.69,5.281782,2.048469,2.55576,4.433616000000001,2.2152,1.36,2.725163,0.51,1.195,1.19,0.68,0.02,0.17,2.726221999999999,0.51,0.34,0.509949,MG,Testing,2024,0.05282817431504494,0.1245699793207692,0.08869907681790708
14,Tiago Baiano,Uberlândia,Uberlândia,RB,RB,1,28,0,,8,537,Brazil,Brazil,right,178,69,no,9.39,5.531153999999999,0.504,2.34832,5.365682000000001,7.709695,3.69,2.679866,0.0,2.01,2.51,2.01,0.01,0.34,2.008545,0.0,1.34,1.34,MG,Testing,2024,0.3651640486563344,0.3733430081217705,0.3692535283890525
15,João Victor,Uberlândia,Uberlândia,LB,LB,1,25,0,,9,904,Brazil,Brazil,,174,77,no,8.76,3.882607,1.49375,1.096191,5.274951,7.663768,2.39,2.289372,0.9,1.494603,1.79,0.6,0.06,0.7,3.486,0.4,0.6,0.595335,MG,Testing,2024,0.3672896707541582,0.3341503841711777,0.350720027462668
16,Maurício,Villa Nova,Villa Nova,RB,RB,1,22,0,,6,589,Brazil,Brazil,right,0,0,no,11.0,6.41682,1.22119,1.6808,6.573775999999999,9.932382,3.06,4.123392,0.31,2.445699,1.22,0.61,0.01,0.61,4.27592,0.31,0.46,0.61178,MG,Testing,2024,0.5629601582906947,0.5074312093518398,0.5351956838212674
17,Charles,Villa Nova,Villa Nova,LB,LB,1,29,0,,7,508,Brazil,Brazil,left,177,74,no,6.56,4.076182,0.7099289999999999,2.83402,10.09732,13.463524,2.13,1.592591,0.0,0.53,1.06,0.0,0.06,0.71,7.084332000000001,0.35,1.42,1.417072,MG,Testing,2024,1.0,1.0,1.0
18,Ailton Santos,Patrocinense,Patrocinense,LB,LB,1,26,0,,7,666,Brazil,Brazil,,0,0,no,7.43,4.46103,2.025,1.892204,3.649497,3.240081,2.03,2.972013,0.54,1.619865,1.62,1.08,0.02,0.27,2.2984,0.14,0.54,0.269973,MG,Testing,2024,0.06829492154519917,0.0737084671193144,0.0710016943322568
19,Nando Sa,Patrocinense,Patrocinense,RB,RB,1,35,0,,8,730,Brazil,Brazil,,0,0,no,7.15,3.32804,1.726605,1.848498,3.699778,5.670792,2.1,1.971502,0.49,1.478305,1.36,0.37,0.04,0.37,2.592385,0.37,0.62,0.8647800000000001,MG,Testing,2024,0.08846550818191196,0.1046283039712163,0.09654690607656413
20,Lucas Mota,Itabirito,Itabirito,RB,RB,1,28,0,,8,776,Brazil,Brazil,right,184,79,no,10.9,5.685064000000001,1.04214,2.202998,7.768596,9.165517,0.93,0.9279999999999999,0.46,0.23331,1.62,0.0,0.03,0.35,3.824361,0.35,0.46,0.696,MG,Testing,2024,0.5710535102204273,0.5352212017204568,0.5531373559704421
21,Mateus Henrique,América Mineiro,América Mineiro,RB,RB,1,21,0,,9,794,Brazil,Brazil,right,178,67,no,9.86,3.855415,1.359932,1.92678,8.839898,17.909983,2.27,2.04,0.34,0.6779999999999999,2.15,0.45,0.05,0.91,5.215815,0.45,1.25,1.69862,MG,Testing,2024,0.9045769580549363,0.939677609333561,0.9221272836942488
