Unnamed: 0,Ações_Defensivas_BemSucedidas,Duelos_Defensivos_Ganhos,Duelos_Aéreos_Ganhos,Passes_Longos_Certos,Passes_Frontais_Certos,Passes_Progressivos_Certos,Duelos_Ofensivos_Ganhos,Dribles_BemSucedidos,Corridas_Progressivas,Passes_TerçoFinal_Certos,Rating,Atleta,Equipe,Equipe_Janela_Análise,Posição,Posição_Wyscout,Código_Posição_Wyscout,Idade,Valor_Mercado,Fim_Contrato,Jogos,Minutos,Nacionalidade,Passaporte,Pé,Altura,Peso,Empréstimo,Liga,Base,Versão_Temporada,Role,L_Rating,L_Ranking,Size,L_Percentil,Ações_Defensivas_BemSucedidas_LM,Duelos_Defensivos_Ganhos_LM,Duelos_Aéreos_Ganhos_LM,Passes_Longos_Certos_LM,Passes_Frontais_Certos_LM,Passes_Progressivos_Certos_LM,Duelos_Ofensivos_Ganhos_LM,Dribles_BemSucedidos_LM,Corridas_Progressivas_LM,Passes_TerçoFinal_Certos_LM,Ações_Defensivas_BemSucedidas_Rank,Duelos_Defensivos_Ganhos_Rank,Duelos_Aéreos_Ganhos_Rank,Passes_Longos_Certos_Rank,Passes_Frontais_Certos_Rank,Passes_Progressivos_Certos_Rank,Duelos_Ofensivos_Ganhos_Rank,Dribles_BemSucedidos_Rank,Corridas_Progressivas_Rank,Passes_TerçoFinal_Certos_Rank,Ações_Defensivas_BemSucedidas_Percentil,Duelos_Defensivos_Ganhos_Percentil,Duelos_Aéreos_Ganhos_Percentil,Passes_Longos_Certos_Percentil,Passes_Frontais_Certos_Percentil,Passes_Progressivos_Certos_Percentil,Duelos_Ofensivos_Ganhos_Percentil,Dribles_BemSucedidos_Percentil,Corridas_Progressivas_Percentil,Passes_TerçoFinal_Certos_Percentil
2,0.725599,0.762552,0.413167,0.633891,0.684043,0.684057,0.252733,0.191174,0.676,0.658446,1.0,Bruno Fuchs,Atlético Mineiro,Atlético Mineiro,"RCB, CB",RCB,4,25,1800000,2024-12-31,7,692,Brazil,Brazil,right,190,85,no,MG,Testing,2024,Zagueiro Construtor,1.0,1,26,96,0.466426,0.490949,0.427375,0.424289,0.405988,0.353756,0.31349,0.166578,0.294308,0.29554,4.0,4,14,5,3,3,12.0,8.0,4.0,2,84,84,46,80,88,88,53,69,84,92
0,0.13628,0.451761,0.277371,1.0,0.853025,1.0,1.0,0.539252,1.0,1.0,0.877806,Zé Ivaldo,Cruzeiro,Cruzeiro,"RCB, LCB",RCB,4,27,3000000,,8,613,Brazil,Brazil,right,185,78,no,MG,Testing,2024,Zagueiro Construtor,0.878,2,26,92,0.466426,0.490949,0.427375,0.424289,0.405988,0.353756,0.31349,0.166578,0.294308,0.29554,25.0,14,20,1,2,1,1.0,4.0,1.0,1,3,46,23,96,92,96,96,84,96,96
6,0.46593,0.495045,1.0,0.371431,0.657431,0.463724,0.182268,0.0,0.0,0.165372,0.851861,Ricardo Silva,América Mineiro,América Mineiro,RCB,RCB,4,31,300000,,7,717,Brazil,Brazil,right,190,84,no,MG,Testing,2024,Zagueiro Construtor,0.852,3,26,88,0.466426,0.490949,0.427375,0.424289,0.405988,0.353756,0.31349,0.166578,0.294308,0.29554,14.0,12,1,14,4,7,18.0,21.0,26.0,18,46,53,96,46,84,73,30,19,0,30
3,0.278085,0.118556,0.551572,0.759667,1.0,0.73566,0.204141,0.10294,0.56,0.538565,0.848116,Éder,América Mineiro,América Mineiro,"LCB, RCB",LCB,4,28,1500000,2024-12-31,7,641,Brazil,Brazil,right,184,82,no,MG,Testing,2024,Zagueiro Construtor,0.848,4,26,84,0.466426,0.490949,0.427375,0.424289,0.405988,0.353756,0.31349,0.166578,0.294308,0.29554,22.0,24,9,3,1,2,15.0,12.0,5.0,3,15,7,65,88,96,92,42,53,80,88
7,0.281768,0.278207,0.620032,0.871604,0.627916,0.6184,0.10368,0.078423,0.384,0.375027,0.826338,Ednei,Tombense,Tombense,"RCB, LCB",RCB,4,33,250000,,8,841,Brazil,Brazil,right,189,81,no,MG,Testing,2024,Zagueiro Construtor,0.826,5,26,80,0.466426,0.490949,0.427375,0.424289,0.405988,0.353756,0.31349,0.166578,0.294308,0.29554,20.5,20,5,2,6,4,22.0,13.0,8.0,9,21,23,80,92,76,84,15,50,69,65
23,0.399632,0.292661,0.567688,0.579359,0.420146,0.574765,0.239796,0.058823,0.396,0.457093,0.820989,Lucas Costa,Itabirito,Itabirito,RCB,RCB,4,28,0,,10,1093,Brazil,Brazil,right,189,82,no,MG,Testing,2024,Zagueiro Construtor,0.821,6,26,76,0.466426,0.490949,0.427375,0.424289,0.405988,0.353756,0.31349,0.166578,0.294308,0.29554,17.0,19,7,6,11,5,13.0,14.5,7.0,4,34,26,73,76,57,80,50,44,73,84
20,0.755064,0.752129,0.376245,0.656153,0.436113,0.40984,0.0,0.0,0.056,0.247492,0.78941,Guilherme Souza,Patrocinense,Patrocinense,RCB,RCB,4,27,0,,7,647,Brazil,Brazil,right,188,79,no,MG,Testing,2024,Zagueiro Construtor,0.789,7,26,73,0.466426,0.490949,0.427375,0.424289,0.405988,0.353756,0.31349,0.166578,0.294308,0.29554,2.0,6,16,4,10,10,25.0,21.0,23.0,13,92,76,38,84,61,61,3,19,11,50
10,0.497238,0.549768,0.295195,0.49586,0.557161,0.47933,0.402055,0.242644,0.528,0.374705,0.779125,Zé Vitor,Tombense,Tombense,LCB,LCB,4,23,100000,,6,544,Brazil,Brazil,left,189,86,no,MG,Testing,2024,Zagueiro Construtor,0.779,8,26,69,0.466426,0.490949,0.427375,0.424289,0.405988,0.353756,0.31349,0.166578,0.294308,0.29554,10.0,11,19,8,8,6,6.0,6.0,6.0,10,61,57,26,69,69,76,76,76,76,61
25,0.751381,0.712927,0.41084,0.344807,0.373821,0.411701,0.184699,0.0,0.076,0.23993,0.778787,Donato,Democrata GV,Democrata GV,RCB,RCB,4,30,0,,9,940,Brazil,Brazil,right,190,78,no,MG,Testing,2024,Zagueiro Construtor,0.779,9,26,65,0.466426,0.490949,0.427375,0.424289,0.405988,0.353756,0.31349,0.166578,0.294308,0.29554,3.0,8,15,17,14,9,16.0,21.0,21.0,14,88,69,42,34,46,65,38,19,19,46
9,0.484346,0.326329,0.658878,0.395053,0.407067,0.393231,0.252745,0.0,0.084,0.255639,0.75518,Danilo Cardoso,Athletic Club,Athletic Club,RCB,RCB,4,26,150000,,8,864,Brazil,Brazil,right,183,77,no,MG,Testing,2024,Zagueiro Construtor,0.755,10,26,61,0.466426,0.490949,0.427375,0.424289,0.405988,0.353756,0.31349,0.166578,0.294308,0.29554,13.0,18,3,13,12,11,11.0,21.0,19.5,12,50,30,88,50,53,57,57,19,25,53
