Unnamed: 0,Ações_Defensivas_BemSucedidas,Passes_Longos_Certos,Passes_Progressivos_Certos,Ações_Ofensivas_BemSucedidas,Duelos_Ofensivos_Ganhos,Pisadas_Área,Dribles_BemSucedidos,Corridas_Progressivas,Acelerações,xA,Assistência_Finalização,Passes_TerçoFinal_Certos,Deep_Completions,Deep_Completed_Crosses,Passes_ÁreaPênalti_Certos,Rating,Atleta,Equipe,Equipe_Janela_Análise,Posição,Posição_Wyscout,Código_Posição_Wyscout,Idade,Valor_Mercado,Fim_Contrato,Jogos,Minutos,Nacionalidade,Passaporte,Pé,Altura,Peso,Empréstimo,Liga,Base,Versão_Temporada,Role,L_Rating,L_Ranking,Size,L_Percentil,Ações_Defensivas_BemSucedidas_LM,Passes_Longos_Certos_LM,Passes_Progressivos_Certos_LM,Ações_Ofensivas_BemSucedidas_LM,Duelos_Ofensivos_Ganhos_LM,Pisadas_Área_LM,Dribles_BemSucedidos_LM,Corridas_Progressivas_LM,Acelerações_LM,xA_LM,Assistência_Finalização_LM,Passes_TerçoFinal_Certos_LM,Deep_Completions_LM,Deep_Completed_Crosses_LM,Passes_ÁreaPênalti_Certos_LM,Ações_Defensivas_BemSucedidas_Rank,Passes_Longos_Certos_Rank,Passes_Progressivos_Certos_Rank,Ações_Ofensivas_BemSucedidas_Rank,Duelos_Ofensivos_Ganhos_Rank,Pisadas_Área_Rank,Dribles_BemSucedidos_Rank,Corridas_Progressivas_Rank,Acelerações_Rank,xA_Rank,Assistência_Finalização_Rank,Passes_TerçoFinal_Certos_Rank,Deep_Completions_Rank,Deep_Completed_Crosses_Rank,Passes_ÁreaPênalti_Certos_Rank,Ações_Defensivas_BemSucedidas_Percentil,Passes_Longos_Certos_Percentil,Passes_Progressivos_Certos_Percentil,Ações_Ofensivas_BemSucedidas_Percentil,Duelos_Ofensivos_Ganhos_Percentil,Pisadas_Área_Percentil,Dribles_BemSucedidos_Percentil,Corridas_Progressivas_Percentil,Acelerações_Percentil,xA_Percentil,Assistência_Finalização_Percentil,Passes_TerçoFinal_Certos_Percentil,Deep_Completions_Percentil,Deep_Completed_Crosses_Percentil,Passes_ÁreaPênalti_Certos_Percentil
28,0.108401,0.316703,0.273947,0.51567,0.238585,0.360324,0.267024,0.42623,0.232432,0.264706,0.427861,0.076447,0.398148,0.78607,0.559449,0.3618,Vitor Ricardo,São Bernardo FC,São Bernardo FC,"RWB, RB",RWB,1,23,100000,2024-12-31,11,734,Brazil,Brazil,right,178,67,no,SP,Testing,2024,Lateral Ofensivo,0.362,24,37,35,0.480847,0.421763,0.433446,0.39886,0.417754,0.24948,0.39474,0.388392,0.241198,0.272655,0.425978,0.316855,0.403403,0.470754,0.356776,34.0,23.0,30,10.0,22,9.0,25,13.0,18.5,16.5,15.0,35,15.0,4.5,9,8,37,18,72,40,75,32,64,50,55,59,5,59,87,75
27,0.781843,0.283525,0.259992,0.293447,0.573336,0.032389,0.541749,0.865574,0.578378,0.029412,0.144279,0.15305,0.092593,0.243781,0.068709,0.355297,Gabriel Inocêncio,Água Santa,Água Santa,"LB, RB",LB,1,29,100000,2024-11-30,10,924,Brazil,Brazil,right,175,69,no,SP,Testing,2024,Lateral Ofensivo,0.355,25,37,32,0.480847,0.421763,0.433446,0.39886,0.417754,0.24948,0.39474,0.388392,0.241198,0.272655,0.425978,0.316855,0.403403,0.470754,0.356776,4.0,25.0,32,21.0,13,33.5,10,6.0,2.0,33.5,34.0,30,35.5,35.0,34,89,32,13,43,64,9,72,83,94,9,8,18,4,5,8
21,0.422764,0.408965,0.310389,0.413105,0.263961,0.340081,0.426628,0.114754,0.12973,0.235294,0.353234,0.119278,0.296296,0.552239,0.287257,0.345826,Igor Inocêncio,Ponte Preta,Ponte Preta,"RB, RW",RB,1,25,300000,,12,1139,Brazil,Brazil,right,185,78,no,SP,Testing,2024,Lateral Ofensivo,0.346,26,37,29,0.480847,0.421763,0.433446,0.39886,0.417754,0.24948,0.39474,0.388392,0.241198,0.272655,0.425978,0.316855,0.403403,0.470754,0.356776,21.0,21.0,27,15.0,21,11.0,14,32.0,26.0,19.0,22.5,32,22.0,12.0,20,43,43,27,59,43,70,62,13,29,48,39,13,40,67,45
2,0.326558,0.0,0.218062,0.923077,0.958217,0.603239,1.0,0.27541,0.172973,0.676471,0.716418,0.295798,0.296296,0.477612,0.095815,0.327401,Igor Vinícius,São Paulo,São Paulo,"RB, RWB",RB,1,26,3000000,2025-12-31,8,563,Brazil,Brazil,right,174,70,no,SP,Testing,2024,Lateral Ofensivo,0.327,27,37,27,0.480847,0.421763,0.433446,0.39886,0.417754,0.24948,0.39474,0.388392,0.241198,0.272655,0.425978,0.316855,0.403403,0.470754,0.356776,30.0,37.0,36,2.0,3,4.0,1,21.0,20.5,4.0,5.0,17,22.0,17.0,33,18,0,2,94,91,89,97,43,44,89,86,54,40,54,10
36,0.298103,0.489545,0.398502,0.282051,0.23477,0.165992,0.304694,0.534426,0.140541,0.088235,0.174129,0.263067,0.0,0.432836,0.252256,0.324117,Igor Fernandes,Santo André,Santo André,LB,LB,1,31,0,,11,1034,Brazil,Brazil,left,183,78,no,SP,Testing,2024,Lateral Ofensivo,0.324,28,37,24,0.480847,0.421763,0.433446,0.39886,0.417754,0.24948,0.39474,0.388392,0.241198,0.272655,0.425978,0.316855,0.403403,0.470754,0.356776,32.0,14.0,20,22.0,23,21.0,19,12.0,24.5,29.0,32.0,19,37.0,19.0,24,13,62,45,40,37,43,48,67,33,21,13,48,0,48,35
34,0.406504,0.18871,0.236605,0.464387,0.594037,0.299595,0.430658,0.327869,0.232432,0.088235,0.283582,0.035725,0.657407,0.422886,0.40879,0.323023,Marlinho,Ituano,Ituano,"LWB, LB, LAMF",LWB,1,18,0,,10,679,Brazil,Brazil,unknown,0,0,no,SP,Testing,2024,Lateral Ofensivo,0.323,29,37,21,0.480847,0.421763,0.433446,0.39886,0.417754,0.24948,0.39474,0.388392,0.241198,0.272655,0.425978,0.316855,0.403403,0.470754,0.356776,25.0,31.0,35,11.0,12,13.0,13,17.0,18.5,29.0,28.0,36,9.0,21.0,15,32,16,5,70,67,64,64,54,50,21,24,2,75,43,59
5,0.405149,0.281504,0.312148,0.264957,0.114076,0.275304,0.135194,0.12459,0.07027,0.147059,0.328358,0.202682,0.240741,0.59204,0.431861,0.296067,J. Hurtado,Red Bull Bragantino,Red Bull Bragantino,"RB, RWB",RB,1,22,1500000,2026-12-31,8,681,Ecuador,Ecuador,right,178,69,no,SP,Testing,2024,Lateral Ofensivo,0.296,30,37,18,0.480847,0.421763,0.433446,0.39886,0.417754,0.24948,0.39474,0.388392,0.241198,0.272655,0.425978,0.316855,0.403403,0.470754,0.356776,26.0,26.0,26,23.0,29,14.0,33,29.0,30.0,25.5,24.0,25,28.0,9.5,13,29,29,29,37,21,62,10,21,18,31,35,32,24,74,64
31,0.495935,0.315791,0.3521,0.0,0.0,0.404858,0.0,0.029508,0.0,0.117647,0.323383,0.238553,0.342593,0.273632,0.2353,0.28717,Jean Victor,Botafogo SP,Botafogo SP,"LB, LWB",LB,1,29,50000,2024-12-05,11,973,Brazil,Brazil,left,181,72,no,SP,Testing,2024,Lateral Ofensivo,0.287,31,37,16,0.480847,0.421763,0.433446,0.39886,0.417754,0.24948,0.39474,0.388392,0.241198,0.272655,0.425978,0.316855,0.403403,0.470754,0.356776,16.0,24.0,23,37.0,37,5.0,37,36.0,37.0,27.0,25.5,22,19.0,29.5,25,56,35,37,0,0,86,0,2,0,27,31,40,48,20,32
30,0.4729,0.622844,0.325536,0.11396,0.112551,0.327935,0.290431,0.252459,0.07027,0.147059,0.59204,0.130203,0.490741,0.0,0.104563,0.252229,Reverson,Grêmio Novorizontino,Grêmio Novorizontino,"LB, LCB, LWB",LB,1,27,100000,,12,683,Brazil,Brazil,left,175,71,no,SP,Testing,2024,Lateral Ofensivo,0.252,32,37,13,0.480847,0.421763,0.433446,0.39886,0.417754,0.24948,0.39474,0.388392,0.241198,0.272655,0.425978,0.316855,0.403403,0.470754,0.356776,18.0,8.0,25,32.0,30,12.0,21,23.0,30.0,25.5,8.0,31,12.0,37.0,31,51,78,32,13,18,67,43,37,18,31,78,16,67,0,16
35,0.060976,0.667648,0.365424,0.242165,0.031697,0.032389,0.183871,0.0,0.048649,0.735294,0.925373,0.215163,0.175926,0.41791,0.147842,0.238753,Eduardo Diniz,Portuguesa,Portuguesa,"LB, LWB",LB,1,34,0,2024-12-31,11,968,Brazil,Brazil,both,179,68,no,SP,Testing,2024,Lateral Ofensivo,0.239,33,37,10,0.480847,0.421763,0.433446,0.39886,0.417754,0.24948,0.39474,0.388392,0.241198,0.272655,0.425978,0.316855,0.403403,0.470754,0.356776,36.0,4.0,22,26.0,35,33.5,30,37.0,35.0,2.5,2.0,24,30.0,22.0,28,2,89,40,29,5,9,18,0,5,93,94,35,18,40,24
32,0.417344,0.504839,0.289398,0.076923,0.208309,0.076923,0.279059,0.298361,0.4,0.0,0.0,0.325169,0.277778,0.293532,0.0,0.168532,JP Galvão,Inter de Limeira,Inter de Limeira,"RB, RWB",RB,1,22,0,,10,650,Brazil,Brazil,right,184,75,yes,SP,Testing,2024,Lateral Ofensivo,0.169,34,37,8,0.480847,0.421763,0.433446,0.39886,0.417754,0.24948,0.39474,0.388392,0.241198,0.272655,0.425978,0.316855,0.403403,0.470754,0.356776,23.5,12.0,28,34.0,25,29.0,24,19.5,7.0,36.0,37.0,16,24.5,27.0,37,36,67,24,8,32,21,35,47,81,2,0,56,33,27,0
22,0.424119,0.244443,0.344115,0.022792,0.017248,0.044534,0.102092,0.088525,0.059459,0.0,0.164179,0.266457,0.203704,0.273632,0.052674,0.138834,Wallison,Botafogo SP,Botafogo SP,"RWB, RB",RWB,1,22,300000,,11,814,Brazil,Brazil,right,177,70,yes,SP,Testing,2024,Lateral Ofensivo,0.139,35,37,5,0.480847,0.421763,0.433446,0.39886,0.417754,0.24948,0.39474,0.388392,0.241198,0.272655,0.425978,0.316855,0.403403,0.470754,0.356776,20.0,28.0,24,36.0,36,32.0,34,33.0,32.5,36.0,33.0,18,29.0,29.5,36,45,24,35,2,2,13,8,10,12,2,10,51,21,20,2
13,0.260163,0.200783,0.251985,0.156695,0.141849,0.072874,0.00482,0.036066,0.054054,0.264706,0.631841,0.08856,0.092593,0.537313,0.311569,0.089032,Danilo Barcelos,Grêmio Novorizontino,Grêmio Novorizontino,"LB, LWB",LB,1,32,550000,,13,918,Brazil,Brazil,left,186,75,no,SP,Testing,2024,Lateral Ofensivo,0.089,36,37,2,0.480847,0.421763,0.433446,0.39886,0.417754,0.24948,0.39474,0.388392,0.241198,0.272655,0.425978,0.316855,0.403403,0.470754,0.356776,33.0,30.0,33,29.5,28,30.0,36,35.0,34.0,16.5,7.0,34,35.5,13.0,19,10,18,10,20,24,18,2,5,8,55,81,8,4,64,48
16,0.0,0.121303,0.0,0.219373,0.6307,0.684211,0.193097,0.606557,0.362162,0.029412,0.278607,0.0,0.314815,0.333333,0.056945,0.0,Douglas Borel,Portuguesa,Portuguesa,"RB, RWB",RB,1,21,500000,2024-12-31,10,801,Brazil,Brazil,right,178,71,yes,SP,Testing,2024,Lateral Ofensivo,0.0,37,37,0,0.480847,0.421763,0.433446,0.39886,0.417754,0.24948,0.39474,0.388392,0.241198,0.272655,0.425978,0.316855,0.403403,0.470754,0.356776,37.0,35.0,37,27.0,11,3.0,29,10.0,8.0,33.5,29.0,37,20.0,26.0,35,0,5,0,27,70,91,21,72,78,9,21,0,45,29,5
