Unnamed: 0,Duelos_Ofensivos_Ganhos,Dribles_BemSucedidos,Acelerações,xG,Finalizações_NoAlvo,Conversão_Gols,Conversão_xG,Ameaça_Ofensiva,xA,Assistência_Finalização,Deep_Completions,Passes_Chave,Passes_ÁreaPênalti_Certos,Rating,Atleta,Equipe,Equipe_Janela_Análise,Posição,Posição_Wyscout,Código_Posição_Wyscout,Idade,Valor_Mercado,Fim_Contrato,Jogos,Minutos,Nacionalidade,Passaporte,Pé,Altura,Peso,Empréstimo,Liga,Base,Versão_Temporada,Role,L_Rating,L_Ranking,Size,L_Percentil,Duelos_Ofensivos_Ganhos_LM,Dribles_BemSucedidos_LM,Acelerações_LM,xG_LM,Finalizações_NoAlvo_LM,Conversão_Gols_LM,Conversão_xG_LM,Ameaça_Ofensiva_LM,xA_LM,Assistência_Finalização_LM,Deep_Completions_LM,Passes_Chave_LM,Passes_ÁreaPênalti_Certos_LM,Duelos_Ofensivos_Ganhos_Rank,Dribles_BemSucedidos_Rank,Acelerações_Rank,xG_Rank,Finalizações_NoAlvo_Rank,Conversão_Gols_Rank,Conversão_xG_Rank,Ameaça_Ofensiva_Rank,xA_Rank,Assistência_Finalização_Rank,Deep_Completions_Rank,Passes_Chave_Rank,Passes_ÁreaPênalti_Certos_Rank,Duelos_Ofensivos_Ganhos_Percentil,Dribles_BemSucedidos_Percentil,Acelerações_Percentil,xG_Percentil,Finalizações_NoAlvo_Percentil,Conversão_Gols_Percentil,Conversão_xG_Percentil,Ameaça_Ofensiva_Percentil,xA_Percentil,Assistência_Finalização_Percentil,Deep_Completions_Percentil,Passes_Chave_Percentil,Passes_ÁreaPênalti_Certos_Percentil
2,1.0,0.708913,0.423913,0.47619,1.0,0.274184,0.854483,0.036101,1.0,1.0,1.0,1.0,1.0,1.0,Hulk,Atlético Mineiro,Atlético Mineiro,CF,CF,12,37,2500000,2024-12-31,9,915,Brazil,Brazil,left,180,85,no,MG,Testing,2024,Segundo Atacante,1.0,1,13,92,0.256258,0.242107,0.230769,0.434676,0.45997,0.358075,0.535643,0.351241,0.317308,0.413601,0.33925,0.323338,0.274818,1,2,3.0,5.0,1,6.0,3.0,12,1.0,1.0,1.0,1.0,1.0,92,84,76,61,92,53,76,7,92,92,92,92,92
3,0.000459,0.045965,0.0,1.0,0.763987,0.908315,0.653303,1.0,0.125,0.275362,0.213675,0.20339,0.078361,0.78309,Jonathas,Athletic Club,Athletic Club,CF,CF,12,35,300000,,10,752,Brazil,Brazil,right,192,81,no,MG,Testing,2024,Segundo Atacante,0.783,2,13,84,0.256258,0.242107,0.230769,0.434676,0.45997,0.358075,0.535643,0.351241,0.317308,0.413601,0.33925,0.323338,0.274818,12,12,10.5,1.0,3,2.0,5.5,1,10.5,9.0,7.0,8.0,9.0,7,7,19,92,76,84,57,92,19,30,46,38,30
7,0.071598,0.133477,0.0,0.142857,0.366553,1.0,1.0,0.68256,0.1875,0.181159,0.350427,0.288136,0.461123,0.744713,Caio Mancha,Villa Nova,Villa Nova,CF,CF,12,31,50000,,6,516,Brazil,Brazil,right,188,87,no,MG,Testing,2024,Segundo Atacante,0.745,3,13,76,0.256258,0.242107,0.230769,0.434676,0.45997,0.358075,0.535643,0.351241,0.317308,0.413601,0.33925,0.323338,0.274818,9,6,10.5,11.5,8,1.0,1.0,2,8.5,10.0,5.0,6.0,3.0,30,53,19,11,38,92,92,84,34,23,61,53,76
12,0.037373,0.333785,1.0,0.428571,0.640706,0.645163,0.894183,0.405418,0.3125,0.094203,0.0,0.186441,0.003014,0.684432,Luis Felipe,Ipatinga,Ipatinga,CF,CF,12,23,0,2024-12-31,10,785,Brazil,Brazil,,0,0,yes,MG,Testing,2024,Segundo Atacante,0.684,4,13,69,0.256258,0.242107,0.230769,0.434676,0.45997,0.358075,0.535643,0.351241,0.317308,0.413601,0.33925,0.323338,0.274818,11,3,1.0,8.0,4,3.0,2.0,5,4.5,11.0,13.0,9.0,12.0,15,76,92,38,69,76,84,61,65,15,0,30,7
10,0.93975,1.0,0.293478,0.571429,0.523927,0.201603,0.435297,0.2078,0.25,0.42029,0.136752,0.694915,0.01609,0.526244,Everton Kanela,Patrocinense,Patrocinense,CF,CF,12,28,0,,8,658,Brazil,Brazil,right,0,0,no,MG,Testing,2024,Segundo Atacante,0.526,5,13,61,0.256258,0.242107,0.230769,0.434676,0.45997,0.358075,0.535643,0.351241,0.317308,0.413601,0.33925,0.323338,0.274818,2,1,5.0,3.0,5,8.5,8.0,9,6.5,6.0,10.0,2.0,11.0,84,92,61,76,61,34,38,30,50,53,23,84,15
9,0.1601,0.104513,0.0,0.984127,0.940052,0.483858,0.484851,0.625117,0.0625,0.086957,0.094017,0.0,0.0,0.460832,Igor Bahia,Tombense,Tombense,CF,CF,12,31,0,,8,803,Brazil,Brazil,,0,0,no,MG,Testing,2024,Segundo Atacante,0.461,6,13,53,0.256258,0.242107,0.230769,0.434676,0.45997,0.358075,0.535643,0.351241,0.317308,0.413601,0.33925,0.323338,0.274818,5,7,10.5,2.0,2,4.0,7.0,3,12.0,12.0,11.0,11.5,13.0,61,46,19,84,84,69,46,76,7,7,15,11,0
0,0.081911,0.25393,0.576087,0.285714,0.380653,0.129021,0.228082,0.32375,0.6875,0.376812,0.666667,0.610169,0.307415,0.459301,Paulinho,Atlético Mineiro,Atlético Mineiro,"CF, AMF, RAMF",CF,12,23,7500000,,10,1011,Brazil,Brazil,right,177,80,no,MG,Testing,2024,Segundo Atacante,0.459,7,13,46,0.256258,0.242107,0.230769,0.434676,0.45997,0.358075,0.535643,0.351241,0.317308,0.413601,0.33925,0.323338,0.274818,8,5,2.0,9.0,7,11.0,12.0,7,2.0,7.0,3.0,3.0,5.0,38,61,84,30,46,15,7,46,84,46,76,76,61
4,0.138901,0.071745,0.184783,0.47619,0.352501,0.161276,0.397256,0.171118,0.625,0.789855,0.923077,0.576271,0.85594,0.456031,Guilherme Santos,Villa Nova,Villa Nova,"CF, AMF",CF,12,22,200000,2024-12-31,6,530,Brazil,Brazil,left,181,76,yes,MG,Testing,2024,Segundo Atacante,0.456,8,13,38,0.256258,0.242107,0.230769,0.434676,0.45997,0.358075,0.535643,0.351241,0.317308,0.413601,0.33925,0.323338,0.274818,6,10,6.0,5.0,9,10.0,9.0,10,3.0,2.0,2.0,4.0,2.0,53,23,53,61,30,23,30,23,76,84,84,69,84
6,0.16927,0.256738,0.391304,0.0,0.130905,0.253455,0.810066,0.036273,0.25,0.572464,0.367521,0.0,0.365457,0.413039,Caiuby,Patrocinense,Patrocinense,"CF, LW, AMF",CF,12,35,75000,,8,503,Brazil,Brazil,left,184,85,no,MG,Testing,2024,Segundo Atacante,0.413,9,13,30,0.256258,0.242107,0.230769,0.434676,0.45997,0.358075,0.535643,0.351241,0.317308,0.413601,0.33925,0.323338,0.274818,4,4,4.0,13.0,11,7.0,4.0,11,6.5,5.0,4.0,11.5,4.0,69,69,69,0,15,46,69,15,50,61,69,11,69
1,0.048395,0.097541,0.0,0.47619,0.491352,0.37635,0.653303,0.287404,0.0,0.0,0.230769,0.0,0.162749,0.357902,J. Dinenno,Cruzeiro,Cruzeiro,"CF, RWF",CF,12,29,4500000,2024-12-31,11,946,Argentina,Argentina,right,186,82,no,MG,Testing,2024,Segundo Atacante,0.358,10,13,23,0.256258,0.242107,0.230769,0.434676,0.45997,0.358075,0.535643,0.351241,0.317308,0.413601,0.33925,0.323338,0.274818,10,8,10.5,5.0,6,5.0,5.5,8,13.0,13.0,6.0,11.5,6.0,23,38,19,61,53,61,57,38,0,0,53,11,53
