Unnamed: 0,Atleta,Equipe,Equipe_Janela_Análise,Posição,Posição_Wyscout,Código_Posição_Wyscout,Idade,Valor_Mercado,Fim_Contrato,Jogos,Minutos,Nacionalidade,Passaporte,Pé,Altura,Peso,Empréstimo,Ações_Defensivas_BemSucedidas,Duelos_Defensivos_Ganhos,Duelos_Aéreos_Ganhos,Passes_Longos_Certos,Passes_Frontais_Certos,Passes_Progressivos_Certos,Ações_Ofensivas_BemSucedidas,Duelos_Ofensivos_Ganhos,Dribles_BemSucedidos,Corridas_Progressivas,Passes_TerçoFinal_Certos,Liga,Base,Versão_Temporada,RF_Rating,ET_Rating,Rating
0,L. Romero,Cruzeiro,Cruzeiro,"RDMF, RCMF, LCMF",RDMF,7,29,3200000,2025-12-31,8,758,Argentina,Argentina,right,170,68,no,6.41,2.72986,0.237274,2.614976,11.159226,6.059444,0.71,1.782621,0.59375,0.47,5.940975,MG,Testing,2024,0.2994825341993103,0.4446710101856202,0.3720767721924652
1,R. Battaglia,Atlético Mineiro,Atlético Mineiro,"LDMF, LCMF, RCMF",LDMF,7,32,1500000,2024-12-31,8,747,Argentina,"Argentina, Italy",right,187,78,no,6.39,2.88982,1.446364,1.086501,7.834548,3.255308,1.08,1.686099,0.84,0.96,4.217278,MG,Testing,2024,0.05596091541430315,0.09139375589899147,0.0736773356566473
2,Lucas Silva,Cruzeiro,Cruzeiro,"LDMF, RCMF, LCMF",LDMF,7,31,1000000,,10,866,Brazil,Brazil,right,181,76,no,6.55,3.53052,0.935,2.598705000000001,9.252772,4.576,1.14,1.662252,0.51875,1.25,6.337056,MG,Testing,2024,0.3180718189054953,0.4256126003441723,0.3718422096248337
3,Wallisson,Athletic Club,Athletic Club,"LDMF, RDMF, RCMF",LDMF,7,26,500000,2025-12-31,7,664,Brazil,Brazil,right,184,73,no,11.93,6.234590000000001,1.62448,2.442,5.966965,3.797691,1.63,3.386502000000001,1.220625,0.41,2.846504,MG,Testing,2024,0.5387634142013905,0.5797573262146489,0.5592603702080197
4,Alê,América Mineiro,América Mineiro,"DMF, LDMF",DMF,7,33,400000,2025-12-31,8,728,Brazil,Brazil,right,184,74,no,7.66,3.706965,1.48426,1.114603,10.383632,5.072124,0.87,2.717719,0.6214410000000001,1.24,6.185012,MG,Testing,2024,0.6270539822392459,0.6242566739765825,0.6256553281079141
5,Diego Fumaça,Athletic Club,Athletic Club,"RDMF, LDMF, RCMF",RDMF,7,29,150000,,10,1012,Brazil,Brazil,right,176,75,no,7.56,3.823911,1.247344,1.600585,8.539488,4.269744,0.89,2.225508,0.713369,1.25,4.538074,MG,Testing,2024,0.2938904158414083,0.335123605853232,0.3145070108473201
6,Jorge Pedra,Democrata GV,Democrata GV,"RDMF, LDMF, DMF",RDMF,7,24,150000,,10,813,Brazil,Brazil,left,0,0,no,7.86,3.32242,0.553505,2.323302,9.961139999999999,4.65,0.89,1.32866,0.4440000000000001,0.77,4.099075,MG,Testing,2024,0.1450985070019767,0.2049882647354186,0.1750433858686976
7,Lucas Vital,Villa Nova,Villa Nova,"DMF, LCMF, RDMF",DMF,7,22,100000,,6,598,Brazil,Brazil,,178,72,no,4.52,2.406214,1.35375,1.655208,7.977001000000001,3.612702,0.45,1.657258,0.3,0.15,4.215676,MG,Testing,2024,0.0,0.0,0.0
8,Mikael,Tombense,Tombense,"DMF, LDMF, RCMF",DMF,7,30,50000,,8,651,Brazil,Brazil,right,184,83,no,9.12,3.320166,3.041986,1.93546,7.4655,3.320832,0.55,0.55386,0.276,0.0,3.591918,MG,Testing,2024,0.523048250668808,0.5707223023329364,0.5468852765008722
9,Henrique Rocha,Pouso Alegre,Pouso Alegre,"DMF, LCMF",DMF,7,27,0,,12,938,Brazil,Brazil,unknown,0,0,no,9.02,4.41507,0.862134,2.592,6.810663999999999,2.686607,0.96,2.781123,0.5775,0.77,3.35858,MG,Testing,2024,0.1490051144415292,0.2487027833911735,0.1988539489163513
10,Davi Lopes,Ipatinga,Ipatinga,"DMF, LDMF, LCMF",DMF,7,31,0,,6,529,Brazil,Brazil,,0,0,no,8.17,4.085292000000001,0.679932,2.720136,6.976493,4.25625,1.02,2.03983,0.68,1.19,3.910272,MG,Testing,2024,0.08431100891262322,0.1805396220699773,0.1324253154913003
11,Gabriel Galhardo,XV de Piracicaba,Patrocinense,"DMF, RDMF, RCMF",DMF,7,30,0,,7,705,Brazil,Brazil,right,170,65,no,8.3,5.358233999999999,0.512,3.828414,9.832512000000001,6.379415,0.77,0.8939099999999999,0.512,0.38,6.513860999999999,MG,Testing,2024,1.0,1.0,1.0
12,Alemão,Democrata GV,Democrata GV,"LDMF, RDMF, LCMF",LDMF,7,36,0,,11,991,Brazil,Brazil,right,0,0,no,3.54,2.270688,0.4545,4.452000000000001,11.534914,7.081312,0.91,1.542034,0.274304,0.91,7.35284,MG,Testing,2024,0.6365672590476398,0.8567188537436893,0.7466430563956644
0,Danilo Barbosa,Botafogo,Botafogo,"DMF, RCB",DMF,7,28,2500000,2025-06-30,8,694,Brazil,Brazil,right,183,74,no,7.13,2.853844,1.815328,1.814745,9.858344,5.574954,1.17,2.465,0.910065,1.3,4.412704,RJ,Testing,2024,0.762641189361793,0.8097939131013709,0.7838739001222057
1,William Oliveira,Boavista,Boavista,"DMF, RCMF",DMF,7,32,300000,,13,1207,Brazil,Brazil,right,182,80,no,7.31,2.533947,0.743508,1.564056,8.498493,4.322080000000001,0.82,3.053808,0.7461239999999999,0.89,4.100616,RJ,Testing,2024,0.51724262608829,0.4586526392482865,0.4823341124486943
