Unnamed: 0,Ações_Defensivas_BemSucedidas,Duelos_Defensivos_Ganhos,Passes_Frontais_Certos,Passes_Progressivos_Certos,Duelos_Ofensivos_Ganhos,xG,xA,Rating,Atleta,Equipe,Equipe_Janela_Análise,Posição,Posição_Wyscout,Código_Posição_Wyscout,Idade,Valor_Mercado,Fim_Contrato,Jogos,Minutos,Nacionalidade,Passaporte,Pé,Altura,Peso,Empréstimo,Liga,Base,Versão_Temporada,Role,L_Rating,L_Ranking,Size,L_Percentil,Ações_Defensivas_BemSucedidas_LM,Duelos_Defensivos_Ganhos_LM,Passes_Frontais_Certos_LM,Passes_Progressivos_Certos_LM,Duelos_Ofensivos_Ganhos_LM,xG_LM,xA_LM,Ações_Defensivas_BemSucedidas_Rank,Duelos_Defensivos_Ganhos_Rank,Passes_Frontais_Certos_Rank,Passes_Progressivos_Certos_Rank,Duelos_Ofensivos_Ganhos_Rank,xG_Rank,xA_Rank,Ações_Defensivas_BemSucedidas_Percentil,Duelos_Defensivos_Ganhos_Percentil,Passes_Frontais_Certos_Percentil,Passes_Progressivos_Certos_Percentil,Duelos_Ofensivos_Ganhos_Percentil,xG_Percentil,xA_Percentil
0,0.489104,0.468047,1.0,1.0,0.500489,0.0,0.483871,1.0,Gustavo Scarpa,Atlético Mineiro,Atlético Mineiro,"LW, RCMF",LW,10,30,12000000,2026-06-30,10,776,Brazil,"Brazil, Italy",left,176,74,no,MG,Testing,2024,Extremo Tático,1.0,1,21,95,0.399977,0.437823,0.350858,0.415345,0.63254,0.387302,0.417819,6.0,11,1,1,14,21.0,8.0,71,47,95,95,33,0,61
1,0.033898,0.045514,0.793666,0.799165,0.626825,0.2,0.225806,0.961137,Igor Gomes,Atlético Mineiro,Atlético Mineiro,"LW, AMF, LCMF",LW,10,25,5500000,2026-12-31,11,782,Brazil,Brazil,right,183,73,no,MG,Testing,2024,Extremo Tático,0.961,2,21,90,0.399977,0.437823,0.350858,0.415345,0.63254,0.387302,0.417819,20.0,20,2,2,13,17.5,14.0,4,4,90,90,38,16,33
15,0.508475,0.722575,0.72367,0.744854,0.0,0.233333,0.225806,0.92115,Hudson,Patrocinense,Patrocinense,"RW, RB, RCMF",RW,10,23,0,,8,545,Brazil,Brazil,right,181,0,yes,MG,Testing,2024,Extremo Tático,0.921,3,21,85,0.399977,0.437823,0.350858,0.415345,0.63254,0.387302,0.417819,5.0,3,3,3,21,16.0,14.0,76,85,85,85,0,23,33
8,1.0,0.766729,0.514021,0.493852,0.733818,0.6,0.193548,0.888268,Thiaguinho,Pouso Alegre,Pouso Alegre,"LW, LWF, LAMF",LW,10,25,0,,9,580,Brazil,Brazil,right,173,66,no,MG,Testing,2024,Extremo Tático,0.888,4,21,80,0.399977,0.437823,0.350858,0.415345,0.63254,0.387302,0.417819,1.0,2,4,8,10,3.0,16.0,95,90,80,61,52,85,23
2,0.046005,0.246305,0.407949,0.638291,0.922372,0.2,0.612903,0.714167,Arthur Gomes,Cruzeiro,Cruzeiro,"LW, LAMF, LWF",LW,10,25,4000000,2027-06-30,11,889,Brazil,Brazil,right,174,69,no,MG,Testing,2024,Extremo Tático,0.714,5,21,76,0.399977,0.437823,0.350858,0.415345,0.63254,0.387302,0.417819,19.0,16,6,5,2,17.5,6.5,9,23,71,76,90,16,69
3,0.387409,0.443256,0.243396,0.685045,0.861016,0.333333,0.935484,0.698019,Vitor Jacaré,América Mineiro,América Mineiro,"LW, LAMF, RW",LW,10,24,1400000,,9,647,Brazil,Brazil,right,178,72,no,MG,Testing,2024,Extremo Tático,0.698,6,21,71,0.399977,0.437823,0.350858,0.415345,0.63254,0.387302,0.417819,11.5,12,16,4,6,12.5,2.5,45,42,23,80,71,40,88
13,0.956416,1.0,0.48969,0.298267,0.704279,0.366667,0.387097,0.675321,Felipinho,Tombense,Tombense,"RW, AMF, RAMF",RW,10,21,0,,8,622,Brazil,Brazil,left,179,70,no,MG,Testing,2024,Extremo Tático,0.675,7,21,66,0.399977,0.437823,0.350858,0.415345,0.63254,0.387302,0.417819,2.0,1,5,14,11,9.0,11.0,90,95,76,33,47,57,47
20,0.479419,0.59583,0.238489,0.531964,0.809207,0.9,1.0,0.659456,Pedro Oliveira,Democrata GV,Democrata GV,"LAMF, LW",LAMF,10,25,0,,11,969,Brazil,Brazil,right,176,68,no,MG,Testing,2024,Extremo Tático,0.659,8,21,61,0.399977,0.437823,0.350858,0.415345,0.63254,0.387302,0.417819,7.0,6,17,6,7,2.0,1.0,66,71,19,71,66,90,95
14,0.474576,0.674759,0.363781,0.315541,0.910819,0.366667,0.354839,0.578707,Rafinha,Tombense,Tombense,"LW, LAMF, LWF",LW,10,24,0,,8,749,Brazil,Brazil,,0,0,no,MG,Testing,2024,Extremo Tático,0.579,9,21,57,0.399977,0.437823,0.350858,0.415345,0.63254,0.387302,0.417819,8.0,4,7,13,3,9.0,12.0,61,80,66,38,85,57,42
19,0.234867,0.394536,0.261645,0.478816,1.0,0.566667,0.677419,0.543377,Richard Cossoniche,Democrata GV,Democrata GV,"RAMF, RW, LAMF",RAMF,10,22,0,,10,848,Brazil,Brazil,right,169,62,no,MG,Testing,2024,Extremo Tático,0.543,10,21,52,0.399977,0.437823,0.350858,0.415345,0.63254,0.387302,0.417819,16.0,14,14,9,1,4.0,5.0,23,33,33,57,95,80,76
16,0.329298,0.433466,0.266391,0.368396,0.88163,0.166667,0.451613,0.500893,Marcílio,Patrocinense,Patrocinense,"LW, RW, RAMF",LW,10,24,0,,9,577,Brazil,Brazil,left,170,70,no,MG,Testing,2024,Extremo Tático,0.501,11,21,47,0.399977,0.437823,0.350858,0.415345,0.63254,0.387302,0.417819,14.0,13,13,11,5,19.0,9.0,33,38,38,47,76,9,57
17,0.387409,0.660907,0.248823,0.295804,0.451985,1.0,0.0,0.439328,Branquinho,Itabirito,Itabirito,"LW, LAMF, CF",LW,10,34,0,,10,546,Brazil,Brazil,right,170,65,no,MG,Testing,2024,Extremo Tático,0.439,12,21,42,0.399977,0.437823,0.350858,0.415345,0.63254,0.387302,0.417819,11.5,5,15,15,16,1.0,21.0,45,76,28,28,23,95,0
10,0.743341,0.482862,0.14503,0.274789,0.40893,0.333333,0.935484,0.400045,Gabriel Neto,Pouso Alegre,Pouso Alegre,RW,RW,10,23,0,,10,654,Brazil,Brazil,unknown,0,0,no,MG,Testing,2024,Extremo Tático,0.4,13,21,38,0.399977,0.437823,0.350858,0.415345,0.63254,0.387302,0.417819,3.0,10,18,16,18,12.5,2.5,85,52,14,23,14,40,88
6,0.0,0.0,0.326735,0.527953,0.280212,0.333333,0.612903,0.322141,Welinton Torrão,Athletic Club,Athletic Club,"RAMF, RW, LW",RAMF,10,24,100000,,10,790,Brazil,Brazil,right,183,75,no,MG,Testing,2024,Extremo Tático,0.322,14,21,33,0.399977,0.437823,0.350858,0.415345,0.63254,0.387302,0.417819,21.0,21,9,7,19,12.5,6.5,0,0,57,66,9,40,69
11,0.394673,0.18964,0.275843,0.32169,0.748015,0.5,0.419355,0.319866,Vinicius Balotelli,Uberlândia,Uberlândia,LW,LW,10,25,0,,10,703,Brazil,Brazil,right,179,70,no,MG,Testing,2024,Extremo Tático,0.32,15,21,28,0.399977,0.437823,0.350858,0.415345,0.63254,0.387302,0.417819,10.0,17,10,12,8,5.0,10.0,52,19,52,42,61,76,52
4,0.2954,0.113196,0.275341,0.421538,0.409727,0.333333,0.096774,0.219517,Fabinho,América Mineiro,América Mineiro,"RWF, RW, RAMF",RWF,11,24,1000000,,7,619,Brazil,Brazil,left,180,75,no,MG,Testing,2024,Extremo Tático,0.22,16,21,23,0.399977,0.437823,0.350858,0.415345,0.63254,0.387302,0.417819,15.0,18,11,10,17,12.5,17.0,28,14,47,52,19,40,19
9,0.552058,0.545935,0.268839,0.056988,0.454574,0.466667,0.064516,0.204049,Rafael Conceição,Athletic Club,Athletic Club,"LAMF, LW, LCMF",LAMF,10,20,0,,10,544,Brazil,Brazil,unknown,0,0,no,MG,Testing,2024,Extremo Tático,0.204,17,21,19,0.399977,0.437823,0.350858,0.415345,0.63254,0.387302,0.417819,4.0,8,12,20,15,6.5,18.5,80,61,42,4,28,69,11
18,0.11138,0.496779,0.0,0.147906,0.882318,0.466667,0.225806,0.107435,Erick Salles,Itabirito,Itabirito,"LW, LAMF, CF",LW,10,29,0,,8,788,Brazil,Brazil,right,172,70,no,MG,Testing,2024,Extremo Tático,0.107,18,21,14,0.399977,0.437823,0.350858,0.415345,0.63254,0.387302,0.417819,18.0,9,21,18,4,6.5,14.0,14,57,0,14,80,69,33
7,0.472155,0.08456,0.341777,0.125608,0.67465,0.1,0.032258,0.040924,Vico,Ipatinga,Ipatinga,"RW, RAMF, RWF",RW,10,27,100000,,10,787,Brazil,Brazil,left,174,68,no,MG,Testing,2024,Extremo Tático,0.041,19,21,9,0.399977,0.437823,0.350858,0.415345,0.63254,0.387302,0.417819,9.0,19,8,19,12,20.0,20.0,57,9,61,9,42,4,4
5,0.142857,0.248311,0.142333,0.195779,0.278297,0.366667,0.774194,0.025366,Johnatan Cardoso,Itabirito,Itabirito,"RW, CF, RAMF",RW,10,26,400000,,10,838,Brazil,Brazil,right,172,62,no,MG,Testing,2024,Extremo Tático,0.025,20,21,4,0.399977,0.437823,0.350858,0.415345,0.63254,0.387302,0.417819,17.0,15,19,17,20,9.0,4.0,19,28,9,19,4,57,80
12,0.360775,0.581079,0.040592,0.0,0.744188,0.3,0.064516,0.0,Jefferson,Uberlândia,Uberlândia,"RW, CF",RW,10,27,0,,10,1015,Brazil,Brazil,left,179,75,no,MG,Testing,2024,Extremo Tático,0.0,21,21,0,0.399977,0.437823,0.350858,0.415345,0.63254,0.387302,0.417819,13.0,7,20,21,9,15.0,18.5,38,66,4,0,57,28,11
4,0.0,0.0,0.742372,1.0,0.479211,0.458333,1.0,1.0,D. Payet,Vasco da Gama,Vasco da Gama,"LW, AMF, LWF",LW,10,36,2000000,2024-06-30,10,928,Réunion,"Réunion, France",right,175,77,no,RJ,Testing,2024,Extremo Tático,1.0,1,23,95,0.543708,0.46913,0.376972,0.512613,0.439688,0.333333,0.362672,23.0,23,2,1,9,5.0,1.0,0,0,91,95,60,78,95
15,0.444781,0.68531,1.0,0.722462,0.0,0.0,0.0,0.922459,Léo Silva,Volta Redonda,Volta Redonda,"RW, RCMF, LCMF",RW,10,21,0,,11,922,Brazil,Brazil,right,170,68,yes,RJ,Testing,2024,Extremo Tático,0.922,2,23,91,0.543708,0.46913,0.376972,0.512613,0.439688,0.333333,0.362672,16.0,5,1,6,23,23.0,23.0,30,78,95,73,0,0,0
6,0.298033,0.079822,0.587003,0.963269,0.326423,0.416667,0.658537,0.881661,Bill,Nova Iguaçu,Nova Iguaçu,"LAMF, LW, AMF",LAMF,10,24,250000,,13,1185,Brazil,Brazil,right,175,68,no,RJ,Testing,2024,Extremo Tático,0.882,3,23,86,0.543708,0.46913,0.376972,0.512613,0.439688,0.333333,0.362672,20.0,20,4,2,14,6.5,6.0,13,13,82,91,39,71,73
8,0.586989,0.382981,0.549587,0.957635,0.102507,0.729167,0.341463,0.879086,Hugo Borges,Madureira,Madureira,"LW, LWF, LAMF",LW,10,26,125000,,10,790,Brazil,Brazil,right,176,73,no,RJ,Testing,2024,Extremo Tático,0.879,4,23,82,0.543708,0.46913,0.376972,0.512613,0.439688,0.333333,0.362672,10.0,15,5,3,22,2.0,8.0,56,34,78,86,4,91,65
