Unnamed: 0,Atleta,Equipe,Equipe_Janela_Análise,Posição,Posição_Wyscout,Código_Posição_Wyscout,Idade,Valor_Mercado,Fim_Contrato,Jogos,Minutos,Nacionalidade,Passaporte,Pé,Altura,Peso,Empréstimo,Ações_Defensivas_BemSucedidas,Passes_Longos_Certos,Passes_Frontais_Certos,Passes_Progressivos_Certos,Ações_Ofensivas_BemSucedidas,Duelos_Ofensivos_Ganhos,Dribles_BemSucedidos,Corridas_Progressivas,Passes_TerçoFinal_Certos,Liga,Base,Versão_Temporada,RF_Rating,ET_Rating,Rating
0,L. Romero,Cruzeiro,Cruzeiro,"RDMF, RCMF, LCMF",RDMF,7,29,3200000,2025-12-31,8,758,Argentina,Argentina,right,170,68,no,6.41,2.614976,11.159226,6.059444,0.71,1.782621,0.59375,0.47,5.940975,MG,Testing,2024,0.6403525985169922,0.668252681406927,0.6543026399619596
1,R. Battaglia,Atlético Mineiro,Atlético Mineiro,"LDMF, LCMF, RCMF",LDMF,7,32,1500000,2024-12-31,8,747,Argentina,"Argentina, Italy",right,187,78,no,6.39,1.086501,7.834548,3.255308,1.08,1.686099,0.84,0.96,4.217278,MG,Testing,2024,0.1080403643333418,0.1001056513349397,0.1040730078341407
2,Lucas Silva,Cruzeiro,Cruzeiro,"LDMF, RCMF, LCMF",LDMF,7,31,1000000,,10,866,Brazil,Brazil,right,181,76,no,6.55,2.598705000000001,9.252772,4.576,1.14,1.662252,0.51875,1.25,6.337056,MG,Testing,2024,0.4717878978077423,0.4574829666441572,0.4646354322259497
3,Wallisson,Athletic Club,Athletic Club,"LDMF, RDMF, RCMF",LDMF,7,26,500000,2025-12-31,7,664,Brazil,Brazil,right,184,73,no,11.93,2.442,5.966965,3.797691,1.63,3.386502000000001,1.220625,0.41,2.846504,MG,Testing,2024,0.6538730953314325,0.6654313868215351,0.6596522410764838
4,Alê,América Mineiro,América Mineiro,"DMF, LDMF",DMF,7,33,400000,2025-12-31,8,728,Brazil,Brazil,right,184,74,no,7.66,1.114603,10.383632,5.072124,0.87,2.717719,0.6214410000000001,1.24,6.185012,MG,Testing,2024,0.6038126969801756,0.6001274674244023,0.6019700822022889
5,Diego Fumaça,Athletic Club,Athletic Club,"RDMF, LDMF, RCMF",RDMF,7,29,150000,,10,1012,Brazil,Brazil,right,176,75,no,7.56,1.600585,8.539488,4.269744,0.89,2.225508,0.713369,1.25,4.538074,MG,Testing,2024,0.3959364547127881,0.386267357628267,0.3911019061705275
6,Jorge Pedra,Democrata GV,Democrata GV,"RDMF, LDMF, DMF",RDMF,7,24,150000,,10,813,Brazil,Brazil,left,0,0,no,7.86,2.323302,9.961139999999999,4.65,0.89,1.32866,0.4440000000000001,0.77,4.099075,MG,Testing,2024,0.5303505965479007,0.5291161756446879,0.5297333860962943
7,Lucas Vital,Villa Nova,Villa Nova,"DMF, LCMF, RDMF",DMF,7,22,100000,,6,598,Brazil,Brazil,,178,72,no,4.52,1.655208,7.977001000000001,3.612702,0.45,1.657258,0.3,0.15,4.215676,MG,Testing,2024,0.0,0.0,0.0
8,Mikael,Tombense,Tombense,"DMF, LDMF, RCMF",DMF,7,30,50000,,8,651,Brazil,Brazil,right,184,83,no,9.12,1.93546,7.4655,3.320832,0.55,0.55386,0.276,0.0,3.591918,MG,Testing,2024,0.4641072000876743,0.4302443334477224,0.4471757667676983
9,Henrique Rocha,Pouso Alegre,Pouso Alegre,"DMF, LCMF",DMF,7,27,0,,12,938,Brazil,Brazil,unknown,0,0,no,9.02,2.592,6.810663999999999,2.686607,0.96,2.781123,0.5775,0.77,3.35858,MG,Testing,2024,0.4833036567687156,0.4458695454463095,0.4645866011075126
10,Davi Lopes,Ipatinga,Ipatinga,"DMF, LDMF, LCMF",DMF,7,31,0,,6,529,Brazil,Brazil,,0,0,no,8.17,2.720136,6.976493,4.25625,1.02,2.03983,0.68,1.19,3.910272,MG,Testing,2024,0.4955869793814382,0.4824407055933214,0.4890138424873798
11,Gabriel Galhardo,XV de Piracicaba,Patrocinense,"DMF, RDMF, RCMF",DMF,7,30,0,,7,705,Brazil,Brazil,right,170,65,no,8.3,3.828414,9.832512000000001,6.379415,0.77,0.8939099999999999,0.512,0.38,6.513860999999999,MG,Testing,2024,1.0,1.0,1.0
12,Alemão,Democrata GV,Democrata GV,"LDMF, RDMF, LCMF",LDMF,7,36,0,,11,991,Brazil,Brazil,right,0,0,no,3.54,4.452000000000001,11.534914,7.081312,0.91,1.542034,0.274304,0.91,7.35284,MG,Testing,2024,0.8136024631677468,0.9270969141557881,0.8703496886617674
0,Danilo Barbosa,Botafogo,Botafogo,"DMF, RCB",DMF,7,28,2500000,2025-06-30,8,694,Brazil,Brazil,right,183,74,no,7.13,1.814745,9.858344,5.574954,1.17,2.465,0.910065,1.3,4.412704,RJ,Testing,2024,0.9459322625627551,1.0,0.9870464412239149
1,William Oliveira,Boavista,Boavista,"DMF, RCMF",DMF,7,32,300000,,13,1207,Brazil,Brazil,right,182,80,no,7.31,1.564056,8.498493,4.322080000000001,0.82,3.053808,0.7461239999999999,0.89,4.100616,RJ,Testing,2024,0.7186761172014989,0.659809679689899,0.699217298708766
2,Wagninho,Madureira,Madureira,"DMF, RCMF, LDMF",DMF,7,23,0,,10,870,Brazil,Brazil,right,186,0,no,8.28,2.376708,8.998127999999998,3.92916,0.83,1.7595,0.51813,0.41,4.136,RJ,Testing,2024,1.0,0.9714698126562755,1.0
3,Danrley,Volta Redonda,Volta Redonda,"DMF, RCMF, LCMF",DMF,7,22,0,,7,508,Brazil,Brazil,right,182,83,no,5.49,1.416,9.390654000000001,2.660615,0.89,2.303721,0.88458,1.42,2.48196,RJ,Testing,2024,0.0,0.0,0.0
4,Walney,Bangu,Bangu,"DMF, RCMF",DMF,7,27,0,,9,598,Brazil,Brazil,,0,0,no,4.97,2.556963,9.632,5.115412,0.9,3.161486,0.45003,0.0,4.065277999999999,RJ,Testing,2024,0.7149836113599358,0.7067082463770845,0.7211329580651771
5,Felipe Andrade,Fluminense,Fluminense,"RDMF, DMF, RCMF",RDMF,7,21,0,2024-12-31,7,599,Brazil,Brazil,right,182,76,no,7.07,1.239,11.669098,3.008137,1.41,2.2984,1.236596,3.01,3.3592,RJ,Testing,2024,0.3901986961039024,0.3655002132740068,0.3833175149457208
6,Rodrigo Dantas,Sampaio Corrêa RJ,Sampaio Corrêa RJ,"DMF, LCMF",DMF,7,34,0,,12,987,Brazil,Brazil,right,182,75,no,5.02,2.642990999999999,8.2108,2.825045,0.46,1.366776,0.458315,0.27,4.28204,RJ,Testing,2024,0.1146126159690074,0.1675240922057963,0.1431098292063953
7,Igor Guilherme,Nova Iguaçu,Nova Iguaçu,"RDMF, RCMF",RDMF,7,27,0,,12,846,Brazil,Brazil,,0,0,no,9.07,0.696,9.99663,3.489269999999999,0.81,1.860093,0.5785830000000001,0.12,3.84,RJ,Testing,2024,0.6157844451760316,0.6954275341223907,0.6650936123296509
8,Ronald,Nova Iguaçu,Nova Iguaçu,"LDMF, RCMF, LCMF",LDMF,7,27,0,,13,725,Brazil,Brazil,,0,0,no,6.69,1.801884,8.098376,4.243722,1.29,1.028261,0.642282,0.51,5.017500000000001,RJ,Testing,2024,0.604050211175969,0.5138265288129441,0.5670270641794576
9,Albert,Nova Iguaçu,Nova Iguaçu,"LDMF, RDMF, LCMF",LDMF,7,27,0,,14,1245,Brazil,Brazil,right,0,0,no,6.49,1.97676,6.809334,3.3285,1.42,1.107742,0.7928730000000002,0.55,3.16626,RJ,Testing,2024,0.2449796490642581,0.2121848945275229,0.2318902073249687
0,C. Aránguiz,Internacional,Internacional,"DMF, RCMF",DMF,7,34,3500000,2025-06-30,12,958,Chile,Chile,right,171,69,no,7.78,1.55625,17.106549,6.738732,0.73,1.24294,0.205,0.0,11.40524,RS,Testing,2024,1.0,0.9631358785711422,0.9999999999999999
1,Jádson,Juventude,Juventude,"RDMF, RCMF",RDMF,7,30,900000,2024-12-31,15,1465,Brazil,Brazil,right,171,67,no,6.82,2.02615,9.336359999999999,5.219208,1.23,3.255615999999999,0.614864,0.37,4.97553,RS,Testing,2024,0.5743019077566969,0.4998697464339714,0.547171322125954
2,Luís Oyama,Juventude,Juventude,"DMF, LDMF, RCMF",DMF,7,27,800000,2025-12-31,11,544,Brazil,"Brazil, Japan",right,171,69,yes,8.6,2.814312,8.102803999999999,4.137345,2.48,2.648624,1.821875,1.65,4.7995,RS,Testing,2024,0.7144803047808589,0.7712612842325953,0.7568205569625893
3,Dodi,Grêmio,Grêmio,"DMF, LCMF, RW",DMF,7,27,700000,2025-12-31,13,550,Brazil,Brazil,right,169,67,no,11.78,1.306585,5.399149,2.458235,1.8,2.12724,1.143366,1.15,3.93,RS,Testing,2024,0.627721384215981,0.6098266428903337,0.6303934641585061
4,Rômulo,Internacional,Internacional,"DMF, RCMF, RB",DMF,7,24,200000,,12,541,Brazil,Brazil,right,182,75,no,9.48,1.00005,9.64523,3.993533000000001,0.67,1.330776,0.5025,0.17,3.992,RS,Testing,2024,0.6708238112471562,0.621198218041464,0.6581419265940018
5,Caíque Gonçalves,Juventude,Juventude,"LDMF, LCMF, DMF",LDMF,7,28,200000,,11,879,Brazil,Brazil,right,178,71,no,10.14,0.919347,8.603525000000001,3.688,1.02,3.172538,0.92,0.92,4.096,RS,Testing,2024,0.7154501819155211,0.7047620613904222,0.7234406231420093
6,Barba,Caxias,Caxias,"DMF, LDMF, RCMF",DMF,7,25,100000,2024-12-31,9,804,Brazil,Brazil,right,177,71,yes,7.52,1.601339,7.523469,3.202056,0.12,0.74188,0.0,0.74,3.817944,RS,Testing,2024,0.1826962348166588,0.2070486619149744,0.1985317985300676
7,Anderson Uchôa,Ypiranga Erechim,Ypiranga Erechim,"DMF, LCMF, LDMF",DMF,7,33,0,,11,1080,Brazil,Brazil,right,178,68,no,7.08,2.1645,10.582775,5.16925,0.25,1.165,0.168,0.75,4.916399999999999,RS,Testing,2024,0.6383757896922858,0.568006225011226,0.6145178374415785
8,Bruno Camilo,Avenida,Avenida,"RDMF, AMF, RCMF",RDMF,7,26,0,,10,807,Brazil,Brazil,right,173,70,no,4.57,3.348959999999999,11.71165,7.141750000000001,1.12,1.113525,0.33375,0.56,7.133770000000001,RS,Testing,2024,0.9572070630654009,1.0,0.996979926060922
9,Jhonata Lima,Avenida,Avenida,"LDMF, LCMF, RDMF",LDMF,7,31,0,,10,844,Brazil,Brazil,right,186,72,no,6.4,1.92,8.850725,4.15727,0.11,0.746688,0.106656,0.11,4.055865,RS,Testing,2024,0.2076130563436513,0.240705175664669,0.2283684165227657
10,Jeferson Lopes,Brasil de Pelotas,Brasil de Pelotas,"RDMF, RCMF, LDMF",RDMF,7,27,0,,7,508,Brazil,Brazil,,184,76,no,7.26,0.7077099999999998,5.317038999999999,2.83647,0.53,1.063725,0.175,0.0,2.128492,RS,Testing,2024,0.0,0.0,0.0
11,Lucas Hulk,São Luiz,São Luiz,"DMF, LCMF",DMF,7,31,0,,10,711,Brazil,Brazil,,0,0,no,12.03,1.01346,7.851807,2.533536,0.76,2.28,0.631755,1.01,2.52926,RS,Testing,2024,0.5642964123272683,0.5671959388785188,0.5763698598536835
0,Pablo Maia,São Paulo,São Paulo,"LDMF, LCMF, RCMF",LDMF,7,22,6000000,2027-12-31,11,1020,Brazil,Brazil,right,178,72,no,9.0,3.885406,9.88,5.470056,0.88,1.851036,0.6192749999999999,0.26,6.084616,SP,Testing,2024,1.0,1.0,1.0
1,Diego Pituca,Santos,Santos,"RDMF, RCMF",RDMF,7,31,1700000,,14,1337,Brazil,Brazil,left,178,69,no,6.73,2.626514,8.617089,4.103596,1.21,1.34706,0.405,0.81,4.107468,SP,Testing,2024,0.2912848053275691,0.2466729765006943,0.2689788909141317
2,Zé Ricardo,Portuguesa,Portuguesa,"DMF, LCMF, RDMF",DMF,7,28,1200000,,10,802,Brazil,Brazil,right,176,74,no,9.2,2.13046,12.1182,4.261972,1.01,2.134616,0.9000450000000001,0.9,4.940160000000001,SP,Testing,2024,0.7964023419751064,0.7356343888452429,0.7660183654101747
3,Raniele,Corinthians,Corinthians,"DMF, RCMF, RDMF",DMF,7,27,1000000,2026-12-31,11,1047,Brazil,Brazil,right,184,78,no,8.85,1.373402,7.649228999999999,3.43746,0.77,1.892,0.602043,0.6,4.297149999999999,SP,Testing,2024,0.3883076108581278,0.3684942498447287,0.3784009303514283
4,João Schmidt,Santos,Santos,"LDMF, LCMF",LDMF,7,30,800000,,15,1292,Brazil,Brazil,left,183,80,no,10.66,2.020464,11.01009,5.156318,0.98,1.1859,0.559972,0.35,5.570301,SP,Testing,2024,0.9747066928431575,0.9180044724164835,0.9463555826298204
5,Alisson,São Paulo,São Paulo,"RDMF, RCMF",RDMF,7,30,600000,2024-12-31,12,989,Brazil,Brazil,right,174,73,no,6.46,3.00381,9.462200000000001,4.822818,2.18,2.549596,1.003005,1.09,5.826712,SP,Testing,2024,0.6195535770575104,0.5973079073658419,0.6084307422116761
6,Emerson Santos,Inter de Limeira,Inter de Limeira,"DMF, CB",DMF,7,28,500000,2025-01-01,12,1058,Brazil,Brazil,right,184,75,no,8.27,3.348,7.064226,3.161235,0.74,1.1136,0.4625,0.37,3.44023,SP,Testing,2024,0.3379728077821479,0.3691223510232614,0.3535475794027046
7,Miquéias,Ituano,Ituano,"LDMF, RDMF, RCMF",LDMF,7,22,0,,10,651,Brazil,Brazil,right,187,74,yes,6.09,1.450116,6.231240000000001,3.335232,0.58,0.87,0.435,0.58,4.35,SP,Testing,2024,0.0,0.0,0.0
