Unnamed: 0,Duelos_Aéreos_Ganhos,Duelos_Ofensivos_Ganhos,xG,Conversão_Gols,Conversão_xG,Ameaça_Ofensiva,xA,Deep_Completions,Passes_Chave,Passes_ÁreaPênalti_Certos,Rating,Atleta,Equipe,Equipe_Janela_Análise,Posição,Posição_Wyscout,Código_Posição_Wyscout,Idade,Valor_Mercado,Fim_Contrato,Jogos,Minutos,Nacionalidade,Passaporte,Pé,Altura,Peso,Empréstimo,Liga,Base,Versão_Temporada,Role,L_Rating,L_Ranking,Size,L_Percentil,Duelos_Aéreos_Ganhos_LM,Duelos_Ofensivos_Ganhos_LM,xG_LM,Conversão_Gols_LM,Conversão_xG_LM,Ameaça_Ofensiva_LM,xA_LM,Deep_Completions_LM,Passes_Chave_LM,Passes_ÁreaPênalti_Certos_LM,Duelos_Aéreos_Ganhos_Rank,Duelos_Ofensivos_Ganhos_Rank,xG_Rank,Conversão_Gols_Rank,Conversão_xG_Rank,Ameaça_Ofensiva_Rank,xA_Rank,Deep_Completions_Rank,Passes_Chave_Rank,Passes_ÁreaPênalti_Certos_Rank,Duelos_Aéreos_Ganhos_Percentil,Duelos_Ofensivos_Ganhos_Percentil,xG_Percentil,Conversão_Gols_Percentil,Conversão_xG_Percentil,Ameaça_Ofensiva_Percentil,xA_Percentil,Deep_Completions_Percentil,Passes_Chave_Percentil,Passes_ÁreaPênalti_Certos_Percentil
7,0.81337,0.071598,0.142857,1.0,1.0,0.68256,0.1875,0.350427,0.288136,0.461123,1.0,Caio Mancha,Villa Nova,Villa Nova,CF,CF,12,31,50000,,6,516,Brazil,Brazil,right,188,87,no,MG,Testing,2024,Atacante Referência,1.0,1,13,92,0.502565,0.256258,0.434676,0.358075,0.535643,0.351241,0.317308,0.33925,0.323338,0.274818,3,9,11.5,1.0,1.0,2,8.5,5.0,6.0,3.0,76,30,11,92,92,84,34,61,53,76
3,0.62388,0.000459,1.0,0.908315,0.653303,1.0,0.125,0.213675,0.20339,0.078361,0.900139,Jonathas,Athletic Club,Athletic Club,CF,CF,12,35,300000,,10,752,Brazil,Brazil,right,192,81,no,MG,Testing,2024,Atacante Referência,0.9,2,13,84,0.502565,0.256258,0.434676,0.358075,0.535643,0.351241,0.317308,0.33925,0.323338,0.274818,6,12,1.0,2.0,5.5,1,10.5,7.0,8.0,9.0,53,7,92,84,57,92,19,46,38,30
9,0.71083,0.1601,0.984127,0.483858,0.484851,0.625117,0.0625,0.094017,0.0,0.0,0.783124,Igor Bahia,Tombense,Tombense,CF,CF,12,31,0,,8,803,Brazil,Brazil,,0,0,no,MG,Testing,2024,Atacante Referência,0.783,3,13,76,0.502565,0.256258,0.434676,0.358075,0.535643,0.351241,0.317308,0.33925,0.323338,0.274818,5,5,2.0,4.0,7.0,3,12.0,11.0,11.5,13.0,61,61,84,69,46,76,7,15,11,0
10,0.897721,0.93975,0.571429,0.201603,0.435297,0.2078,0.25,0.136752,0.694915,0.01609,0.698205,Everton Kanela,Patrocinense,Patrocinense,CF,CF,12,28,0,,8,658,Brazil,Brazil,right,0,0,no,MG,Testing,2024,Atacante Referência,0.698,4,13,69,0.502565,0.256258,0.434676,0.358075,0.535643,0.351241,0.317308,0.33925,0.323338,0.274818,2,2,3.0,8.5,8.0,9,6.5,10.0,2.0,11.0,84,84,76,34,38,30,50,23,84,15
6,1.0,0.16927,0.0,0.253455,0.810066,0.036273,0.25,0.367521,0.0,0.365457,0.692563,Caiuby,Patrocinense,Patrocinense,"CF, LW, AMF",CF,12,35,75000,,8,503,Brazil,Brazil,left,184,85,no,MG,Testing,2024,Atacante Referência,0.693,5,13,61,0.502565,0.256258,0.434676,0.358075,0.535643,0.351241,0.317308,0.33925,0.323338,0.274818,1,4,13.0,7.0,4.0,11,6.5,4.0,11.5,4.0,92,69,0,46,69,15,50,69,11,69
2,0.399959,1.0,0.47619,0.274184,0.854483,0.036101,1.0,1.0,1.0,1.0,0.615654,Hulk,Atlético Mineiro,Atlético Mineiro,CF,CF,12,37,2500000,2024-12-31,9,915,Brazil,Brazil,left,180,85,no,MG,Testing,2024,Atacante Referência,0.616,6,13,53,0.502565,0.256258,0.434676,0.358075,0.535643,0.351241,0.317308,0.33925,0.323338,0.274818,8,1,5.0,6.0,3.0,12,1.0,1.0,1.0,1.0,38,92,61,53,76,7,92,92,92,92
12,0.315021,0.037373,0.428571,0.645163,0.894183,0.405418,0.3125,0.0,0.186441,0.003014,0.547325,Luis Felipe,Ipatinga,Ipatinga,CF,CF,12,23,0,2024-12-31,10,785,Brazil,Brazil,,0,0,yes,MG,Testing,2024,Atacante Referência,0.547,7,13,46,0.502565,0.256258,0.434676,0.358075,0.535643,0.351241,0.317308,0.33925,0.323338,0.274818,9,11,8.0,3.0,2.0,5,4.5,13.0,9.0,12.0,30,15,38,76,84,61,65,0,30,7
5,0.751449,0.0,0.206349,0.020149,0.252298,0.0,0.3125,0.188034,0.0,0.129597,0.523315,Da Silva,Itabirito,Itabirito,CF,CF,12,25,100000,,8,552,Brazil,Brazil,right,187,0,no,MG,Testing,2024,Atacante Referência,0.523,8,13,38,0.502565,0.256258,0.434676,0.358075,0.535643,0.351241,0.317308,0.33925,0.323338,0.274818,4,13,10.0,12.0,11.0,13,4.5,9.0,11.5,7.0,69,0,23,7,15,0,65,30,11,46
11,0.419914,0.556011,0.142857,0.201603,0.300244,0.360862,0.125,0.034188,0.254237,0.120555,0.455578,Gutinho,Democrata GV,Democrata GV,CF,CF,12,32,0,,11,588,Brazil,Brazil,unknown,0,0,no,MG,Testing,2024,Atacante Referência,0.456,9,13,30,0.502565,0.256258,0.434676,0.358075,0.535643,0.351241,0.317308,0.33925,0.323338,0.274818,7,3,11.5,8.5,10.0,6,10.5,12.0,7.0,8.0,46,76,11,34,23,53,19,7,46,38
1,0.210528,0.048395,0.47619,0.37635,0.653303,0.287404,0.0,0.230769,0.0,0.162749,0.259871,J. Dinenno,Cruzeiro,Cruzeiro,"CF, RWF",CF,12,29,4500000,2024-12-31,11,946,Argentina,Argentina,right,186,82,no,MG,Testing,2024,Atacante Referência,0.26,10,13,23,0.502565,0.256258,0.434676,0.358075,0.535643,0.351241,0.317308,0.33925,0.323338,0.274818,11,10,5.0,5.0,5.5,8,13.0,6.0,11.5,6.0,15,23,61,61,57,38,0,53,11,53
