Unnamed: 0,Atleta,Equipe,Equipe_Janela_Análise,Posição,Posição_Wyscout,Código_Posição_Wyscout,Idade,Valor_Mercado,Fim_Contrato,Jogos,Minutos,Nacionalidade,Passaporte,Pé,Altura,Peso,Empréstimo,Passes_Longos_Certos,Passes_Frontais_Certos,Passes_Progressivos_Certos,Duelos_Ofensivos_Ganhos,Dribles_BemSucedidos,xG,Finalizações_NoAlvo,Conversão_Gols,xA,Assistência_Finalização,Passes_Inteligentes_Certos,Passes_EntreLinhas_Certos,Passes_Chave,Liga,Base,Versão_Temporada,RF_Rating,ET_Rating,Rating
7,Douglas Baggio,Botafogo SP,Botafogo SP,"RW, LWF, AMF",RW,10,29,500000,,11,820,Brazil,Brazil,right,172,71,no,0.439978,4.2825,2.3025,7.024257,2.96325,0.08,0.77,6.25,0.07,1.1,0.11,0.22,0.22,SP,Testing,2024,0.4811133298203059,0.5251768116141007,0.5031450707172034
8,Felipe Ferreira,Santo André,Santo André,"RW, AMF, CF",RW,10,29,400000,,10,620,Brazil,Brazil,right,186,74,no,0.4379999999999999,4.212864,2.904,2.90184,1.597764,0.11,1.159884,0.0,0.15,1.31,0.0,0.0,0.44,SP,Testing,2024,0.4306973761272585,0.4010659062227493,0.4158816411750039
9,Emerson Negueba,Botafogo SP,Botafogo SP,"RWF, RW, RB",RWF,11,23,400000,2026-12-31,12,704,Brazil,Brazil,right,175,75,yes,0.3825,2.17212,1.280064,6.137193999999999,3.067878,0.06,0.256338,0.0,0.07,0.89,0.0,0.0,0.51,SP,Testing,2024,0.2397067173662594,0.2561198278710815,0.2479132726186705
10,Fernandinho,Mirassol,Mirassol,"LW, LAMF",LW,10,26,400000,,11,735,Brazil,Brazil,right,175,70,no,0.244,2.572696,1.5925,6.857308999999999,4.284495,0.11,0.243309,0.0,0.1,0.61,0.12,0.0,0.37,SP,Testing,2024,0.33244890245429,0.3610089938706734,0.3467289481624818
11,Waguininho,Grêmio Novorizontino,Grêmio Novorizontino,"RW, LW, RWF",RW,10,34,400000,,14,984,Brazil,Brazil,right,177,75,no,0.365,3.20328,2.19424,2.013092,0.732714,0.2,0.641685,5.556,0.14,1.01,0.0,0.09,0.55,SP,Testing,2024,0.2423436390604138,0.2618234411297979,0.2520835400951059
12,Pablo Diogo,Ituano,Ituano,"RAMF, LW, RW",RAMF,10,31,350000,,10,716,Brazil,Brazil,right,175,67,no,1.582394,6.75876,4.742014,1.58,0.71875,0.07,0.144,20.0,0.11,0.58,0.29,0.43,0.58,SP,Testing,2024,0.6041541925697574,0.6480222595121411,0.6260882260409493
13,Reinaldo,Guarani,Guarani,"RAMF, RW, LW",RAMF,10,22,300000,,12,892,Brazil,Brazil,right,177,73,no,0.403596,2.220344,2.520361,4.439679999999999,2.621828,0.1,0.504495,18.182,0.26,1.41,0.0,0.0,0.81,SP,Testing,2024,0.3546734590694791,0.3676985127507885,0.3611859859101338
14,Iago Dias,Ponte Preta,Ponte Preta,"LW, LCMF, CF",LW,10,30,300000,,9,692,Brazil,Brazil,right,175,74,no,0.6500130000000002,2.34,1.169987,3.639467,2.730208,0.24,0.6499739999999999,23.077,0.01,0.13,0.0,0.0,0.13,SP,Testing,2024,0.08944247105443186,0.148069873749697,0.1187561724020644
15,Felipe Marques,Portuguesa,Portuguesa,"LWF, LCMF, RAMF",LWF,11,34,300000,,10,625,Brazil,Brazil,right,168,0,no,0.0,2.0125,1.005512,3.456803,1.728,0.17,0.288391,0.0,0.02,0.43,0.0,0.0,0.0,SP,Testing,2024,0.0,0.0,0.0
16,Rômulo,Grêmio Novorizontino,Grêmio Novorizontino,"LW, LWF",LW,10,22,300000,2025-06-30,13,1058,Brazil,Brazil,right,175,64,no,1.107301,3.060085,2.55402,2.89432,1.532784,0.21,1.192002,9.091,0.15,0.94,0.085,0.08665799999999999,0.26,SP,Testing,2024,0.338050061681833,0.3709513220665096,0.3545006918741713
