Unnamed: 0,Ações_Defensivas_BemSucedidas,Duelos_Defensivos_Ganhos,Duelos_Aéreos_Ganhos,Passes_Progressivos_Certos,Rating,Atleta,Equipe,Equipe_Janela_Análise,Posição,Posição_Wyscout,Código_Posição_Wyscout,Idade,Valor_Mercado,Fim_Contrato,Jogos,Minutos,Nacionalidade,Passaporte,Pé,Altura,Peso,Empréstimo,Liga,Base,Versão_Temporada,Role,L_Rating,L_Ranking,Size,L_Percentil,Ações_Defensivas_BemSucedidas_LM,Duelos_Defensivos_Ganhos_LM,Duelos_Aéreos_Ganhos_LM,Passes_Progressivos_Certos_LM,Ações_Defensivas_BemSucedidas_Rank,Duelos_Defensivos_Ganhos_Rank,Duelos_Aéreos_Ganhos_Rank,Passes_Progressivos_Certos_Rank,Ações_Defensivas_BemSucedidas_Percentil,Duelos_Defensivos_Ganhos_Percentil,Duelos_Aéreos_Ganhos_Percentil,Passes_Progressivos_Certos_Percentil
11,0.567342,0.778916,0.097952,0.840286,1.0,Gabriel Galhardo,XV de Piracicaba,Patrocinense,"DMF, RDMF, RCMF",DMF,7,30,0,,7,705,Brazil,Brazil,right,170,65,no,MG,Testing,2024,Primeiro Volante Defensivo,1.0,1,13,92,0.467681,0.360461,0.311234,0.421688,4,2,11,2,69,84,15,84
3,1.0,1.0,0.494598,0.252823,0.911505,Wallisson,Athletic Club,Athletic Club,"LDMF, RDMF, RCMF",LDMF,7,26,500000,2025-12-31,7,664,Brazil,Brazil,right,184,73,no,MG,Testing,2024,Primeiro Volante Defensivo,0.912,2,13,84,0.467681,0.360461,0.311234,0.421688,1,1,2,9,92,92,84,30
4,0.491061,0.362339,0.444604,0.542816,0.734308,Alê,América Mineiro,América Mineiro,"DMF, LDMF",DMF,7,33,400000,2025-12-31,8,728,Brazil,Brazil,right,184,74,no,MG,Testing,2024,Primeiro Volante Defensivo,0.734,3,13,76,0.467681,0.360461,0.311234,0.421688,7,6,3,4,46,53,76,69
8,0.665077,0.264759,1.0,0.144316,0.664429,Mikael,Tombense,Tombense,"DMF, LDMF, RCMF",DMF,7,30,50000,,8,651,Brazil,Brazil,right,184,83,no,MG,Testing,2024,Primeiro Volante Defensivo,0.664,4,13,69,0.467681,0.360461,0.311234,0.421688,2,9,1,11,84,30,92,15
0,0.342074,0.115838,0.0,0.767477,0.541745,L. Romero,Cruzeiro,Cruzeiro,"RDMF, RCMF, LCMF",RDMF,7,29,3200000,2025-12-31,8,758,Argentina,Argentina,right,170,68,no,MG,Testing,2024,Primeiro Volante Defensivo,0.542,5,13,61,0.467681,0.360461,0.311234,0.421688,10,11,13,3,23,15,0,76
5,0.479142,0.391842,0.360133,0.360237,0.525988,Diego Fumaça,Athletic Club,Athletic Club,"RDMF, LDMF, RCMF",RDMF,7,29,150000,,10,1012,Brazil,Brazil,right,176,75,no,MG,Testing,2024,Primeiro Volante Defensivo,0.526,6,13,53,0.467681,0.360461,0.311234,0.421688,8,5,6,7,38,61,53,46
10,0.551847,0.457782,0.157827,0.357167,0.477575,Davi Lopes,Ipatinga,Ipatinga,"DMF, LDMF, LCMF",DMF,7,31,0,,6,529,Brazil,Brazil,,0,0,no,MG,Testing,2024,Primeiro Volante Defensivo,0.478,7,13,46,0.467681,0.360461,0.311234,0.421688,5,4,9,8,61,69,30,38
9,0.653159,0.540978,0.222789,0.0,0.473082,Henrique Rocha,Pouso Alegre,Pouso Alegre,"DMF, LCMF",DMF,7,27,0,,12,938,Brazil,Brazil,unknown,0,0,no,MG,Testing,2024,Primeiro Volante Defensivo,0.473,8,13,38,0.467681,0.360461,0.311234,0.421688,3,3,8,13,76,76,38,0
6,0.514899,0.265327,0.11275,0.446763,0.469351,Jorge Pedra,Democrata GV,Democrata GV,"RDMF, LDMF, DMF",RDMF,7,24,150000,,10,813,Brazil,Brazil,left,0,0,no,MG,Testing,2024,Primeiro Volante Defensivo,0.469,9,13,30,0.467681,0.360461,0.311234,0.421688,6,8,10,5,53,38,23,61
12,0.0,0.0,0.07745,1.0,0.461004,Alemão,Democrata GV,Democrata GV,"LDMF, RDMF, LCMF",LDMF,7,36,0,,11,991,Brazil,Brazil,right,0,0,no,MG,Testing,2024,Primeiro Volante Defensivo,0.461,10,13,23,0.467681,0.360461,0.311234,0.421688,13,13,12,1,0,0,7,92
2,0.35876,0.317826,0.248769,0.429925,0.397894,Lucas Silva,Cruzeiro,Cruzeiro,"LDMF, RCMF, LCMF",LDMF,7,31,1000000,,10,866,Brazil,Brazil,right,181,76,no,MG,Testing,2024,Primeiro Volante Defensivo,0.398,11,13,15,0.467681,0.360461,0.311234,0.421688,9,7,7,6,30,46,46,53
1,0.33969,0.156193,0.431092,0.129406,0.174593,R. Battaglia,Atlético Mineiro,Atlético Mineiro,"LDMF, LCMF, RCMF",LDMF,7,32,1500000,2024-12-31,8,747,Argentina,"Argentina, Italy",right,187,78,no,MG,Testing,2024,Primeiro Volante Defensivo,0.175,12,13,7,0.467681,0.360461,0.311234,0.421688,11,10,4,12,15,23,69,7
7,0.116806,0.03419,0.398072,0.21073,0.0,Lucas Vital,Villa Nova,Villa Nova,"DMF, LCMF, RDMF",DMF,7,22,100000,,6,598,Brazil,Brazil,,178,72,no,MG,Testing,2024,Primeiro Volante Defensivo,0.0,13,13,0,0.467681,0.360461,0.311234,0.421688,12,12,5,10,7,7,61,23
2,0.807317,0.732105,0.586791,0.435277,1.0,Wagninho,Madureira,Madureira,"DMF, RCMF, LDMF",DMF,7,23,0,,10,870,Brazil,Brazil,right,186,0,no,RJ,Testing,2024,Primeiro Volante Defensivo,1.0,1,10,90,0.434634,0.365886,0.427428,0.408008,2,2,2,5,80,80,80,50
0,0.526829,0.282856,1.0,1.0,0.915687,Danilo Barbosa,Botafogo,Botafogo,"DMF, RCB",DMF,7,28,2500000,2025-06-30,8,694,Brazil,Brazil,right,183,74,no,RJ,Testing,2024,Primeiro Volante Defensivo,0.916,2,10,80,0.434634,0.365886,0.427428,0.408008,4,5,1,1,60,50,90,90
7,1.0,1.0,0.386953,0.284337,0.869948,Igor Guilherme,Nova Iguaçu,Nova Iguaçu,"RDMF, RCMF",RDMF,7,27,0,,12,846,Brazil,Brazil,,0,0,no,RJ,Testing,2024,Primeiro Volante Defensivo,0.87,3,10,70,0.434634,0.365886,0.427428,0.408008,1,1,5,6,90,90,50,40
1,0.570732,0.186477,0.34458,0.5701,0.73178,William Oliveira,Boavista,Boavista,"DMF, RCMF",DMF,7,32,300000,,13,1207,Brazil,Brazil,right,182,80,no,RJ,Testing,2024,Primeiro Volante Defensivo,0.732,4,10,60,0.434634,0.365886,0.427428,0.408008,3,7,7,3,70,30,30,70
8,0.419512,0.390965,0.44104,0.543213,0.71712,Ronald,Nova Iguaçu,Nova Iguaçu,"LDMF, RCMF, LCMF",LDMF,7,27,0,,13,725,Brazil,Brazil,,0,0,no,RJ,Testing,2024,Primeiro Volante Defensivo,0.717,5,10,50,0.434634,0.365886,0.427428,0.408008,6,4,4,4,40,60,60,60
4,0.0,0.239387,0.350679,0.842317,0.600774,Walney,Bangu,Bangu,"DMF, RCMF",DMF,7,27,0,,9,598,Brazil,Brazil,,0,0,no,RJ,Testing,2024,Primeiro Volante Defensivo,0.601,6,10,40,0.434634,0.365886,0.427428,0.408008,10,6,6,2,0,40,40,80
5,0.512195,0.595406,0.322867,0.119246,0.525888,Felipe Andrade,Fluminense,Fluminense,"RDMF, DMF, RCMF",RDMF,7,21,0,2024-12-31,7,599,Brazil,Brazil,right,182,76,no,RJ,Testing,2024,Primeiro Volante Defensivo,0.526,7,10,30,0.434634,0.365886,0.427428,0.408008,5,3,8,8,50,70,20,20
9,0.370732,0.114393,0.5193,0.229172,0.421779,Albert,Nova Iguaçu,Nova Iguaçu,"LDMF, RDMF, LCMF",LDMF,7,27,0,,14,1245,Brazil,Brazil,right,0,0,no,RJ,Testing,2024,Primeiro Volante Defensivo,0.422,8,10,20,0.434634,0.365886,0.427428,0.408008,7,9,3,7,30,10,70,30
