Unnamed: 0,Ações_Defensivas_BemSucedidas,Duelos_Defensivos_Ganhos,Duelos_Aéreos_Ganhos,Passes_Progressivos_Certos,Rating,Atleta,Equipe,Equipe_Janela_Análise,Posição,Posição_Wyscout,Código_Posição_Wyscout,Idade,Valor_Mercado,Fim_Contrato,Jogos,Minutos,Nacionalidade,Passaporte,Pé,Altura,Peso,Empréstimo,Liga,Base,Versão_Temporada,Role,L_Rating,L_Ranking,Size,L_Percentil,Ações_Defensivas_BemSucedidas_LM,Duelos_Defensivos_Ganhos_LM,Duelos_Aéreos_Ganhos_LM,Passes_Progressivos_Certos_LM,Ações_Defensivas_BemSucedidas_Rank,Duelos_Defensivos_Ganhos_Rank,Duelos_Aéreos_Ganhos_Rank,Passes_Progressivos_Certos_Rank,Ações_Defensivas_BemSucedidas_Percentil,Duelos_Defensivos_Ganhos_Percentil,Duelos_Aéreos_Ganhos_Percentil,Passes_Progressivos_Certos_Percentil
3,0.126829,0.117277,0.322074,0.0,0.164223,Danrley,Volta Redonda,Volta Redonda,"DMF, RCMF, LCMF",DMF,7,22,0,,7,508,Brazil,Brazil,right,182,83,no,RJ,Testing,2024,Primeiro Volante Defensivo,0.164,9,10,10,0.434634,0.365886,0.427428,0.408008,8,8,9,10,20,20,10,0
6,0.012195,0.0,0.0,0.056421,0.0,Rodrigo Dantas,Sampaio Corrêa RJ,Sampaio Corrêa RJ,"DMF, LCMF",DMF,7,34,0,,12,987,Brazil,Brazil,right,182,75,no,RJ,Testing,2024,Primeiro Volante Defensivo,0.0,10,10,0,0.434634,0.365886,0.427428,0.408008,9,10,10,9,10,0,0,10
11,1.0,1.0,0.652593,0.016078,1.0,Lucas Hulk,São Luiz,São Luiz,"DMF, LCMF",DMF,7,31,0,,10,711,Brazil,Brazil,,0,0,no,RS,Testing,2024,Primeiro Volante Defensivo,1.0,1,12,91,0.498436,0.415925,0.301727,0.387468,1,1,2,11,91,91,83,8
0,0.430295,0.584477,0.0,0.91395,0.992134,C. Aránguiz,Internacional,Internacional,"DMF, RCMF",DMF,7,34,3500000,2025-06-30,12,958,Chile,Chile,right,171,69,no,RS,Testing,2024,Primeiro Volante Defensivo,0.992,2,12,83,0.498436,0.415925,0.301727,0.387468,6,4,12,2,50,66,0,83
4,0.658177,0.380213,1.0,0.327809,0.935249,Rômulo,Internacional,Internacional,"DMF, RCMF, RB",DMF,7,24,200000,,12,541,Brazil,Brazil,right,182,75,no,RS,Testing,2024,Primeiro Volante Defensivo,0.935,3,12,75,0.498436,0.415925,0.301727,0.387468,4,6,1,7,66,50,91,41
5,0.746649,0.718805,0.357506,0.262573,0.872029,Caíque Gonçalves,Juventude,Juventude,"LDMF, LCMF, DMF",LDMF,7,28,200000,,11,879,Brazil,Brazil,right,178,71,no,RS,Testing,2024,Primeiro Volante Defensivo,0.872,4,12,66,0.498436,0.415925,0.301727,0.387468,3,3,4,8,75,75,66,33
3,0.966488,0.899768,0.147859,0.0,0.844949,Dodi,Grêmio,Grêmio,"DMF, LCMF, RW",DMF,7,27,700000,2025-12-31,13,550,Brazil,Brazil,right,169,67,no,RS,Testing,2024,Primeiro Volante Defensivo,0.845,5,12,58,0.498436,0.415925,0.301727,0.387468,2,2,8,12,83,83,33,0
7,0.336461,0.161519,0.576971,0.578842,0.608748,Anderson Uchôa,Ypiranga Erechim,Ypiranga Erechim,"DMF, LCMF, LDMF",DMF,7,33,0,,11,1080,Brazil,Brazil,right,178,68,no,RS,Testing,2024,Primeiro Volante Defensivo,0.609,6,12,50,0.498436,0.415925,0.301727,0.387468,9,8,3,4,25,33,75,66
2,0.540214,0.543839,0.016385,0.358515,0.497863,Luís Oyama,Juventude,Juventude,"DMF, LDMF, RCMF",DMF,7,27,800000,2025-12-31,11,544,Brazil,"Brazil, Japan",right,171,69,yes,RS,Testing,2024,Primeiro Volante Defensivo,0.498,7,12,41,0.498436,0.415925,0.301727,0.387468,5,5,11,6,58,58,8,50
8,0.0,0.0,0.062047,1.0,0.492016,Bruno Camilo,Avenida,Avenida,"RDMF, AMF, RCMF",RDMF,7,26,0,,10,807,Brazil,Brazil,right,173,70,no,RS,Testing,2024,Primeiro Volante Defensivo,0.492,8,12,33,0.498436,0.415925,0.301727,0.387468,12,12,10,1,0,0,16,91
1,0.301609,0.32381,0.087564,0.589509,0.460925,Jádson,Juventude,Juventude,"RDMF, RCMF",RDMF,7,30,900000,2024-12-31,15,1465,Brazil,Brazil,right,171,67,no,RS,Testing,2024,Primeiro Volante Defensivo,0.461,9,12,25,0.498436,0.415925,0.301727,0.387468,10,7,9,3,16,41,25,75
9,0.245308,0.135551,0.287492,0.362769,0.156875,Jhonata Lima,Avenida,Avenida,"LDMF, LCMF, RDMF",LDMF,7,31,0,,10,844,Brazil,Brazil,right,186,72,no,RS,Testing,2024,Primeiro Volante Defensivo,0.157,10,12,16,0.498436,0.415925,0.301727,0.387468,11,10,5,5,8,16,58,58
6,0.395442,0.137558,0.270211,0.158817,0.117605,Barba,Caxias,Caxias,"DMF, LDMF, RCMF",DMF,7,25,100000,2024-12-31,9,804,Brazil,Brazil,right,177,71,yes,RS,Testing,2024,Primeiro Volante Defensivo,0.118,11,12,8,0.498436,0.415925,0.301727,0.387468,7,9,6,9,41,25,50,25
10,0.36059,0.105556,0.1621,0.080759,0.0,Jeferson Lopes,Brasil de Pelotas,Brasil de Pelotas,"RDMF, RCMF, LDMF",RDMF,7,27,0,,7,508,Brazil,Brazil,,184,76,no,RS,Testing,2024,Primeiro Volante Defensivo,0.0,12,12,0,0.498436,0.415925,0.301727,0.387468,8,11,7,10,33,8,41,16
4,1.0,1.0,0.532943,0.864113,1.0,João Schmidt,Santos,Santos,"LDMF, LCMF",LDMF,7,30,800000,,15,1292,Brazil,Brazil,left,183,80,no,SP,Testing,2024,Primeiro Volante Defensivo,1.0,1,8,87,0.452407,0.381787,0.331857,0.457961,1,1,2,2,87,87,75,75
0,0.636761,0.535067,0.0,1.0,0.951202,Pablo Maia,São Paulo,São Paulo,"LDMF, LCMF, RCMF",LDMF,7,22,6000000,2027-12-31,11,1020,Brazil,Brazil,right,178,72,no,SP,Testing,2024,Primeiro Volante Defensivo,0.951,2,8,75,0.452407,0.381787,0.331857,0.457961,3,2,8,1,62,75,0,87
2,0.680525,0.52752,0.244817,0.476753,0.741753,Zé Ricardo,Portuguesa,Portuguesa,"DMF, LCMF, RDMF",DMF,7,28,1200000,,10,802,Brazil,Brazil,right,176,74,no,SP,Testing,2024,Primeiro Volante Defensivo,0.742,3,8,62,0.452407,0.381787,0.331857,0.457961,2,3,5,4,75,62,37,50
3,0.603939,0.420229,1.0,0.119639,0.602817,Raniele,Corinthians,Corinthians,"DMF, RCMF, RDMF",DMF,7,27,1000000,2026-12-31,11,1047,Brazil,Brazil,right,184,78,no,SP,Testing,2024,Primeiro Volante Defensivo,0.603,4,8,50,0.452407,0.381787,0.331857,0.457961,4,4,1,6,50,50,87,25
5,0.080963,0.090033,0.242486,0.719667,0.405912,Alisson,São Paulo,São Paulo,"RDMF, RCMF",RDMF,7,30,600000,2024-12-31,12,989,Brazil,Brazil,right,174,73,no,SP,Testing,2024,Primeiro Volante Defensivo,0.406,5,8,37,0.452407,0.381787,0.331857,0.457961,7,7,6,3,12,12,25,62
6,0.477024,0.0,0.252338,0.0,0.178671,Emerson Santos,Inter de Limeira,Inter de Limeira,"DMF, CB",DMF,7,28,500000,2025-01-01,12,1058,Brazil,Brazil,right,184,75,no,SP,Testing,2024,Primeiro Volante Defensivo,0.179,6,8,25,0.452407,0.381787,0.331857,0.457961,5,8,4,8,37,0,50,0
1,0.140044,0.128598,0.072137,0.408157,0.043604,Diego Pituca,Santos,Santos,"RDMF, RCMF",RDMF,7,31,1700000,,14,1337,Brazil,Brazil,left,178,69,no,SP,Testing,2024,Primeiro Volante Defensivo,0.044,7,8,12,0.452407,0.381787,0.331857,0.457961,6,6,7,5,25,25,12,37
7,0.0,0.35285,0.310132,0.075362,0.0,Miquéias,Ituano,Ituano,"LDMF, RDMF, RCMF",LDMF,7,22,0,,10,651,Brazil,Brazil,right,187,74,yes,SP,Testing,2024,Primeiro Volante Defensivo,0.0,8,8,0,0.452407,0.381787,0.331857,0.457961,8,5,3,7,0,37,62,12
