Unnamed: 0,Atleta,Equipe,Equipe_Janela_Análise,Posição,Posição_Wyscout,Código_Posição_Wyscout,Idade,Valor_Mercado,Fim_Contrato,Jogos,Minutos,Nacionalidade,Passaporte,Pé,Altura,Peso,Empréstimo,Duelos_Aéreos_Ganhos,Defesas,Gols_Evitados,Saídas,Interceptações.1,xG_Evitado,Finalizações_por_Gol_Sofrido,Liga,Base,Versão_Temporada,RF_Rating,ET_Rating,Rating
10,Paulo Henrique,Volta Redonda,Volta Redonda,GK,GK,0,29,0,,11,1171,Brazil,Brazil,right,184,75,no,0.383318,60.42,-0.211,1.08,1.08,0.6043360433604337,2.527397260273973,RJ,Testing,2024,0.4518788663141959,0.4553259570359338,0.4544544544544545
11,Leandro Matheus,Sampaio Corrêa RJ,Sampaio Corrêa RJ,GK,GK,0,23,0,,11,1167,Brazil,Brazil,left,191,0,no,0.6133409999999999,75.76,0.009,1.08,1.39,0.7583497053045187,4.138211382113821,RJ,Testing,2024,0.9979040655665481,1.0,1.0
0,A. Marchesín,Grêmio,Grêmio,GK,GK,0,35,3000000,2025-06-30,7,701,Argentina,"Argentina, Italy",right,188,85,no,0.44,74.07,-0.13,1.18,1.03,0.7412060301507537,3.864077669902913,RS,Testing,2024,0.5040917230733484,0.4533925051834856,0.479
1,Anthoni,Internacional,Internacional,GK,GK,0,22,300000,2024-12-31,13,1238,Brazil,Brazil,right,193,88,no,0.55,75.86,-0.064,1.25,1.25,0.7577092511013216,4.127272727272727,RS,Testing,2024,0.6382814813773247,0.5712541547299512,0.605
2,Ruan Carneiro,Avenida,Avenida,GK,GK,0,33,150000,,11,1123,Brazil,Brazil,right,195,89,no,0.48,76.19,-0.156,2.32,1.36,0.7626112759643917,4.212499999999999,RS,Testing,2024,0.7705523861678806,0.6458258543192381,0.708
3,Alexander,Ypiranga Erechim,Ypiranga Erechim,GK,GK,0,24,100000,2025-12-31,8,804,Brazil,Brazil,right,190,85,yes,0.5625,77.14,-0.093,2.35,1.46,0.7704081632653061,4.355555555555555,RS,Testing,2024,0.8175471913073917,0.7300288310165034,0.774
4,Raul Steffens,Botafogo,São Luiz,GK,GK,0,26,100000,,11,1073,Brazil,Brazil,right,190,78,no,0.08,74.29,0.018,0.84,0.59,0.7448979591836735,3.92,RS,Testing,2024,0.2141741508340661,0.1986542239408322,0.206
5,Marcelo Pitol,Santa Cruz RS,Santa Cruz RS,GK,GK,0,41,0,,8,788,Brazil,Brazil,right,192,87,no,0.23,66.67,-0.443,0.91,0.46,0.6666666666666667,3.0,RS,Testing,2024,0.0,0.0,0.0
6,Lucas Maticoli,Novo Hamburgo,Novo Hamburgo,GK,GK,0,27,0,,11,1075,Brazil,Brazil,,0,0,no,0.2775,62.86,0.011,1.1,0.64,0.628125,2.689075630252101,RS,Testing,2024,0.0535773049642387,0.05802251423395886,0.056
7,Fábio Rampi,EC São José,EC São José,GK,GK,0,35,0,,12,1229,Brazil,Brazil,right,184,80,no,0.51,77.08,0.053,1.17,0.44,0.7698863636363636,4.345679012345679,RS,Testing,2024,0.6008486581083134,0.5690283974959716,0.585
