Unnamed: 0,Duelos_Ofensivos_Ganhos,Dribles_BemSucedidos,Acelerações,xG,Conversão_Gols,Conversão_xG,Ameaça_Ofensiva,xA,Assistência_Finalização,Rating,Atleta,Equipe,Equipe_Janela_Análise,Posição,Posição_Wyscout,Código_Posição_Wyscout,Idade,Valor_Mercado,Fim_Contrato,Jogos,Minutos,Nacionalidade,Passaporte,Pé,Altura,Peso,Empréstimo,Liga,Base,Versão_Temporada,Role,L_Rating,L_Ranking,Size,L_Percentil,Duelos_Ofensivos_Ganhos_LM,Dribles_BemSucedidos_LM,Acelerações_LM,xG_LM,Conversão_Gols_LM,Conversão_xG_LM,Ameaça_Ofensiva_LM,xA_LM,Assistência_Finalização_LM,Duelos_Ofensivos_Ganhos_Rank,Dribles_BemSucedidos_Rank,Acelerações_Rank,xG_Rank,Conversão_Gols_Rank,Conversão_xG_Rank,Ameaça_Ofensiva_Rank,xA_Rank,Assistência_Finalização_Rank,Duelos_Ofensivos_Ganhos_Percentil,Dribles_BemSucedidos_Percentil,Acelerações_Percentil,xG_Percentil,Conversão_Gols_Percentil,Conversão_xG_Percentil,Ameaça_Ofensiva_Percentil,xA_Percentil,Assistência_Finalização_Percentil
2,1.0,0.708913,0.423913,0.47619,0.274184,0.854483,0.036101,1.0,1.0,1.0,Hulk,Atlético Mineiro,Atlético Mineiro,CF,CF,12,37,2500000,2024-12-31,9,915,Brazil,Brazil,left,180,85,no,MG,Testing,2024,Atacante Móvel,1.0,1,13,92,0.256258,0.242107,0.230769,0.434676,0.358075,0.535643,0.351241,0.317308,0.413601,1,2,3.0,5.0,6.0,3.0,12,1.0,1.0,92,84,76,61,53,76,7,92,92
3,0.000459,0.045965,0.0,1.0,0.908315,0.653303,1.0,0.125,0.275362,0.896175,Jonathas,Athletic Club,Athletic Club,CF,CF,12,35,300000,,10,752,Brazil,Brazil,right,192,81,no,MG,Testing,2024,Atacante Móvel,0.896,2,13,84,0.256258,0.242107,0.230769,0.434676,0.358075,0.535643,0.351241,0.317308,0.413601,12,12,10.5,1.0,2.0,5.5,1,10.5,9.0,7,7,19,92,84,57,92,19,30
7,0.071598,0.133477,0.0,0.142857,1.0,1.0,0.68256,0.1875,0.181159,0.852369,Caio Mancha,Villa Nova,Villa Nova,CF,CF,12,31,50000,,6,516,Brazil,Brazil,right,188,87,no,MG,Testing,2024,Atacante Móvel,0.852,3,13,76,0.256258,0.242107,0.230769,0.434676,0.358075,0.535643,0.351241,0.317308,0.413601,9,6,10.5,11.5,1.0,1.0,2,8.5,10.0,30,53,19,11,92,92,84,34,23
12,0.037373,0.333785,1.0,0.428571,0.645163,0.894183,0.405418,0.3125,0.094203,0.798567,Luis Felipe,Ipatinga,Ipatinga,CF,CF,12,23,0,2024-12-31,10,785,Brazil,Brazil,,0,0,yes,MG,Testing,2024,Atacante Móvel,0.799,4,13,69,0.256258,0.242107,0.230769,0.434676,0.358075,0.535643,0.351241,0.317308,0.413601,11,3,1.0,8.0,3.0,2.0,5,4.5,11.0,15,76,92,38,76,84,61,65,15
4,0.138901,0.071745,0.184783,0.47619,0.161276,0.397256,0.171118,0.625,0.789855,0.567628,Guilherme Santos,Villa Nova,Villa Nova,"CF, AMF",CF,12,22,200000,2024-12-31,6,530,Brazil,Brazil,left,181,76,yes,MG,Testing,2024,Atacante Móvel,0.568,5,13,61,0.256258,0.242107,0.230769,0.434676,0.358075,0.535643,0.351241,0.317308,0.413601,6,10,6.0,5.0,10.0,9.0,10,3.0,2.0,53,23,53,61,23,30,23,76,84
10,0.93975,1.0,0.293478,0.571429,0.201603,0.435297,0.2078,0.25,0.42029,0.55005,Everton Kanela,Patrocinense,Patrocinense,CF,CF,12,28,0,,8,658,Brazil,Brazil,right,0,0,no,MG,Testing,2024,Atacante Móvel,0.55,6,13,53,0.256258,0.242107,0.230769,0.434676,0.358075,0.535643,0.351241,0.317308,0.413601,2,1,5.0,3.0,8.5,8.0,9,6.5,6.0,84,92,61,76,34,38,30,50,53
0,0.081911,0.25393,0.576087,0.285714,0.129021,0.228082,0.32375,0.6875,0.376812,0.507654,Paulinho,Atlético Mineiro,Atlético Mineiro,"CF, AMF, RAMF",CF,12,23,7500000,,10,1011,Brazil,Brazil,right,177,80,no,MG,Testing,2024,Atacante Móvel,0.508,7,13,46,0.256258,0.242107,0.230769,0.434676,0.358075,0.535643,0.351241,0.317308,0.413601,8,5,2.0,9.0,11.0,12.0,7,2.0,7.0,38,61,84,30,15,7,46,84,46
6,0.16927,0.256738,0.391304,0.0,0.253455,0.810066,0.036273,0.25,0.572464,0.42187,Caiuby,Patrocinense,Patrocinense,"CF, LW, AMF",CF,12,35,75000,,8,503,Brazil,Brazil,left,184,85,no,MG,Testing,2024,Atacante Móvel,0.422,8,13,38,0.256258,0.242107,0.230769,0.434676,0.358075,0.535643,0.351241,0.317308,0.413601,4,4,4.0,13.0,7.0,4.0,11,6.5,5.0,69,69,69,0,46,69,15,50,61
9,0.1601,0.104513,0.0,0.984127,0.483858,0.484851,0.625117,0.0625,0.086957,0.411949,Igor Bahia,Tombense,Tombense,CF,CF,12,31,0,,8,803,Brazil,Brazil,,0,0,no,MG,Testing,2024,Atacante Móvel,0.412,9,13,30,0.256258,0.242107,0.230769,0.434676,0.358075,0.535643,0.351241,0.317308,0.413601,5,7,10.5,2.0,4.0,7.0,3,12.0,12.0,61,46,19,84,69,46,76,7,7
11,0.556011,0.0,0.0,0.142857,0.201603,0.300244,0.360862,0.125,0.594203,0.293436,Gutinho,Democrata GV,Democrata GV,CF,CF,12,32,0,,11,588,Brazil,Brazil,unknown,0,0,no,MG,Testing,2024,Atacante Móvel,0.293,10,13,23,0.256258,0.242107,0.230769,0.434676,0.358075,0.535643,0.351241,0.317308,0.413601,3,13,10.5,11.5,8.5,10.0,6,10.5,4.0,76,0,19,11,34,23,53,19,69
