Unnamed: 0,Atleta,Equipe,Equipe_Janela_Análise,Posição,Posição_Wyscout,Código_Posição_Wyscout,Idade,Valor_Mercado,Fim_Contrato,Jogos,Minutos,Nacionalidade,Passaporte,Pé,Altura,Peso,Empréstimo,Ações_Defensivas_BemSucedidas,Duelos_Defensivos_Ganhos,Duelos_Aéreos_Ganhos,Passes_Longos_Certos,Passes_Progressivos_Certos,Passes_Laterais_Certos,Liga,Base,Versão_Temporada,RF_Rating,ET_Rating,Rating
0,Guilherme Arana,Atlético Mineiro,Atlético Mineiro,"LB, LWB",LB,1,26,12000000,2027-12-31,10,994,Brazil,Brazil,left,176,66,no,6.43,2.264724,1.27,1.357768,8.418567000000001,12.76803,MG,Testing,2024,0.5199480374127774,0.4855255532397647,0.5027367953262709
1,R. Saravia,Atlético Mineiro,Atlético Mineiro,"RB, RCB, RWB",RB,1,30,2500000,2025-12-31,9,650,Argentina,Argentina,right,178,73,no,7.75,4.846500000000001,1.24875,1.2456,6.783215999999999,6.786777000000001,MG,Testing,2024,0.3726682314392839,0.3636530401662513,0.3681606358027676
2,William Furtado,Cruzeiro,Cruzeiro,"RB, RWB",RB,1,28,2000000,2024-12-31,11,1021,Brazil,Brazil,right,176,68,no,9.96,4.674552,1.235661,1.850376,6.608114999999999,9.957666,MG,Testing,2024,0.7005338121043614,0.7016981155327553,0.7011159638185582
3,Marlon,Cruzeiro,Cruzeiro,"LB, LWB",LB,1,26,2000000,2026-12-31,9,906,Brazil,Brazil,left,174,68,no,8.94,4.86855,1.0912,2.484216,5.762159999999999,11.226761,MG,Testing,2024,0.4721147057040942,0.6382738951369431,0.5551943004205186
4,Marlon,América Mineiro,América Mineiro,LB,LB,1,30,700000,2025-12-31,8,729,Brazil,Brazil,left,177,69,no,10.99,6.419957999999999,0.4932839999999999,1.731008,6.295833,8.398000000000001,MG,Testing,2024,0.5504284113278373,0.5500083682806625,0.5502183898042499
5,Bryan,Itabirito,Itabirito,LB,LB,1,31,300000,,9,890,Brazil,Brazil,left,177,72,no,5.46,2.124,1.113222,2.8336,5.766178,7.077172999999999,MG,Testing,2024,0.0707808931390811,0.1565746427647013,0.1136777679518912
6,Yuri,Athletic Club,Athletic Club,LB,LB,1,28,200000,2024-04-10,10,938,Brazil,Brazil,left,175,74,no,8.16,4.412583,0.864773,2.208,4.606452,8.92257,MG,Testing,2024,0.2199920385484544,0.3430825205365173,0.2815372795424859
7,Douglas Pelé,Athletic Club,Athletic Club,"RB, RAMF, RW",RB,1,24,100000,,11,1176,Brazil,Brazil,right,171,69,no,6.43,3.2895,1.3,1.45376,4.667574,5.889488000000001,MG,Testing,2024,0.0,0.0,0.0
8,Emerson,Tombense,Tombense,LB,LB,1,25,100000,,7,666,Brazil,Brazil,left,179,73,no,8.11,3.91795,1.754973,1.35,4.4616,10.40682,MG,Testing,2024,0.3698918021900481,0.3931999989802766,0.3815459005851623
9,Pedro Costa,Tombense,Tombense,RB,RB,1,30,50000,,8,829,Brazil,Brazil,right,184,80,no,8.58,4.019975000000001,0.432684,2.820141,8.468148,11.727016,MG,Testing,2024,0.7193316779390384,0.7540189490590088,0.7366753134990236
10,Léo Príncipe,Pouso Alegre,Pouso Alegre,RB,RB,1,27,10000,,10,797,Brazil,Brazil,right,173,68,no,8.92,4.51875,0.7905070000000001,2.257552,4.968445999999999,5.423148,MG,Testing,2024,0.2019984119114461,0.281248000872783,0.2416232063921145
11,Vinicio,Pouso Alegre,Pouso Alegre,LB,LB,1,23,0,,10,975,Brazil,Brazil,unknown,175,0,no,7.94,3.60158,1.291148,1.65942,6.001481999999999,6.188016,MG,Testing,2024,0.2681059041156068,0.2790618982930216,0.2735839012043142
12,Ynaiã,Athletic Club,Athletic Club,"RB, LB",RB,1,24,0,,11,687,Brazil,Brazil,right,172,67,no,8.78,4.062506,0.655,2.095869,4.325922,6.421212,MG,Testing,2024,0.1775474085867999,0.234953684264891,0.2062505464258454
13,Dávisson,Uberlândia,Uberlândia,RB,RB,1,22,0,,8,528,Brazil,Brazil,unknown,0,0,no,8.69,5.281782,2.048469,2.55576,4.433616000000001,2.2152,MG,Testing,2024,0.50485820070029,0.5064213528945192,0.5056397767974046
14,Tiago Baiano,Uberlândia,Uberlândia,RB,RB,1,28,0,,8,537,Brazil,Brazil,right,178,69,no,9.39,5.531153999999999,0.504,2.34832,5.365682000000001,7.709695,MG,Testing,2024,0.35855652393105,0.4829581483333855,0.4207573361322177
15,João Victor,Uberlândia,Uberlândia,LB,LB,1,25,0,,9,904,Brazil,Brazil,,174,77,no,8.76,3.882607,1.49375,1.096191,5.274951,7.663768,MG,Testing,2024,0.3636483179634653,0.3489745781970726,0.3563114480802689
16,Maurício,Villa Nova,Villa Nova,RB,RB,1,22,0,,6,589,Brazil,Brazil,right,0,0,no,11.0,6.41682,1.22119,1.6808,6.573775999999999,9.932382,MG,Testing,2024,0.6796109760242628,0.6800560467898658,0.6798335114070642
17,Charles,Villa Nova,Villa Nova,LB,LB,1,29,0,,7,508,Brazil,Brazil,left,177,74,no,6.56,4.076182,0.7099289999999999,2.83402,10.09732,13.463524,MG,Testing,2024,0.7184567611527513,0.7631139425929072,0.7407853518728291
18,Ailton Santos,Patrocinense,Patrocinense,LB,LB,1,26,0,,7,666,Brazil,Brazil,,0,0,no,7.43,4.46103,2.025,1.892204,3.649497,3.240081,MG,Testing,2024,0.1939999494185664,0.2793889805185159,0.2366944649685411
19,Nando Sa,Patrocinense,Patrocinense,RB,RB,1,35,0,,8,730,Brazil,Brazil,,0,0,no,7.15,3.32804,1.726605,1.848498,3.699778,5.670792,MG,Testing,2024,0.0982811997769514,0.1663144555534475,0.1322978276651994
20,Lucas Mota,Itabirito,Itabirito,RB,RB,1,28,0,,8,776,Brazil,Brazil,right,184,79,no,10.9,5.685064000000001,1.04214,2.202998,7.768596,9.165517,MG,Testing,2024,0.8230418929737383,0.8217917634498444,0.8224168282117912
21,Mateus Henrique,América Mineiro,América Mineiro,RB,RB,1,21,0,,9,794,Brazil,Brazil,right,178,67,no,9.86,3.855415,1.359932,1.92678,8.839898,17.909983,MG,Testing,2024,1.0,1.0,1.0
22,Ezio,Ipatinga,Ipatinga,RB,RB,1,26,0,,8,713,Brazil,Brazil,unknown,182,0,no,9.47,4.546098,1.011378,1.13579,3.663814,5.677381999999999,MG,Testing,2024,0.1475078728290743,0.1880821669531597,0.167795019891117
23,Wender,Democrata GV,Democrata GV,LB,LB,1,25,0,,10,1031,Brazil,Brazil,,0,0,no,8.38,4.890492,3.315312,2.616375,7.685496000000001,5.671953999999999,MG,Testing,2024,0.7916289959929607,0.8228972731241357,0.8072631345585481
24,Weslen,Democrata GV,Democrata GV,RB,RB,1,29,0,,9,764,Brazil,Brazil,right,178,68,no,10.72,6.714164,0.8236,2.471,4.475016,6.124468,MG,Testing,2024,0.2479195507909731,0.3976088027806592,0.3227641767858161
0,Ayrton Lucas,Flamengo,Flamengo,LB,LB,1,26,7000000,2027-12-31,9,786,Brazil,Brazil,left,180,72,no,8.36,5.611464,0.574977,1.375,5.039314,12.477838,RJ,Testing,2024,0.7475531603421657,0.8322053763164174,0.7898792683292916
1,Lucas Piton,Vasco da Gama,Vasco da Gama,"LB, LWB",LB,1,23,6000000,2026-12-31,10,1029,Brazil,"Brazil, Italy",left,175,64,no,4.9,2.886138,0.701194,1.664208,5.072948999999999,11.806626,RJ,Testing,2024,0.7080622459864734,0.7119243422360635,0.7099932941112684
2,Guga,Fluminense,Fluminense,RB,RB,1,25,4000000,2026-12-31,6,541,Brazil,"Brazil, Portugal",right,174,69,no,6.99,2.496924,1.5,0.6639999999999999,2.993483,11.309008,RJ,Testing,2024,0.4538495037616396,0.5702974035218691,0.5120734536417544
3,Victor Sá,Botafogo,Botafogo,"RWB, RW, LW",RWB,1,29,2000000,2025-12-31,8,517,Brazil,Brazil,right,178,72,no,6.09,2.960309999999999,0.6933680000000001,0.175,2.61,7.133999999999999,RJ,Testing,2024,0.1224283763163121,0.1910400000116435,0.1567341881639778
4,G. Varela,Flamengo,Flamengo,"RB, LB",RB,1,31,2000000,2025-12-31,10,864,Uruguay,"Uruguay, Italy",right,174,70,no,7.92,4.065392,0.8347199999999999,0.9386340000000001,3.647882,8.854000000000001,RJ,Testing,2024,0.5325733701133668,0.5773870073925291,0.554980188752948
5,Hugo,Botafogo,Botafogo,"LB, LWB",LB,1,22,1500000,2024-12-31,12,1029,Brazil,Brazil,left,175,67,no,8.57,4.723464,1.05007,2.101464,4.456773,7.081743,RJ,Testing,2024,0.7593357929323541,0.7845661165265732,0.7719509547294636
6,Cayo Tenório,Nova Iguaçu,Nova Iguaçu,RB,RB,1,25,500000,,10,859,Brazil,Brazil,right,173,68,no,11.94,5.65868,0.6273249999999999,1.991925,6.390560000000001,9.428301999999999,RJ,Testing,2024,0.8438029602274824,0.9187654792210973,0.8812842197242898
7,M. Ponte,Botafogo,Botafogo,RB,RB,1,20,500000,,6,548,Uruguay,Uruguay,right,183,77,no,9.2,5.747000000000001,0.9845909999999999,1.148,2.955,7.718451999999998,RJ,Testing,2024,0.6206518477839358,0.6597468399207225,0.6401993438523291
8,Paulo Henrique,Vasco da Gama,Vasco da Gama,"RWB, RB",RWB,1,27,300000,2024-12-31,9,798,Brazil,Brazil,right,175,74,no,5.64,3.498059,0.565,2.255736,6.089999999999999,10.936554,RJ,Testing,2024,0.7117655904424147,0.7444574347582269,0.7281115126003208
9,Mateus Ludke,Boavista,Boavista,"RB, RW",RB,1,23,250000,,14,904,Brazil,Brazil,right,176,72,no,5.67,2.49,0.7946169999999999,1.395444,3.288294,7.266971999999999,RJ,Testing,2024,0.286039085534201,0.3437308294228916,0.3148849574785463
10,Pará,Portuguesa RJ,Portuguesa RJ,LB,LB,1,36,150000,2024-12-31,11,1091,Brazil,Brazil,left,172,73,no,8.35,3.962784,1.034234,2.6722,4.90854,8.268456,RJ,Testing,2024,0.8348939829825048,0.8476024300956351,0.84124820653907
11,Erick Daltro,Bangu,Bangu,"LB, LW, LWB",LB,1,31,100000,,11,1018,Brazil,Brazil,left,180,78,no,7.96,3.273543,1.2376,1.593494,3.006129,7.604761999999999,RJ,Testing,2024,0.5351959069858245,0.5899201179838991,0.5625580124848618
12,Evandro,Madureira,Madureira,LB,LB,1,27,50000,,10,1036,Brazil,Brazil,left,170,68,no,9.12,5.388016,0.261792,1.911599,6.17076,13.37526,RJ,Testing,2024,0.7969535598845681,0.8611495180142434,0.8290515389494058
13,Alyson,Boavista,Boavista,LB,LB,1,27,50000,,12,1146,Brazil,Brazil,left,185,75,no,5.73,2.199312,0.31427,0.628156,3.850866,4.316440000000001,RJ,Testing,2024,0.0,0.0,0.0
14,Paulo Victor,Audax Rio,Audax Rio,LB,LB,1,24,0,,8,692,Brazil,Brazil,left,0,0,no,6.5,4.29026,1.040026,0.78,3.900156,7.540104,RJ,Testing,2024,0.5375097814074263,0.5375895819758756,0.537549681691651
15,Acácio,Audax Rio,Audax Rio,"LB, LW",LB,1,30,0,,7,577,Brazil,Brazil,left,179,65,no,9.05,4.680234,1.09375,1.248764,4.364549999999999,7.022057,RJ,Testing,2024,0.7487620534759563,0.754901821998649,0.7518319377373026
16,Almir Sóta,Madureira,Madureira,RB,RB,1,29,0,,9,773,Brazil,Brazil,right,0,0,no,7.57,4.425696,1.05,1.627407,5.701632,8.38124,RJ,Testing,2024,0.8459532020290947,0.8253880697327347,0.8356706358809147
17,Ramon Batista,Audax Rio,Audax Rio,"RB, LCB",RB,1,24,0,,6,646,Brazil,Brazil,,0,0,no,8.36,3.9032,1.812722,0.696126,3.206647999999999,11.14636,RJ,Testing,2024,0.639737033742801,0.81070676039506,0.7252218970689305
18,Wellington Silva,Volta Redonda,Volta Redonda,RB,RB,1,35,0,2024-04-10,10,953,Brazil,Brazil,right,178,77,no,7.74,4.814303,0.6614999999999999,0.851529,3.875736,8.784745000000001,RJ,Testing,2024,0.5065219925782745,0.5472763353377055,0.52689916395799
