Unnamed: 0,Ações_Defensivas_BemSucedidas,Passes_Longos_Certos,Passes_Progressivos_Certos,Pisadas_Área,Dribles_BemSucedidos,xA,Assistência_Finalização,Passes_TerçoFinal_Certos,Deep_Completions,Passes_ÁreaPênalti_Certos,Rating,Atleta,Equipe,Equipe_Janela_Análise,Posição,Posição_Wyscout,Código_Posição_Wyscout,Idade,Valor_Mercado,Fim_Contrato,Jogos,Minutos,Nacionalidade,Passaporte,Pé,Altura,Peso,Empréstimo,Liga,Base,Versão_Temporada,Role,L_Rating,L_Ranking,Size,L_Percentil,Ações_Defensivas_BemSucedidas_LM,Passes_Longos_Certos_LM,Passes_Progressivos_Certos_LM,Pisadas_Área_LM,Dribles_BemSucedidos_LM,xA_LM,Assistência_Finalização_LM,Passes_TerçoFinal_Certos_LM,Deep_Completions_LM,Passes_ÁreaPênalti_Certos_LM,Ações_Defensivas_BemSucedidas_Rank,Passes_Longos_Certos_Rank,Passes_Progressivos_Certos_Rank,Pisadas_Área_Rank,Dribles_BemSucedidos_Rank,xA_Rank,Assistência_Finalização_Rank,Passes_TerçoFinal_Certos_Rank,Deep_Completions_Rank,Passes_ÁreaPênalti_Certos_Rank,Ações_Defensivas_BemSucedidas_Percentil,Passes_Longos_Certos_Percentil,Passes_Progressivos_Certos_Percentil,Pisadas_Área_Percentil,Dribles_BemSucedidos_Percentil,xA_Percentil,Assistência_Finalização_Percentil,Passes_TerçoFinal_Certos_Percentil,Deep_Completions_Percentil,Passes_ÁreaPênalti_Certos_Percentil
1,0.132132,0.563781,1.0,0.309434,0.331704,0.5,0.582734,1.0,1.0,1.0,1.0,Moisés,América Mineiro,América Mineiro,"LCMF, AMF",LCMF,8,36,800000,,8,640,Brazil,Brazil,right,184,76,no,MG,Testing,2024,Segundo Volante Organizador,1.0,1,14,92,0.26312,0.290236,0.333908,0.328841,0.39244,0.282468,0.396197,0.248986,0.304837,0.392104,9.0,2,1,6.0,7,3.0,3.0,1,1.0,1,35,85,92,57,50,78,78,92,92,92
5,0.051051,0.318482,0.59556,0.301887,0.424454,0.681818,0.76259,0.13374,0.433071,0.655499,0.715042,Gerson Magrão,Ipatinga,Ipatinga,"LCMF, AMF, CF",LCMF,8,38,200000,2024-04-30,8,658,Brazil,Brazil,left,181,78,no,MG,Testing,2024,Segundo Volante Organizador,0.715,2,14,85,0.26312,0.290236,0.333908,0.328841,0.39244,0.282468,0.396197,0.248986,0.304837,0.392104,13.0,4,3,7.0,6,2.0,2.0,9,4.0,2,7,71,78,50,57,85,85,35,71,85
12,0.246246,1.0,0.716055,0.158491,0.150192,0.318182,0.438849,0.461282,0.307087,0.148838,0.677816,Fabrício Bigode,Itabirito,Itabirito,"LCMF, LDMF, RCMF",LCMF,8,25,0,,10,928,Brazil,Brazil,right,175,72,no,MG,Testing,2024,Segundo Volante Organizador,0.678,3,14,78,0.26312,0.290236,0.333908,0.328841,0.39244,0.282468,0.396197,0.248986,0.304837,0.392104,6.0,1,2,11.0,11,5.0,7.0,2,6.0,11,57,92,85,21,21,64,50,85,57,21
2,0.071071,0.08964,0.35084,1.0,0.265365,0.318182,0.47482,0.113997,0.496063,0.563977,0.480363,Juninho,América Mineiro,América Mineiro,"RCMF, RDMF",RCMF,8,36,400000,2024-12-31,9,864,Brazil,Brazil,right,170,66,no,MG,Testing,2024,Segundo Volante Organizador,0.48,4,14,71,0.26312,0.290236,0.333908,0.328841,0.39244,0.282468,0.396197,0.248986,0.304837,0.392104,12.0,12,5,1.0,9,5.0,6.0,10,2.0,5,14,14,64,92,35,64,57,28,85,64
0,0.135135,0.160733,0.427923,0.392453,0.0,0.318182,0.52518,0.285196,0.472441,0.384102,0.437507,Edenílson,Atlético Mineiro,Atlético Mineiro,"RCMF, LCMF, RB",RCMF,8,34,2000000,2024-12-31,9,599,Brazil,Brazil,right,175,74,no,MG,Testing,2024,Segundo Volante Organizador,0.438,5,14,64,0.26312,0.290236,0.333908,0.328841,0.39244,0.282468,0.396197,0.248986,0.304837,0.392104,8.0,11,4,5.0,14,5.0,5.0,4,3.0,8,42,21,71,64,0,64,64,71,78,42
10,0.425425,0.311772,0.270052,0.29434,1.0,0.090909,0.129496,0.265534,0.275591,0.283556,0.385419,Marinho,Patrocinense,Patrocinense,"LCMF, LDMF",LCMF,8,28,0,,8,770,Brazil,Brazil,unknown,0,0,no,MG,Testing,2024,Segundo Volante Organizador,0.385,6,14,57,0.26312,0.290236,0.333908,0.328841,0.39244,0.282468,0.396197,0.248986,0.304837,0.392104,4.0,5,8,8.0,1,10.0,12.0,5,7.0,9,71,64,42,42,92,28,14,64,50,35
11,1.0,0.0,0.181941,0.056604,0.757289,0.272727,0.208633,0.0,0.0,0.042331,0.326457,Gustavo Crecci,Itabirito,Itabirito,"RCMF, RDMF",RCMF,8,29,0,,9,589,Brazil,Brazil,,0,0,no,MG,Testing,2024,Segundo Volante Organizador,0.326,7,14,50,0.26312,0.290236,0.333908,0.328841,0.39244,0.282468,0.396197,0.248986,0.304837,0.392104,1.0,14,10,13.0,3,7.0,11.0,14,14.0,13,92,0,28,7,78,50,21,0,0,7
6,0.0,0.228612,0.168876,0.569811,0.210174,1.0,1.0,0.208075,0.259843,0.608156,0.265691,Nestor Mansur,Pouso Alegre,Pouso Alegre,"LCMF, LW",LCMF,8,26,0,,11,807,Brazil,Brazil,left,178,69,no,MG,Testing,2024,Segundo Volante Organizador,0.266,8,14,42,0.26312,0.290236,0.333908,0.328841,0.39244,0.282468,0.396197,0.248986,0.304837,0.392104,14.0,9,11,2.0,10,1.0,1.0,6,8.0,4,0,35,21,85,28,92,92,57,42,71
13,0.453453,0.23782,0.042078,0.441509,0.60154,0.045455,0.302158,0.166975,0.11811,0.264771,0.259494,Paranhos,Ipatinga,Ipatinga,"RCMF, RDMF",RCMF,8,29,0,,8,608,Brazil,Brazil,,0,0,no,MG,Testing,2024,Segundo Volante Organizador,0.259,9,14,35,0.26312,0.290236,0.333908,0.328841,0.39244,0.282468,0.396197,0.248986,0.304837,0.392104,2.0,8,13,4.0,4,11.5,8.0,8,12.0,10,85,42,7,71,71,17,42,42,14,28
7,0.449449,0.354248,0.200264,0.0,0.274374,0.0,0.107914,0.105308,0.377953,0.414757,0.256337,Henrique Caivano,Pouso Alegre,Pouso Alegre,"LCMF, DMF",LCMF,8,22,0,,11,566,Brazil,Brazil,right,0,0,no,MG,Testing,2024,Segundo Volante Organizador,0.256,10,14,28,0.26312,0.290236,0.333908,0.328841,0.39244,0.282468,0.396197,0.248986,0.304837,0.392104,3.0,3,9,14.0,8,13.5,13.0,11,5.0,7,78,78,35,0,42,3,7,21,64,50
