Unnamed: 0,Atleta,Equipe,Equipe_Janela_Análise,Posição,Posição_Wyscout,Código_Posição_Wyscout,Idade,Valor_Mercado,Fim_Contrato,Jogos,Minutos,Nacionalidade,Passaporte,Pé,Altura,Peso,Empréstimo,Ações_Defensivas_BemSucedidas,Passes_Longos_Certos,Passes_Progressivos_Certos,Pisadas_Área,Dribles_BemSucedidos,xA,Assistência_Finalização,Passes_TerçoFinal_Certos,Deep_Completions,Passes_ÁreaPênalti_Certos,Liga,Base,Versão_Temporada,RF_Rating,ET_Rating,Rating
0,Edenílson,Atlético Mineiro,Atlético Mineiro,"RCMF, LCMF, RB",RCMF,8,34,2000000,2024-12-31,9,599,Brazil,Brazil,right,175,74,no,4.81,1.19988,4.20856,1.2,0.299985,0.08,0.9,3.757383,0.6,0.59994,MG,Testing,2024,0.4392933161901705,0.4357197362474319,0.4375065262188013
1,Moisés,América Mineiro,América Mineiro,"LCMF, AMF",LCMF,8,36,800000,,8,640,Brazil,Brazil,right,184,76,no,4.78,2.673216,7.596959999999999,0.98,0.705,0.12,0.98,8.579526,1.27,1.40479,MG,Testing,2024,1.0,1.0,1.0
2,Juninho,América Mineiro,América Mineiro,"RCMF, RDMF",RCMF,8,36,400000,2024-12-31,9,864,Brazil,Brazil,right,170,66,no,4.17,0.94,3.752000000000001,2.81,0.6240000000000001,0.08,0.83,2.602459999999999,0.63,0.835,MG,Testing,2024,0.4798748476021197,0.4808506472583774,0.4803627474302486
3,Lucas Nathan,Pouso Alegre,Pouso Alegre,"LCMF, LW, CF",LCMF,8,25,250000,,8,543,Brazil,Brazil,left,185,76,no,4.48,0.824967,3.312,0.5,1.327092,0.04,0.5,2.323917,0.17,0.662824,MG,Testing,2024,0.2097003056680091,0.2844523000383683,0.2470763028531887
4,Kaio Mendes,Tombense,Tombense,"RCMF, AMF, RDMF",RCMF,8,28,250000,,8,775,Brazil,Brazil,right,173,66,no,5.69,1.626748,2.668116,0.81,0.464,0.06,0.93,4.645500999999999,0.23,0.9309440000000001,MG,Testing,2024,0.1367653043730381,0.2946176265631165,0.2156914654680774
5,Gerson Magrão,Ipatinga,Ipatinga,"LCMF, AMF, CF",LCMF,8,38,200000,2024-04-30,8,658,Brazil,Brazil,left,181,78,no,3.97,1.77653,5.201469,0.96,0.8182499999999999,0.16,1.23,2.735648,0.55,0.9546000000000001,MG,Testing,2024,0.7681210201184558,0.6619628513124339,0.7150419357154449
6,Nestor Mansur,Pouso Alegre,Pouso Alegre,"LCMF, LW",LCMF,8,26,0,,11,807,Brazil,Brazil,left,178,69,no,3.46,1.448009,2.67423,1.67,0.556611,0.23,1.56,3.23712,0.33,0.8927320000000001,MG,Testing,2024,0.2283295204540219,0.3030524991768508,0.2656910098154364
7,Henrique Caivano,Pouso Alegre,Pouso Alegre,"LCMF, DMF",LCMF,8,22,0,,11,566,Brazil,Brazil,right,0,0,no,7.95,1.90727,2.860143,0.16,0.635,0.01,0.32,2.543841,0.48,0.64,MG,Testing,2024,0.2519847686563685,0.2606888636819303,0.2563368161691494
8,Magno,Pouso Alegre,Pouso Alegre,RCMF,RCMF,8,31,0,,12,1073,Brazil,Brazil,right,175,70,no,4.53,1.26133,1.673982,1.51,0.336,0.01,0.17,2.179395,0.08,0.168367,MG,Testing,2024,0.0,0.0,0.0
9,Sabino,Uberlândia,Uberlândia,"LCMF, RCMF",LCMF,8,24,0,,10,924,Brazil,Brazil,right,180,77,no,6.33,1.654114,3.313033,0.68,0.8788039999999999,0.02,0.49,3.215406,0.19,0.098,MG,Testing,2024,0.2054512949642071,0.2012881350792195,0.2033697150217133
10,Marinho,Patrocinense,Patrocinense,"LCMF, LDMF",LCMF,8,28,0,,8,770,Brazil,Brazil,unknown,0,0,no,7.71,1.752,3.273497,0.94,1.521,0.03,0.35,3.624743999999999,0.35,0.468548,MG,Testing,2024,0.3789480497223564,0.391889122578147,0.3854185861502517
11,Gustavo Crecci,Itabirito,Itabirito,"RCMF, RDMF",RCMF,8,29,0,,9,589,Brazil,Brazil,,0,0,no,13.45,0.6123230000000001,2.751612000000001,0.31,1.224646,0.07,0.46,1.833425,0.0,0.153318,MG,Testing,2024,0.3302092398752755,0.3227046825902484,0.3264569612327619
12,Fabrício Bigode,Itabirito,Itabirito,"LCMF, LDMF, RCMF",LCMF,8,25,0,,10,928,Brazil,Brazil,right,175,72,no,5.92,4.267806,5.915162,0.58,0.483372,0.08,0.78,4.94528,0.39,0.2925,MG,Testing,2024,0.6794267835717714,0.6762054264358893,0.6778161050038305
13,Paranhos,Ipatinga,Ipatinga,"RCMF, RDMF",RCMF,8,29,0,,8,608,Brazil,Brazil,,0,0,no,7.99,1.48167,1.923207,1.33,1.034474,0.02,0.59,2.959852,0.15,0.444,MG,Testing,2024,0.2545978260248065,0.2643909486283179,0.2594943873265622
0,N. de la Cruz,Flamengo,Flamengo,"LCMF, RCMF",LCMF,8,26,11000000,2025-12-31,9,757,Uruguay,Uruguay,right,167,65,no,7.25,2.139207,7.845823999999999,1.66,1.188164,0.2,2.26,7.968235999999999,1.78,1.9008,RJ,Testing,2024,1.0,1.0,1.0
1,Martinelli,Fluminense,Fluminense,"RCMF, LCMF, LCB",RCMF,8,22,5000000,2025-12-31,7,660,Brazil,"Brazil, Italy",right,177,75,no,5.86,2.184498,3.816,0.55,0.8200409999999999,0.0,0.41,6.273,0.14,0.40717,RJ,Testing,2024,0.1352204278733939,0.1724387848251398,0.1538296063492668
2,E. Pulgar,Flamengo,Flamengo,"RCMF, DMF",RCMF,8,30,5000000,2025-12-31,9,722,Chile,Chile,right,187,74,no,7.98,1.368125,4.986729,0.62,0.25,0.04,0.62,6.106802,0.75,0.875,RJ,Testing,2024,0.512764128087856,0.5315115471249194,0.5221378376063878
3,Marlon Freitas,Botafogo,Botafogo,"RCMF, DMF",RCMF,8,29,2700000,2025-12-31,13,1019,Brazil,Brazil,right,185,78,no,6.36,3.35295,4.242616000000001,1.5,0.352,0.13,1.24,4.772540999999999,1.41,1.235661,RJ,Testing,2024,0.4274255269503685,0.4527006622827999,0.4400630946165842
4,P. Galdames,Vasco da Gama,Vasco da Gama,"RCMF, LCMF",RCMF,8,27,2000000,2024-06-30,7,586,Chile,Chile,right,176,68,yes,4.3,1.6885,3.688,1.69,0.459954,0.14,1.08,3.989375,1.08,1.382235,RJ,Testing,2024,0.2353821386574252,0.2840132185345936,0.2596976785960095
5,Tchê Tchê,Botafogo,Botafogo,"RCMF, LCMF, RB",RCMF,8,31,1800000,2025-12-31,9,898,Brazil,Brazil,right,175,66,no,3.81,2.7075,4.608779,0.8,0.99997,0.02,0.8,6.216876000000001,0.6,0.5000399999999999,RJ,Testing,2024,0.3181421314257258,0.3817614451382112,0.3499517882819685
