Unnamed: 0,Atleta,Equipe,Equipe_Janela_Análise,Posição,Posição_Wyscout,Código_Posição_Wyscout,Idade,Valor_Mercado,Fim_Contrato,Jogos,Minutos,Nacionalidade,Passaporte,Pé,Altura,Peso,Empréstimo,Duelos_Aéreos_Ganhos,Duelos_Ofensivos_Ganhos,xG,Conversão_Gols,Conversão_xG,Ameaça_Ofensiva,xA,Deep_Completions,Passes_Chave,Passes_ÁreaPênalti_Certos,Liga,Base,Versão_Temporada,RF_Rating,ET_Rating,Rating
0,Paulinho,Atlético Mineiro,Atlético Mineiro,"CF, AMF, RAMF",CF,12,23,7500000,,10,1011,Brazil,Brazil,right,177,80,no,0.445247,2.1376,0.32,10.0,0.5625,0.1797752808988764,0.11,0.89,0.36,0.62,MG,Testing,2024,0.0,0.0,0.0
1,J. Dinenno,Cruzeiro,Cruzeiro,"CF, RWF",CF,12,29,4500000,2024-12-31,11,946,Argentina,Argentina,right,186,82,no,1.143,1.996599,0.44,18.519,1.090909090909091,0.1712062256809339,0.0,0.38,0.0,0.38,MG,Testing,2024,0.2430439917360137,0.2766981232524505,0.2598710574942321
2,Hulk,Atlético Mineiro,Atlético Mineiro,CF,CF,12,37,2500000,2024-12-31,9,915,Brazil,Brazil,left,180,85,no,1.77083,6.0,0.44,15.0,1.340909090909091,0.1119592875318066,0.16,1.28,0.59,1.768995,MG,Testing,2024,0.5858598943574419,0.6454488614542807,0.6156543779058614
3,Jonathas,Athletic Club,Athletic Club,CF,CF,12,35,300000,,10,752,Brazil,Brazil,right,192,81,no,2.512974,1.79493,0.77,36.842,1.090909090909091,0.3392070484581498,0.02,0.36,0.12,0.24,MG,Testing,2024,0.8687958126901514,0.9314831740022083,0.9001394933461799
4,Guilherme Santos,Villa Nova,Villa Nova,"CF, AMF",CF,12,22,200000,2024-12-31,6,530,Brazil,Brazil,left,181,76,yes,1.020051,2.377355,0.44,11.111,0.7727272727272728,0.1437908496732026,0.1,1.19,0.34,1.53,MG,Testing,2024,0.07524934515134157,0.1303953795808045,0.1028223623660731
5,Da Silva,Itabirito,Itabirito,CF,CF,12,25,100000,,8,552,Brazil,Brazil,right,187,0,no,2.935776,1.793,0.27,6.25,0.5925925925925926,0.103448275862069,0.05,0.33,0.0,0.325,MG,Testing,2024,0.5531298715420833,0.4934998446237135,0.5233148580828985
6,Caiuby,Patrocinense,Patrocinense,"CF, LW, AMF",CF,12,35,75000,,8,503,Brazil,Brazil,left,184,85,no,3.759548,2.50512,0.14,14.286,1.285714285714286,0.112,0.04,0.54,0.0,0.7162919999999999,MG,Testing,2024,0.6568559809971999,0.7282704963527994,0.6925632386749997
7,Caio Mancha,Villa Nova,Villa Nova,CF,CF,12,31,50000,,6,516,Brazil,Brazil,right,188,87,no,3.141,2.094211,0.23,40.0,1.521739130434782,0.264367816091954,0.03,0.52,0.17,0.875,MG,Testing,2024,1.0,1.0,1.0
8,David Lima,Pouso Alegre,Pouso Alegre,CF,CF,12,24,0,,10,773,Brazil,Brazil,,0,0,no,1.165264,2.329767,0.43,5.556,0.2790697674418605,0.2047619047619048,0.03,0.35,0.23,0.23,MG,Testing,2024,0.0910016638960674,0.1189561916012007,0.1049789277486341
9,Igor Bahia,Tombense,Tombense,CF,CF,12,31,0,,8,803,Brazil,Brazil,,0,0,no,2.801149999999999,2.46654,0.76,22.222,0.8815789473684211,0.2508250825082509,0.01,0.22,0.0,0.11,MG,Testing,2024,0.778043876768169,0.7882048416420644,0.7831243592051168
10,Everton Kanela,Patrocinense,Patrocinense,CF,CF,12,28,0,,8,658,Brazil,Brazil,right,0,0,no,3.420564,5.746526999999999,0.5,12.5,0.82,0.1524390243902439,0.04,0.27,0.41,0.136694,MG,Testing,2024,0.6692879660326646,0.7271213653768286,0.6982046657047467
11,Gutinho,Democrata GV,Democrata GV,CF,CF,12,32,0,,11,588,Brazil,Brazil,unknown,0,0,no,1.836969,4.132139,0.23,12.5,0.6521739130434782,0.1885245901639344,0.02,0.15,0.15,0.31,MG,Testing,2024,0.4348444165212678,0.4763120955685902,0.4555782560449291
12,Luis Felipe,Ipatinga,Ipatinga,CF,CF,12,23,0,2024-12-31,10,785,Brazil,Brazil,,0,0,yes,1.48932,1.950228,0.41,27.778,1.390243902439024,0.1990291262135922,0.05,0.11,0.11,0.115,MG,Testing,2024,0.535127153716998,0.5595223976589637,0.5473247756879809
0,Pedro,Flamengo,Flamengo,CF,CF,12,26,22000000,2027-12-31,10,800,Brazil,Brazil,right,186,78,no,0.7894669999999999,2.250895,1.08,23.684,0.9351851851851851,0.2523364485981309,0.08,1.58,0.45,1.0125,RJ,Testing,2024,0.7222397503971765,0.7183458829964802,0.718773945428265
1,G. de Arrascaeta,Flamengo,Flamengo,"CF, RCMF",CF,12,29,19000000,2026-12-31,11,973,Uruguay,"Uruguay, Italy",right,172,70,no,0.185,4.626335,0.22,12.5,1.272727272727273,0.09909909909909909,0.26,1.48,0.83,2.406256,RJ,Testing,2024,0.5293458855722917,0.5052022797766129,0.5146527752137069
2,Tiquinho Soares,Botafogo,Botafogo,CF,CF,12,33,4000000,2024-12-31,9,732,Brazil,Brazil,right,187,89,no,1.231542,3.321,0.24,16.667,1.541666666666667,0.1085972850678733,0.14,1.48,0.61,1.106446,RJ,Testing,2024,0.6907808521117134,0.6508436567454354,0.6690246928693504
3,G. Cano,Fluminense,Fluminense,CF,CF,12,36,2000000,2025-12-31,5,528,Argentina,"Argentina, Colombia",right,177,72,no,0.510034,1.023231,0.58,9.524,0.5862068965517242,0.1620111731843575,0.0,0.0,0.17,0.34,RJ,Testing,2024,0.2772414241732089,0.3065155255117686,0.2880332198636518
4,Renato Augusto,Fluminense,Fluminense,"CF, LCMF, AMF",CF,12,36,2000000,,8,566,Brazil,Brazil,right,186,86,no,0.32,1.431,0.23,0.0,0.0,0.09623430962343096,0.23,0.8,0.32,1.27062,RJ,Testing,2024,0.0,0.01119192926387359,0.0001961329192599302
