Unnamed: 0,Ações_Defensivas_BemSucedidas,Duelos_Defensivos_Ganhos,Duelos_Aéreos_Ganhos,Passes_Longos_Certos,Passes_Progressivos_Certos,Passes_Laterais_Certos,Rating,Atleta,Equipe,Equipe_Janela_Análise,Posição,Posição_Wyscout,Código_Posição_Wyscout,Idade,Valor_Mercado,Fim_Contrato,Jogos,Minutos,Nacionalidade,Passaporte,Pé,Altura,Peso,Empréstimo,Liga,Base,Versão_Temporada,Role,L_Rating,L_Ranking,Size,L_Percentil,Ações_Defensivas_BemSucedidas_LM,Duelos_Defensivos_Ganhos_LM,Duelos_Aéreos_Ganhos_LM,Passes_Longos_Certos_LM,Passes_Progressivos_Certos_LM,Passes_Laterais_Certos_LM,Ações_Defensivas_BemSucedidas_Rank,Duelos_Defensivos_Ganhos_Rank,Duelos_Aéreos_Ganhos_Rank,Passes_Longos_Certos_Rank,Passes_Progressivos_Certos_Rank,Passes_Laterais_Certos_Rank,Ações_Defensivas_BemSucedidas_Percentil,Duelos_Defensivos_Ganhos_Percentil,Duelos_Aéreos_Ganhos_Percentil,Passes_Longos_Certos_Percentil,Passes_Progressivos_Certos_Percentil,Passes_Laterais_Certos_Percentil
21,0.794224,0.377201,0.321668,0.477946,0.804985,1.0,1.0,Mateus Henrique,América Mineiro,América Mineiro,RB,RB,1,21,0,,9,794,Brazil,Brazil,right,178,67,no,MG,Testing,2024,Lateral Defensivo,1.0,1,25,96,0.565054,0.51057,0.2776,0.519068,0.356236,0.382949,6.0,20,7,13.0,2,1,76,20,72,48,92,96
20,0.981949,0.775803,0.211424,0.636891,0.638836,0.442843,0.822417,Lucas Mota,Itabirito,Itabirito,RB,RB,1,28,0,,8,776,Brazil,Brazil,right,184,79,no,MG,Testing,2024,Lateral Defensivo,0.822,2,25,92,0.565054,0.51057,0.2776,0.519068,0.356236,0.382949,3.0,4,16,11.0,5,9,88,84,36,56,80,64
23,0.527076,0.6027,1.0,0.87476,0.625948,0.220249,0.807263,Wender,Democrata GV,Democrata GV,LB,LB,1,25,0,,10,1031,Brazil,Brazil,,0,0,no,MG,Testing,2024,Lateral Defensivo,0.807,3,25,88,0.565054,0.51057,0.2776,0.519068,0.356236,0.382949,15.0,7,1,4.0,6,21,40,72,96,84,76,16
17,0.198556,0.425297,0.096178,1.0,1.0,0.716692,0.740785,Charles,Villa Nova,Villa Nova,LB,LB,1,29,0,,7,508,Brazil,Brazil,left,177,74,no,MG,Testing,2024,Lateral Defensivo,0.741,4,25,84,0.565054,0.51057,0.2776,0.519068,0.356236,0.382949,22.0,15,21,1.0,1,2,12,40,16,96,96,92
9,0.563177,0.413052,0.0,0.992014,0.74733,0.60605,0.736675,Pedro Costa,Tombense,Tombense,RB,RB,1,30,50000,,8,829,Brazil,Brazil,right,184,80,no,MG,Testing,2024,Lateral Defensivo,0.737,5,25,80,0.565054,0.51057,0.2776,0.519068,0.356236,0.382949,14.0,17,25,3.0,3,4,44,32,0,88,88,84
2,0.812274,0.555656,0.278557,0.433981,0.458855,0.493315,0.701116,William Furtado,Cruzeiro,Cruzeiro,"RB, RWB",RB,1,28,2000000,2024-12-31,11,1021,Brazil,Brazil,right,176,68,no,MG,Testing,2024,Lateral Defensivo,0.701,6,25,76,0.565054,0.51057,0.2776,0.519068,0.356236,0.382949,5.0,10,12,15.0,8,7,80,60,52,40,68,72
16,1.0,0.935221,0.273537,0.336402,0.45353,0.491704,0.679834,Maurício,Villa Nova,Villa Nova,RB,RB,1,22,0,,6,589,Brazil,Brazil,right,0,0,no,MG,Testing,2024,Lateral Defensivo,0.68,7,25,72,0.565054,0.51057,0.2776,0.519068,0.356236,0.382949,1.0,3,13,18.0,9,8,96,88,48,28,64,68
3,0.628159,0.59792,0.228443,0.798712,0.327655,0.574176,0.555194,Marlon,Cruzeiro,Cruzeiro,"LB, LWB",LB,1,26,2000000,2026-12-31,9,906,Brazil,Brazil,left,174,68,no,MG,Testing,2024,Lateral Defensivo,0.555,8,25,68,0.565054,0.51057,0.2776,0.519068,0.356236,0.382949,9.0,8,15,6.0,13,5,64,68,40,76,48,80
4,0.998195,0.935905,0.021022,0.365293,0.410423,0.39394,0.550218,Marlon,América Mineiro,América Mineiro,LB,LB,1,30,700000,2025-12-31,8,729,Brazil,Brazil,left,177,69,no,MG,Testing,2024,Lateral Defensivo,0.55,9,25,64,0.565054,0.51057,0.2776,0.519068,0.356236,0.382949,2.0,2,24,17.0,10,11,92,92,4,32,60,56
13,0.583032,0.687945,0.560525,0.839881,0.12161,0.0,0.50564,Dávisson,Uberlândia,Uberlândia,RB,RB,1,22,0,,8,528,Brazil,Brazil,unknown,0,0,no,MG,Testing,2024,Lateral Defensivo,0.506,10,25,60,0.565054,0.51057,0.2776,0.519068,0.356236,0.382949,13.0,6,2,5.0,21,25,48,76,92,80,16,0
