Unnamed: 0,Atleta,Equipe,Equipe_Janela_Análise,Posição,Posição_Wyscout,Código_Posição_Wyscout,Idade,Valor_Mercado,Fim_Contrato,Jogos,Minutos,Nacionalidade,Passaporte,Pé,Altura,Peso,Empréstimo,Ações_Defensivas_BemSucedidas,Passes_Longos_Certos,Passes_Progressivos_Certos,Ações_Ofensivas_BemSucedidas,Duelos_Ofensivos_Ganhos,Pisadas_Área,Dribles_BemSucedidos,Corridas_Progressivas,Acelerações,xA,Assistência_Finalização,Passes_TerçoFinal_Certos,Deep_Completions,Deep_Completed_Crosses,Passes_ÁreaPênalti_Certos,Liga,Base,Versão_Temporada,RF_Rating,ET_Rating,Rating
5,Hugo,Botafogo,Botafogo,"LB, LWB",LB,1,22,1500000,2024-12-31,12,1029,Brazil,Brazil,left,175,67,no,8.57,2.101464,4.456773,2.71,2.273652,1.57,1.484754,1.57,0.7,0.24,1.75,2.451611,0.79,0.87,1.312605,RJ,Testing,2024,0.7361596695184027,0.7360738044690553,0.7440743590211449
6,Cayo Tenório,Nova Iguaçu,Nova Iguaçu,RB,RB,1,25,500000,,10,859,Brazil,Brazil,right,173,68,no,11.94,1.991925,6.390560000000001,3.77,3.669699,0.52,2.097106,2.62,1.26,0.1,0.84,3.14221,0.63,1.57,1.56875,RJ,Testing,2024,0.9244772002688232,1.0,0.9726406609696682
7,M. Ponte,Botafogo,Botafogo,RB,RB,1,20,500000,,6,548,Uruguay,Uruguay,right,183,77,no,9.2,1.148,2.955,0.99,1.641798,0.33,0.820539,0.99,0.49,0.04,0.66,3.28578,0.0,0.0,0.164,RJ,Testing,2024,0.08950864780997832,0.1246404187593477,0.1082320380958171
8,Paulo Henrique,Vasco da Gama,Vasco da Gama,"RWB, RB",RWB,1,27,300000,2024-12-31,9,798,Brazil,Brazil,right,175,74,no,5.64,2.255736,6.089999999999999,4.06,3.157124,0.68,2.031564,2.71,1.02,0.14,0.79,1.581425,0.79,1.92,2.59382,RJ,Testing,2024,1.0,0.9786106806908803,1.0
9,Mateus Ludke,Boavista,Boavista,"RB, RW",RB,1,23,250000,,14,904,Brazil,Brazil,right,176,72,no,5.67,1.395444,3.288294,2.19,1.194645,1.69,0.80001,0.5,0.7,0.03,0.4,1.693624,0.6,1.0,0.894375,RJ,Testing,2024,0.2529576215211323,0.1900793191299583,0.2239131452057023
10,Pará,Portuguesa RJ,Portuguesa RJ,LB,LB,1,36,150000,2024-12-31,11,1091,Brazil,Brazil,left,172,73,no,8.35,2.6722,4.90854,2.41,1.552,0.78,0.947034,1.55,0.95,0.05,0.78,2.669994,0.52,1.29,1.896932,RJ,Testing,2024,0.8296363458109849,0.7746419304081449,0.8108104802400827
11,Erick Daltro,Bangu,Bangu,"LB, LW, LWB",LB,1,31,100000,,11,1018,Brazil,Brazil,left,180,78,no,7.96,1.593494,3.006129,1.5,1.500813,0.18,0.706702,0.62,0.27,0.1,0.8,1.41542,0.09,0.62,0.529038,RJ,Testing,2024,0.0800996355545084,0.1163065683323656,0.0992647041702484
12,Evandro,Madureira,Madureira,LB,LB,1,27,50000,,10,1036,Brazil,Brazil,left,170,68,no,9.12,1.911599,6.17076,3.21,2.173216,1.04,1.56375,1.82,0.78,0.18,1.13,3.303216,0.35,1.56,1.38963,RJ,Testing,2024,0.9343509330249261,0.9400189171606474,0.9473161488904382
13,Alyson,Boavista,Boavista,LB,LB,1,27,50000,,12,1146,Brazil,Brazil,left,185,75,no,5.73,0.628156,3.850866,1.18,1.49303,1.81,0.472229,1.41,0.39,0.05,0.55,1.882168,0.79,0.71,1.337412,RJ,Testing,2024,0.3841067034208593,0.3330085291388104,0.3624337215794627
14,Paulo Victor,Audax Rio,Audax Rio,LB,LB,1,24,0,,8,692,Brazil,Brazil,left,0,0,no,6.5,0.78,3.900156,1.95,1.169831,0.78,0.779909,0.65,0.26,0.05,0.52,1.950078,0.0,1.04,1.039935,RJ,Testing,2024,0.2480826856281894,0.2248473140978581,0.2390212507904346
15,Acácio,Audax Rio,Audax Rio,"LB, LW",LB,1,30,0,,7,577,Brazil,Brazil,left,179,65,no,9.05,1.248764,4.364549999999999,0.78,2.025958,1.09,0.78125,0.31,0.16,0.04,0.47,2.338574,0.94,0.16,0.78,RJ,Testing,2024,0.4562395903912231,0.4437204893826437,0.4548444464373475
16,Almir Sóta,Madureira,Madureira,RB,RB,1,29,0,,9,773,Brazil,Brazil,right,0,0,no,7.57,1.627407,5.701632,2.91,2.794471999999999,0.23,1.514736,2.79,1.28,0.08,0.58,2.214324,0.23,1.28,1.631864,RJ,Testing,2024,0.8315290112126711,0.7714797969582952,0.8101688845686593
17,Ramon Batista,Audax Rio,Audax Rio,"RB, LCB",RB,1,24,0,,6,646,Brazil,Brazil,,0,0,no,8.36,0.696126,3.206647999999999,1.39,2.227748,1.11,1.112,0.98,0.0,0.05,0.28,2.231139,0.28,0.0,0.14,RJ,Testing,2024,0.1514071933985547,0.137482093614689,0.1460061293676889
18,Wellington Silva,Volta Redonda,Volta Redonda,RB,RB,1,35,0,2024-04-10,10,953,Brazil,Brazil,right,178,77,no,7.74,0.851529,3.875736,3.21,4.343637,0.28,1.793748,1.23,0.28,0.07,0.66,2.1712,0.19,1.04,1.040341,RJ,Testing,2024,0.4031805353138795,0.4206242077532252,0.4163551481383155
19,Sánchez,Volta Redonda,Volta Redonda,LB,LB,1,28,0,,11,1097,Brazil,Brazil,left,178,73,no,6.15,1.63902,4.837999999999999,3.04,1.64243,1.56,1.397712,0.98,0.16,0.17,0.57,3.115836,0.16,0.9,0.8217719999999998,RJ,Testing,2024,0.6199234224697556,0.5656293583313382,0.5991844643167139
20,Gabriel Saulo,Bangu,Bangu,"RB, RW",RB,1,22,0,,11,1084,Brazil,Brazil,,0,0,no,7.31,0.6639999999999999,2.571425,3.24,2.32254,0.91,1.660083,1.08,0.83,0.03,0.17,0.6639999999999999,0.25,1.16,1.161688,RJ,Testing,2024,0.1312021212579289,0.1412242169216545,0.1376856704748299
21,Paulo Vitor,Sampaio Corrêa RJ,Sampaio Corrêa RJ,LB,LB,1,35,0,,8,583,Brazil,Brazil,left,168,71,no,7.26,3.398528,6.329622000000001,1.54,1.8547,0.62,1.23641,0.46,0.15,0.02,0.31,2.7792,0.15,0.31,0.308,RJ,Testing,2024,0.7518932827445349,0.6185629393203237,0.6926356131800169
22,Guilherme,Sampaio Corrêa RJ,Sampaio Corrêa RJ,LB,LB,1,31,0,,11,844,Brazil,Brazil,left,173,73,no,8.74,0.74375,3.51984,4.59,4.798660999999999,0.75,3.0914,2.13,0.96,0.15,0.96,2.026752,0.53,1.49,1.38656,RJ,Testing,2024,0.5474517066231415,0.5306353481021591,0.5448707344230346
23,Lucas Carvalho,Sampaio Corrêa RJ,Sampaio Corrêa RJ,RB,RB,1,27,0,,10,756,Brazil,Brazil,right,174,68,no,6.67,0.9519999999999998,3.330336,2.02,2.144324,0.6,1.071842,1.43,0.83,0.06,0.95,3.094119,0.12,0.48,0.713262,RJ,Testing,2024,0.2076893916374372,0.2078487904529535,0.2100151313978025
