Unnamed: 0,Atleta,Equipe,Equipe_Janela_Análise,Posição,Posição_Wyscout,Código_Posição_Wyscout,Idade,Valor_Mercado,Fim_Contrato,Jogos,Minutos,Nacionalidade,Passaporte,Pé,Altura,Peso,Empréstimo,Ações_Defensivas_BemSucedidas,Passes_Longos_Certos,Passes_Progressivos_Certos,Ações_Ofensivas_BemSucedidas,Duelos_Ofensivos_Ganhos,Pisadas_Área,Dribles_BemSucedidos,Corridas_Progressivas,Acelerações,xA,Assistência_Finalização,Passes_TerçoFinal_Certos,Deep_Completions,Deep_Completed_Crosses,Passes_ÁreaPênalti_Certos,Liga,Base,Versão_Temporada,RF_Rating,ET_Rating,Rating
6,Juninho Capixaba,Red Bull Bragantino,Red Bull Bragantino,"LB, LWB",LB,1,26,1300000,2026-12-31,11,906,Brazil,Brazil,left,176,63,no,10.43,2.781068,8.2467,3.87,3.475,2.58,2.083995,3.08,0.5,0.02,0.79,5.858709999999999,0.79,0.99,1.689856,SP,Testing,2024,1.0,1.0,1.0
7,Fágner,Corinthians,Corinthians,RB,RB,1,34,1200000,2024-12-31,10,906,Brazil,Brazil,right,168,67,no,7.15,1.291992,7.453647999999999,2.28,1.889524,0.5,0.8952929999999999,1.19,0.2,0.18,1.09,4.671990000000001,0.3,1.59,1.789764,SP,Testing,2024,0.7434278001966945,0.7165980446922893,0.7300129224444918
8,Mayke,Palmeiras,Palmeiras,"RWB, RAMF",RWB,1,31,1000000,2025-12-31,7,582,Brazil,Brazil,right,179,68,no,5.57,2.162284,6.33624,3.87,2.01,2.16,1.084938,2.47,0.46,0.34,2.01,1.701966,1.08,2.01,2.47248,SP,Testing,2024,0.8073742558572001,0.8522573511856381,0.8298158035214189
9,Warley,Mirassol,Mirassol,LB,LB,1,24,800000,,11,857,Brazil,Brazil,right,172,64,no,7.56,3.468,10.504768,1.47,3.152752,0.11,0.9480000000000001,3.05,0.63,0.0,0.11,8.403756999999999,0.63,0.53,1.262794,SP,Testing,2024,0.967768172121384,0.8880123601379658,0.9278902661296748
10,Rodrigo Ferreira,Santos,Mirassol,RB,RB,1,28,800000,2024-05-31,10,919,Brazil,Brazil,right,178,80,no,8.72,2.152452,5.584675,1.66,1.566492,0.98,0.293304,1.37,0.2,0.12,0.78,4.311804,0.29,0.98,0.684675,SP,Testing,2024,0.545113035878928,0.5015885505080245,0.5233507931934762
11,Aderlan,Santos,Santos,"RB, RWB",RB,1,33,800000,2024-12-31,11,837,Brazil,Brazil,right,180,71,no,10.22,3.5475,6.991613999999999,2.26,1.72104,0.54,0.9675,0.75,0.11,0.12,0.75,3.440086,1.08,0.86,1.826232,SP,Testing,2024,0.8946066921776896,0.8464285499486676,0.8705176210631784
12,Nathan Mendes,Red Bull Bragantino,Red Bull Bragantino,"RB, RWB",RB,1,21,600000,2024-12-31,9,698,Brazil,Brazil,right,182,79,no,8.51,1.032966,6.314497,2.19,2.448126,1.03,1.54922,3.22,0.9,0.02,0.26,5.413488,0.39,0.52,0.6461279999999999,SP,Testing,2024,0.6161273146215787,0.5504815380519833,0.5833044263367809
13,Danilo Barcelos,Grêmio Novorizontino,Grêmio Novorizontino,"LB, LWB",LB,1,32,550000,,13,918,Brazil,Brazil,left,186,75,no,6.86,1.175192,3.823236,1.47,1.276236,0.29,0.196647,0.39,0.1,0.09,1.27,1.66844,0.1,1.08,1.077212,SP,Testing,2024,0.07087709545435505,0.1071866876638232,0.08903189155908914
14,Hugo,Corinthians,Corinthians,LB,LB,1,26,500000,2024-12-31,12,843,Brazil,Brazil,left,179,73,no,9.72,1.601743,6.085224,1.17,0.96,0.53,0.5333760000000001,0.85,0.32,0.06,0.75,4.487112,0.75,0.53,1.279936,SP,Testing,2024,0.5236657790047512,0.5247196111381746,0.5241926950714628
15,Arthur Henrique,São Bernardo FC,São Bernardo FC,"LWB, LB",LWB,1,29,500000,2024-12-31,11,1018,Brazil,Brazil,left,176,68,no,9.13,0.9658979999999999,3.97193,3.01,3.866225,0.54,2.257371,1.07,0.64,0.1,0.75,2.363301,0.32,0.54,0.9686359999999999,SP,Testing,2024,0.4528343259292181,0.4056370793013231,0.4292357026152706
16,Douglas Borel,Portuguesa,Portuguesa,"RB, RWB",RB,1,21,500000,2024-12-31,10,801,Brazil,Brazil,right,178,71,yes,4.94,0.9,1.57242,1.69,2.808558000000001,1.8,0.6740389999999999,2.13,0.67,0.01,0.56,1.014,0.34,0.67,0.561156,SP,Testing,2024,0.0,0.0,0.0
17,Júnior Caiçara,Santo André,Santo André,"RB, LB",RB,1,34,450000,2024-06-30,9,602,Brazil,"Brazil, Bulgaria",right,173,65,no,7.92,2.540436,6.129017999999999,2.24,1.0465,0.15,0.895,1.2,0.75,0.17,1.79,5.235240999999999,0.45,1.5,1.795235,SP,Testing,2024,0.7763760766106327,0.7768008452379053,0.7765884609242688
18,Hayner,Santos,Santos,"RB, LB",RB,1,28,400000,,11,876,Brazil,Brazil,right,178,71,no,8.22,0.616605,3.6975,4.01,3.595072,0.51,2.3653,3.08,1.85,0.06,0.51,2.26296,0.41,1.44,1.641502,SP,Testing,2024,0.3781913786882524,0.4579761443696816,0.418083761528967
19,G. Risso Patrón,Ponte Preta,Ponte Preta,"LB, LWB",LB,1,28,400000,2024-12-31,12,1127,Argentina,Argentina,left,179,71,yes,10.94,1.915118,5.992695,1.84,0.9600799999999999,1.04,0.72,0.48,0.64,0.09,0.72,2.713149,0.16,1.2,0.960016,SP,Testing,2024,0.5859275544237561,0.5733243256517214,0.5796259400377387
20,Alex Silva,Água Santa,Água Santa,RB,RB,1,29,300000,,9,817,Brazil,Brazil,right,184,82,no,9.14,2.7563,6.607224,2.42,3.966144,0.33,1.87,2.31,0.77,0.03,0.55,4.408872,0.77,0.77,1.209967,SP,Testing,2024,0.756452592753476,0.7549851807200402,0.7557188867367579
21,Igor Inocêncio,Ponte Preta,Ponte Preta,"RB, RW",RB,1,25,300000,,12,1139,Brazil,Brazil,right,185,78,no,8.06,1.896,4.344921,2.37,1.659,0.95,1.266174,0.63,0.24,0.08,0.71,1.895432,0.32,1.11,1.027939,SP,Testing,2024,0.343599564596035,0.3480524304234424,0.3458259975097386
22,Wallison,Botafogo SP,Botafogo SP,"RWB, RB",RWB,1,22,300000,,11,814,Brazil,Brazil,right,177,70,yes,8.07,1.32636,4.646178000000001,1.0,0.8856700000000001,0.22,0.443289,0.55,0.11,0.0,0.33,2.983056,0.22,0.55,0.5525,SP,Testing,2024,0.1282320800787007,0.149436298789352,0.1388341894340263
23,Felipe Albuquerque,Inter de Limeira,Inter de Limeira,RB,RB,1,24,250000,,9,667,Brazil,Brazil,right,174,73,no,10.29,1.015116,5.219942,1.3,1.447648,0.14,0.7214430000000001,1.3,0.29,0.06,0.58,3.625029,0.14,0.58,0.7249129999999999,SP,Testing,2024,0.434517528648617,0.3913135201656568,0.4129155244071369
24,Willean Lepo,Grêmio Novorizontino,Grêmio Novorizontino,"RB, RCB, RWB",RB,1,27,250000,,12,967,Brazil,Brazil,right,180,78,no,10.98,2.418658,6.328412999999999,3.82,2.977485,0.65,2.046,2.23,0.47,0.12,0.65,2.791416,0.47,1.58,1.85932,SP,Testing,2024,0.8983250873970632,0.8382577028499062,0.8682913951234845
25,Léo Duarte,Ituano,Ituano,"RB, LB",RB,1,24,200000,,11,787,Brazil,Brazil,right,175,67,no,9.94,2.192388,7.615256,3.23,3.22695,0.26,1.6796,0.65,0.26,0.07,0.9,4.777542,0.13,1.16,1.421616,SP,Testing,2024,0.8165422345822884,0.782599298189324,0.799570766385806
26,Hélder,Guarani,Guarani,LB,LB,1,35,100000,,9,707,Brazil,Brazil,left,177,81,no,8.02,2.162676,5.477072999999999,2.42,2.419206,0.76,1.4025,0.64,0.13,0.06,1.02,2.293448,0.64,1.02,1.143504,SP,Testing,2024,0.5888328925882274,0.5419549345851871,0.5653939135867072
27,Gabriel Inocêncio,Água Santa,Água Santa,"LB, RB",LB,1,29,100000,2024-11-30,10,924,Brazil,Brazil,right,175,69,no,10.71,1.461677,3.894756,1.95,2.62875,0.19,1.55807,2.92,1.07,0.01,0.29,2.145,0.1,0.49,0.585,SP,Testing,2024,0.3893936519661504,0.3212012486390508,0.3552974503026006
28,Vitor Ricardo,São Bernardo FC,São Bernardo FC,"RWB, RB",RWB,1,23,100000,2024-12-31,11,734,Brazil,Brazil,right,178,67,no,5.74,1.576552,4.019412,2.73,1.579458,1.0,0.8614859999999999,1.58,0.43,0.09,0.86,1.578924,0.43,1.58,1.5796,SP,Testing,2024,0.3606140114726518,0.3629868175059585,0.3618004144893051
29,Luiz Felipe,Ponte Preta,Ponte Preta,RB,RB,1,26,100000,2025-04-11,8,570,Brazil,Brazil,right,180,76,no,12.32,2.681676,5.997012,3.63,3.473302,0.32,2.526786,1.42,0.47,0.11,1.11,4.102626999999999,0.79,0.95,1.423125,SP,Testing,2024,0.9280439195331116,0.875329937364076,0.9016869284485938
30,Reverson,Grêmio Novorizontino,Grêmio Novorizontino,"LB, LCB, LWB",LB,1,27,100000,,12,683,Brazil,Brazil,left,175,71,no,8.43,2.636534999999999,4.480224,1.32,1.1844,0.92,0.920835,1.05,0.13,0.05,1.19,1.976166,0.53,0.0,0.657666,SP,Testing,2024,0.2244929921907791,0.2799654006794646,0.2522291964351218
31,Jean Victor,Botafogo SP,Botafogo SP,"LB, LWB",LB,1,29,50000,2024-12-05,11,973,Brazil,Brazil,left,181,72,no,8.6,1.573395,4.7175,0.92,0.8316040000000001,1.11,0.184426,0.37,0.0,0.04,0.65,2.776846,0.37,0.55,0.922635,SP,Testing,2024,0.2727527923325362,0.3015872629089854,0.2871700276207607
32,JP Galvão,Inter de Limeira,Inter de Limeira,"RB, RWB",RB,1,22,0,,10,650,Brazil,Brazil,right,184,75,yes,8.02,2.227956,4.157421,1.19,1.484556,0.3,0.892,1.19,0.74,0.0,0.0,3.41692,0.3,0.59,0.445744,SP,Testing,2024,0.1439940263144654,0.1930709164041278,0.1685324713592966
33,Zé Mário,Inter de Limeira,Inter de Limeira,LB,LB,1,32,0,2024-04-10,9,821,Brazil,Brazil,left,175,78,no,9.48,3.9424,8.005608,1.35,0.985356,0.49,0.6125,1.97,0.49,0.25,1.6,5.16928,0.74,0.37,0.8633580000000001,SP,Testing,2024,0.8075439079416358,0.7830964424405559,0.7953201751910957
34,Marlinho,Ituano,Ituano,"LWB, LB, LAMF",LWB,1,18,0,,10,679,Brazil,Brazil,unknown,0,0,no,7.94,1.13339,3.685854,2.55,2.693636,0.85,1.276392,1.28,0.43,0.03,0.57,1.278,0.71,0.85,1.274253,SP,Testing,2024,0.3168152955265401,0.3292313132580787,0.3230233043923094
35,Eduardo Diniz,Portuguesa,Portuguesa,"LB, LWB",LB,1,34,0,2024-12-31,11,968,Brazil,Brazil,both,179,68,no,5.39,2.791665000000001,4.836517,1.77,0.93096,0.19,0.6506440000000001,0.28,0.09,0.25,1.86,2.604000000000001,0.19,0.84,0.7453799999999999,SP,Testing,2024,0.2335145439172336,0.2439906395150215,0.2387525917161275
36,Igor Fernandes,Santo André,Santo André,LB,LB,1,31,0,,11,1034,Brazil,Brazil,left,183,78,no,7.14,2.175,5.131976,1.91,1.5675,0.52,0.9570000000000001,1.91,0.26,0.03,0.35,2.958,0.0,0.87,0.9570000000000001,SP,Testing,2024,0.3427428164188414,0.3054905384992365,0.3241166774590389
