Unnamed: 0,Passes_Longos_Certos,Passes_Frontais_Certos,Passes_Progressivos_Certos,Duelos_Ofensivos_Ganhos,Dribles_BemSucedidos,xA,Assistência_Finalização,Passes_TerçoFinal_Certos,Passes_EntreLinhas_Certos,Passes_Chave,Rating,Atleta,Equipe,Equipe_Janela_Análise,Posição,Posição_Wyscout,Código_Posição_Wyscout,Idade,Valor_Mercado,Fim_Contrato,Jogos,Minutos,Nacionalidade,Passaporte,Pé,Altura,Peso,Empréstimo,Liga,Base,Versão_Temporada,Role,L_Rating,L_Ranking,Size,L_Percentil,Passes_Longos_Certos_LM,Passes_Frontais_Certos_LM,Passes_Progressivos_Certos_LM,Duelos_Ofensivos_Ganhos_LM,Dribles_BemSucedidos_LM,xA_LM,Assistência_Finalização_LM,Passes_TerçoFinal_Certos_LM,Passes_EntreLinhas_Certos_LM,Passes_Chave_LM,Passes_Longos_Certos_Rank,Passes_Frontais_Certos_Rank,Passes_Progressivos_Certos_Rank,Duelos_Ofensivos_Ganhos_Rank,Dribles_BemSucedidos_Rank,xA_Rank,Assistência_Finalização_Rank,Passes_TerçoFinal_Certos_Rank,Passes_EntreLinhas_Certos_Rank,Passes_Chave_Rank,Passes_Longos_Certos_Percentil,Passes_Frontais_Certos_Percentil,Passes_Progressivos_Certos_Percentil,Duelos_Ofensivos_Ganhos_Percentil,Dribles_BemSucedidos_Percentil,xA_Percentil,Assistência_Finalização_Percentil,Passes_TerçoFinal_Certos_Percentil,Passes_EntreLinhas_Certos_Percentil,Passes_Chave_Percentil
3,1.0,0.269517,0.975063,0.735978,1.0,0.888889,0.365854,0.226169,0.919323,0.614286,1.0,Robert Santos,Athletic Club,Athletic Club,"AMF, CF",AMF,9,20,0,,7,622,Brazil,Brazil,unknown,0,0,no,MG,Testing,2024,Meia Organizador,1.0,1,5,80,0.435192,0.283083,0.459981,0.63827,0.439532,0.466667,0.29878,0.356016,0.490379,0.468571,1,2,2,3,1,2.0,2,3,2.0,2,80,60,60,40,80,60,60,40,60,60
0,0.413957,1.0,1.0,0.52306,0.449186,1.0,1.0,1.0,1.0,1.0,0.848982,Matheus Pereira,Cruzeiro,Cruzeiro,"AMF, CF, RAMF",AMF,9,27,7000000,2026-06-30,10,1025,Brazil,"Brazil, Portugal",left,175,74,yes,MG,Testing,2024,Meia Organizador,0.849,2,5,60,0.435192,0.283083,0.459981,0.63827,0.439532,0.466667,0.29878,0.356016,0.490379,0.468571,3,1,1,4,2,1.0,1,1,1.0,1,40,80,80,20,60,80,80,80,80,80
2,0.0,0.0,0.119616,0.932312,0.415293,0.333333,0.0,0.08674,0.532573,0.6,0.511398,David Braga,Athletic Club,Athletic Club,"AMF, CF",AMF,9,22,0,,10,645,Brazil,Brazil,left,186,89,no,MG,Testing,2024,Meia Organizador,0.511,3,5,40,0.435192,0.283083,0.459981,0.63827,0.439532,0.466667,0.29878,0.356016,0.490379,0.468571,5,5,4,2,3,3.0,5,4,3.0,3,0,0,20,60,40,40,0,20,40,40
1,0.513192,0.101732,0.0,1.0,0.33318,0.0,0.091463,0.46717,0.0,0.0,0.486729,Neto,Villa Nova,Villa Nova,"AMF, RCMF, RDMF",AMF,9,21,500000,2024-12-31,6,504,Brazil,Brazil,right,178,75,yes,MG,Testing,2024,Meia Organizador,0.487,4,5,20,0.435192,0.283083,0.459981,0.63827,0.439532,0.466667,0.29878,0.356016,0.490379,0.468571,2,3,5,1,4,5.0,3,2,4.5,5,60,40,0,80,20,0,40,60,10,0
4,0.248811,0.044165,0.205227,0.0,0.0,0.111111,0.036585,0.0,0.0,0.128571,0.0,Bruninho,Democrata GV,Democrata GV,AMF,AMF,9,23,0,,11,1011,Brazil,Brazil,,0,0,no,MG,Testing,2024,Meia Organizador,0.0,5,5,0,0.435192,0.283083,0.459981,0.63827,0.439532,0.466667,0.29878,0.356016,0.490379,0.468571,4,4,3,5,5,4.0,4,5,4.5,4,20,20,40,0,0,20,20,0,10,20
2,0.853846,0.0,1.0,1.0,1.0,0.6,1.0,0.121279,1.0,0.105263,1.0,Yago Ferreira,Nova Iguaçu,Nova Iguaçu,"AMF, CF",AMF,9,22,0,,11,893,Brazil,Brazil,,0,0,no,RJ,Testing,2024,Meia Organizador,1.0,1,3,66,0.617949,0.418464,0.642743,0.460942,0.564763,0.533333,0.354701,0.37376,0.475026,0.368421,2,3,1,1,1,2.0,1,2,1.0,2,33,0,66,66,66,33,66,33,66,33
1,1.0,1.0,0.928229,0.0,0.0,0.0,0.064103,1.0,0.425078,1.0,0.304998,Nenê Bonilha,Portuguesa RJ,Portuguesa RJ,"AMF, CF, LCMF",AMF,9,32,200000,,10,682,Brazil,Brazil,right,175,69,no,RJ,Testing,2024,Meia Organizador,0.305,2,3,33,0.617949,0.418464,0.642743,0.460942,0.564763,0.533333,0.354701,0.37376,0.475026,0.368421,1,1,2,3,3,3.0,2,1,2.0,1,66,66,33,0,0,0,33,66,33,66
0,0.0,0.255392,0.0,0.382827,0.694288,1.0,0.0,0.0,0.0,0.0,0.0,David,Vasco da Gama,Vasco da Gama,"AMF, RW, CF",AMF,9,28,1700000,2025-12-31,11,650,Brazil,Brazil,right,180,71,yes,RJ,Testing,2024,Meia Organizador,0.0,3,3,0,0.617949,0.418464,0.642743,0.460942,0.564763,0.533333,0.354701,0.37376,0.475026,0.368421,3,2,3,2,2,1.0,3,3,3.0,3,0,33,0,33,33,66,0,0,0,0
4,0.0,0.0,0.0,1.0,1.0,0.117647,0.27027,0.0,0.28639,0.515152,1.0,Rafael Mineiro,Santa Cruz RS,Santa Cruz RS,"AMF, RW, CF",AMF,9,32,0,,10,612,Brazil,Brazil,right,183,71,no,RS,Testing,2024,Meia Organizador,1.0,1,6,83,0.581672,0.285989,0.491555,0.346192,0.260716,0.411765,0.349099,0.287585,0.451109,0.560606,6,6,6,1,1,4.0,3,6,5.0,4,0,0,0,83,83,33,50,0,16,33
2,1.0,1.0,1.0,0.135271,0.0,1.0,0.0,1.0,1.0,1.0,0.800284,Bruno Henrique,Internacional,Internacional,"AMF, RAMF, LCMF",AMF,9,34,700000,,13,775,Brazil,"Brazil, Italy",right,179,75,no,RS,Testing,2024,Meia Organizador,0.8,2,6,66,0.581672,0.285989,0.491555,0.346192,0.260716,0.411765,0.349099,0.287585,0.451109,0.560606,1,1,1,4,6,1.0,6,1,1.0,1,83,83,83,33,0,83,0,83,83,83
