Unnamed: 0,Atleta,Equipe,Equipe_Janela_Análise,Posição,Posição_Wyscout,Código_Posição_Wyscout,Idade,Valor_Mercado,Fim_Contrato,Jogos,Minutos,Nacionalidade,Passaporte,Pé,Altura,Peso,Empréstimo,Duelos_Ofensivos_Ganhos,Pisadas_Área,Dribles_BemSucedidos,Acelerações,Passes_Longos_Recebidos,xG,Finalizações_NoAlvo,Conversão_Gols,xA,Assistência_Finalização,Deep_Completions,Deep_Completed_Crosses,Passes_Chave,Liga,Base,Versão_Temporada,RF_Rating,ET_Rating,Rating
6,Bill,Nova Iguaçu,Nova Iguaçu,"LAMF, LW, AMF",LAMF,10,24,250000,,13,1185,Brazil,Brazil,right,175,68,no,4.1772,2.17,2.506905,0.42,1.92,0.23,1.001396,13.793,0.27,1.84,1.17,0.84,0.75,RJ,Testing,2024,0.7083541228815943,0.7390430703443979,0.7236985966129962
7,Romarinho,Portuguesa RJ,Portuguesa RJ,"RW, LW, LAMF",RW,10,30,150000,,10,840,Brazil,Brazil,left,170,61,no,3.36006,0.96,0.24,0.24,0.72,0.21,0.72006,18.182,0.04,0.36,0.72,0.36,0.12,RJ,Testing,2024,0.2847834686867162,0.3481043107816224,0.3164438897341693
8,Hugo Borges,Madureira,Madureira,"LW, LWF, LAMF",LW,10,26,125000,,10,790,Brazil,Brazil,right,176,73,no,3.188296,2.85,1.482,1.14,2.62,0.38,1.59449,2.778,0.14,1.25,1.03,0.8,0.57,RJ,Testing,2024,0.6535146258553464,0.7149595400188483,0.6842370829370974
9,MV,Volta Redonda,Volta Redonda,"LW, RW",LW,10,25,0,,10,1036,Brazil,Brazil,right,172,68,no,4.081275,2.52,2.083248,1.13,1.48,0.2,0.8695999999999999,17.391,0.31,2.08,0.61,1.04,0.61,RJ,Testing,2024,0.6897591224685723,0.7192847069031323,0.7045219146858523
10,Gabriel Canela,Bangu,Bangu,"LW, RB, RW",LW,10,24,0,,8,509,Brazil,Brazil,,0,0,no,6.366715999999999,1.59,3.535082,1.41,1.06,0.07,0.53,16.667,0.08,0.88,0.88,0.53,0.35,RJ,Testing,2024,0.4357873957711315,0.4591450331541413,0.4474662144626365
11,Arthur Martins,Madureira,Madureira,"RW, RWF",RW,10,24,0,,11,883,Brazil,Brazil,,0,0,no,4.689299999999999,3.16,2.243227,0.82,1.22,0.2,0.4080510000000001,6.667,0.14,1.02,0.71,0.82,0.61,RJ,Testing,2024,0.5987094769093261,0.5989246859114364,0.5988170814103814
12,Edilson,Audax Rio,Audax Rio,"RW, LW, RAMF",RW,10,23,0,,9,598,Brazil,Brazil,,0,0,no,3.762616,1.81,1.656361,0.75,0.75,0.05,0.15003,0.0,0.08,0.9,0.15,0.75,0.6,RJ,Testing,2024,0.2971453552503648,0.3144439069769419,0.3057946311136533
13,Clisman,Audax Rio,Audax Rio,"RW, CF",RW,10,25,0,,11,554,Brazil,Brazil,left,0,0,no,6.659352,1.3,1.623842,1.14,1.62,0.1,0.4875,0.0,0.14,0.65,0.49,0.0,0.0,RJ,Testing,2024,0.3636405391511189,0.3363096574298331,0.3499750982904761
14,Vini Moura,Volta Redonda,Volta Redonda,"RW, CF, RWF",RW,10,25,0,,9,567,Brazil,Brazil,,181,76,no,3.807761999999999,2.38,1.1137,0.48,0.63,0.19,0.633862,7.692,0.03,1.11,0.79,0.32,0.16,RJ,Testing,2024,0.4262193765724034,0.4285569346170118,0.4273881555947077
15,Léo Silva,Volta Redonda,Volta Redonda,"RW, RCMF, LCMF",RW,10,21,0,,11,922,Brazil,Brazil,right,170,68,yes,2.73558,0.29,0.9785910000000001,0.0,0.49,0.03,0.097768,0.0,0.0,0.1,0.39,0.1,0.0,RJ,Testing,2024,0.0,0.0,0.0
16,Isaac,Fluminense,Fluminense,"LAMF, LW, LWF",LAMF,10,19,0,,6,508,Brazil,Brazil,right,0,0,no,6.353412,2.75,4.02584,1.06,1.91,0.08,0.63375,12.5,0.05,0.64,1.69,0.64,0.85,RJ,Testing,2024,0.672788638926997,0.6406237751180717,0.6567062070225343
17,Max,Sampaio Corrêa RJ,Sampaio Corrêa RJ,"RW, CF, LW",RW,10,21,0,,12,999,Brazil,Brazil,unknown,0,0,no,3.873956,3.15,2.524872,1.35,1.8,0.21,0.9,25.0,0.05,0.36,0.81,1.17,0.45,RJ,Testing,2024,0.5860792292257059,0.5939125126041062,0.5899958709149061
18,Rafael Pernão,Sampaio Corrêa RJ,Sampaio Corrêa RJ,"LW, LCMF, LWF",LW,10,30,0,,10,812,Brazil,Brazil,right,179,70,no,3.21441,1.44,1.332,0.11,0.44,0.07,0.3325,0.0,0.06,0.78,0.89,0.44,0.44,RJ,Testing,2024,0.2179402337799379,0.2283412033900249,0.2231407185849814
19,Anderson Rosa,Portuguesa RJ,Portuguesa RJ,"RW, AMF, LW",RW,10,31,0,,12,1094,Brazil,Brazil,left,175,75,no,3.585336,1.43,1.254095,0.36,1.61,0.07,0.536,6.667,0.08,1.25,0.9,0.18,0.09,RJ,Testing,2024,0.3486728471118387,0.3306864441715789,0.3396796456417088
20,Xandinho,Nova Iguaçu,Nova Iguaçu,"RAMF, RW",RAMF,10,26,0,,13,1054,Brazil,Brazil,right,170,65,no,4.58337,2.02,2.385144,1.28,1.65,0.23,0.183315,5.556,0.01,0.64,0.64,0.09,0.0,RJ,Testing,2024,0.2961298847006396,0.3484639994636103,0.3222969420821249
21,Jefferson,Boavista,Boavista,"RW, LW, CF",RW,10,22,0,,12,801,Brazil,Brazil,right,178,70,no,6.066151,2.13,3.480862,0.34,1.01,0.14,0.3371149999999999,5.882,0.09,0.79,1.01,0.56,0.45,RJ,Testing,2024,0.4423510567369008,0.4509637390845727,0.4466573979107368
22,Matheus Alessandro,Boavista,Boavista,LW,LW,10,27,0,2024-04-30,10,689,Brazil,Brazil,right,171,65,no,5.878435999999999,2.74,2.482245,1.04,1.31,0.12,0.6542190000000001,0.0,0.13,0.91,2.35,0.0,0.39,RJ,Testing,2024,0.5012261199500133,0.5017963145153014,0.5015112172326573
0,Wanderson,Internacional,Internacional,"LAMF, LW, LCMF",LAMF,10,29,9000000,2025-12-31,13,1018,Brazil,"Brazil, Belgium",right,176,74,no,5.693547,4.73,3.952874,0.68,2.03,0.29,1.15544,11.111,0.12,1.16,1.64,1.35,0.87,RS,Testing,2024,1.0,1.0,1.0
1,C. Pavón,Grêmio,Grêmio,"RW, RWF, RAMF",RW,10,28,4000000,2025-06-30,7,500,Argentina,"Argentina, Italy",right,174,70,no,2.51991,4.5,1.440162,0.72,2.34,0.2,0.7200179999999999,23.077,0.28,1.62,1.08,1.26,0.9,RS,Testing,2024,0.9179876136124566,0.9462886778619951,0.9321381457372259
2,Hyoran,Internacional,Internacional,"LW, RW, CF",LW,10,30,3000000,,10,540,Brazil,Brazil,right,174,72,no,2.917233,2.37,1.275592,0.0,0.55,0.13,0.1825,12.5,0.16,0.91,0.91,0.55,0.0,RS,Testing,2024,0.5578908169781678,0.4835590480346585,0.5207249325064132
3,Lucas Barbosa,Juventude,Juventude,"RAMF, RW, CF",RAMF,10,23,1000000,2026-07-31,14,1180,Brazil,Brazil,left,193,85,yes,3.432915,2.59,1.678048,0.46,1.53,0.22,0.8373279999999999,12.903,0.03,0.31,0.69,0.53,0.23,RS,Testing,2024,0.5879133071490374,0.5534584682332846,0.570685887691161
4,B. Borasi,São Luiz,São Luiz,RW,RW,10,26,300000,,7,534,Argentina,Argentina,right,171,61,yes,5.058,3.37,2.866717,0.34,1.52,0.17,0.507,10.0,0.12,1.01,0.51,2.36,0.51,RS,Testing,2024,0.7873146544231377,0.773103442921656,0.7802090486723969
5,Vitor Feijão,Caxias,Caxias,"LW, LAMF",LW,10,27,250000,,13,948,Brazil,Brazil,right,169,63,no,5.957909999999999,2.42,4.04,0.81,2.12,0.3,0.81,12.5,0.13,0.91,0.71,0.71,0.51,RS,Testing,2024,0.8605267486895176,0.8224596675240973,0.8414932081068074
6,Tinga,Brasil de Pelotas,Brasil de Pelotas,"RW, AMF, LW",RW,10,31,175000,,10,628,Brazil,Brazil,left,178,65,no,2.72167,0.57,0.715,0.14,1.58,0.05,0.71811,0.0,0.06,0.57,0.43,0.72,0.29,RS,Testing,2024,0.1950686794013506,0.1890739690642649,0.1920713242328078
