Unnamed: 0,Passes_Longos_Certos,Passes_Frontais_Certos,Passes_Progressivos_Certos,Duelos_Ofensivos_Ganhos,Pisadas_Área,Dribles_BemSucedidos,xG,Finalizações_NoAlvo,Ameaça_Ofensiva,xA,Assistência_Finalização,Passes_TerçoFinal_Certos,Passes_Inteligentes_Certos,Passes_EntreLinhas_Certos,Deep_Completions,Passes_Chave,Passes_ÁreaPênalti_Certos,Rating,Atleta,Equipe,Equipe_Janela_Análise,Posição,Posição_Wyscout,Código_Posição_Wyscout,Idade,Valor_Mercado,Fim_Contrato,Jogos,Minutos,Nacionalidade,Passaporte,Pé,Altura,Peso,Empréstimo,Liga,Base,Versão_Temporada,Role,L_Rating,L_Ranking,Size,L_Percentil,Passes_Longos_Certos_LM,Passes_Frontais_Certos_LM,Passes_Progressivos_Certos_LM,Duelos_Ofensivos_Ganhos_LM,Pisadas_Área_LM,Dribles_BemSucedidos_LM,xG_LM,Finalizações_NoAlvo_LM,Ameaça_Ofensiva_LM,xA_LM,Assistência_Finalização_LM,Passes_TerçoFinal_Certos_LM,Passes_Inteligentes_Certos_LM,Passes_EntreLinhas_Certos_LM,Deep_Completions_LM,Passes_Chave_LM,Passes_ÁreaPênalti_Certos_LM,Passes_Longos_Certos_Rank,Passes_Frontais_Certos_Rank,Passes_Progressivos_Certos_Rank,Duelos_Ofensivos_Ganhos_Rank,Pisadas_Área_Rank,Dribles_BemSucedidos_Rank,xG_Rank,Finalizações_NoAlvo_Rank,Ameaça_Ofensiva_Rank,xA_Rank,Assistência_Finalização_Rank,Passes_TerçoFinal_Certos_Rank,Passes_Inteligentes_Certos_Rank,Passes_EntreLinhas_Certos_Rank,Deep_Completions_Rank,Passes_Chave_Rank,Passes_ÁreaPênalti_Certos_Rank,Passes_Longos_Certos_Percentil,Passes_Frontais_Certos_Percentil,Passes_Progressivos_Certos_Percentil,Duelos_Ofensivos_Ganhos_Percentil,Pisadas_Área_Percentil,Dribles_BemSucedidos_Percentil,xG_Percentil,Finalizações_NoAlvo_Percentil,Ameaça_Ofensiva_Percentil,xA_Percentil,Assistência_Finalização_Percentil,Passes_TerçoFinal_Certos_Percentil,Passes_Inteligentes_Certos_Percentil,Passes_EntreLinhas_Certos_Percentil,Deep_Completions_Percentil,Passes_Chave_Percentil,Passes_ÁreaPênalti_Certos_Percentil
0,0.413957,1.0,1.0,0.52306,0.887755,0.449186,0.735294,0.70423,0.66469,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,Matheus Pereira,Cruzeiro,Cruzeiro,"AMF, CF, RAMF",AMF,9,27,7000000,2026-06-30,10,1025,Brazil,"Brazil, Portugal",left,175,74,yes,MG,Testing,2024,Meia Atacante,1.0,1,5,80,0.435192,0.283083,0.459981,0.63827,0.509184,0.439532,0.505882,0.660435,0.40343,0.466667,0.29878,0.356016,0.415894,0.490379,0.354348,0.468571,0.356004,3,1,1,4,2.0,2,2.0,3,2,1.0,1,1,1.0,1.0,1.0,1,1,40,80,80,20,60,60,60,40,60,80,80,80,80,80,80,80,80
3,1.0,0.269517,0.975063,0.735978,0.561224,1.0,0.411765,0.603557,0.16279,0.888889,0.365854,0.226169,0.706118,0.919323,0.375,0.614286,0.458325,0.725385,Robert Santos,Athletic Club,Athletic Club,"AMF, CF",AMF,9,20,0,,7,622,Brazil,Brazil,unknown,0,0,no,MG,Testing,2024,Meia Atacante,0.725,2,5,60,0.435192,0.283083,0.459981,0.63827,0.509184,0.439532,0.505882,0.660435,0.40343,0.466667,0.29878,0.356016,0.415894,0.490379,0.354348,0.468571,0.356004,1,2,2,3,3.0,1,3.0,4,4,2.0,2,3,2.0,2.0,2.0,2,2,80,60,60,40,40,80,40,20,20,60,60,40,60,60,60,60,60
4,0.248811,0.044165,0.205227,0.0,1.0,0.0,1.0,0.994386,1.0,0.111111,0.036585,0.0,0.146093,0.0,0.190217,0.128571,0.109076,0.27865,Bruninho,Democrata GV,Democrata GV,AMF,AMF,9,23,0,,11,1011,Brazil,Brazil,,0,0,no,MG,Testing,2024,Meia Atacante,0.279,3,5,40,0.435192,0.283083,0.459981,0.63827,0.509184,0.439532,0.505882,0.660435,0.40343,0.466667,0.29878,0.356016,0.415894,0.490379,0.354348,0.468571,0.356004,4,4,3,5,1.0,5,1.0,2,1,4.0,4,5,4.0,4.5,4.0,4,4,20,20,40,0,80,0,80,60,80,20,20,0,20,10,20,20,20
1,0.513192,0.101732,0.0,1.0,0.0,0.33318,0.382353,1.0,0.0,0.0,0.091463,0.46717,0.0,0.0,0.0,0.0,0.0,0.203198,Neto,Villa Nova,Villa Nova,"AMF, RCMF, RDMF",AMF,9,21,500000,2024-12-31,6,504,Brazil,Brazil,right,178,75,yes,MG,Testing,2024,Meia Atacante,0.203,4,5,20,0.435192,0.283083,0.459981,0.63827,0.509184,0.439532,0.505882,0.660435,0.40343,0.466667,0.29878,0.356016,0.415894,0.490379,0.354348,0.468571,0.356004,2,3,5,1,5.0,4,4.0,1,5,5.0,3,2,5.0,4.5,5.0,5,5,60,40,0,80,0,20,20,80,0,0,40,60,0,10,0,0,0
2,0.0,0.0,0.119616,0.932312,0.096939,0.415293,0.0,0.0,0.189671,0.333333,0.0,0.08674,0.227256,0.532573,0.206522,0.6,0.212621,0.0,David Braga,Athletic Club,Athletic Club,"AMF, CF",AMF,9,22,0,,10,645,Brazil,Brazil,left,186,89,no,MG,Testing,2024,Meia Atacante,0.0,5,5,0,0.435192,0.283083,0.459981,0.63827,0.509184,0.439532,0.505882,0.660435,0.40343,0.466667,0.29878,0.356016,0.415894,0.490379,0.354348,0.468571,0.356004,5,5,4,2,4.0,3,5.0,5,3,3.0,5,4,3.0,3.0,3.0,3,3,0,0,20,60,20,40,0,0,40,40,0,20,40,40,40,40,40
2,0.853846,0.0,1.0,1.0,0.159763,1.0,1.0,1.0,0.0,0.6,1.0,0.121279,1.0,1.0,1.0,0.105263,1.0,1.0,Yago Ferreira,Nova Iguaçu,Nova Iguaçu,"AMF, CF",AMF,9,22,0,,11,893,Brazil,Brazil,,0,0,no,RJ,Testing,2024,Meia Atacante,1.0,1,3,66,0.617949,0.418464,0.642743,0.460942,0.386588,0.564763,0.666667,0.634444,0.584612,0.533333,0.354701,0.37376,0.333333,0.475026,0.58,0.368421,0.637234,2,3,1,1,2.0,1,1.5,1,3,2.0,1,2,1.0,1.0,1.0,2,1,33,0,66,66,33,66,50,66,0,33,66,33,66,66,66,33,66
1,1.0,1.0,0.928229,0.0,0.0,0.0,1.0,0.903331,0.753837,0.0,0.064103,1.0,0.0,0.425078,0.0,1.0,0.0,0.996498,Nenê Bonilha,Portuguesa RJ,Portuguesa RJ,"AMF, CF, LCMF",AMF,9,32,200000,,10,682,Brazil,Brazil,right,175,69,no,RJ,Testing,2024,Meia Atacante,0.996,2,3,33,0.617949,0.418464,0.642743,0.460942,0.386588,0.564763,0.666667,0.634444,0.584612,0.533333,0.354701,0.37376,0.333333,0.475026,0.58,0.368421,0.637234,1,1,2,3,3.0,3,1.5,2,2,3.0,2,1,2.5,2.0,3.0,1,3,66,66,33,0,0,0,50,33,33,0,33,66,16,33,0,66,0
0,0.0,0.255392,0.0,0.382827,1.0,0.694288,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.74,0.0,0.911703,0.0,David,Vasco da Gama,Vasco da Gama,"AMF, RW, CF",AMF,9,28,1700000,2025-12-31,11,650,Brazil,Brazil,right,180,71,yes,RJ,Testing,2024,Meia Atacante,0.0,3,3,0,0.617949,0.418464,0.642743,0.460942,0.386588,0.564763,0.666667,0.634444,0.584612,0.533333,0.354701,0.37376,0.333333,0.475026,0.58,0.368421,0.637234,3,2,3,2,1.0,2,3.0,3,1,1.0,3,3,2.5,3.0,2.0,3,2,0,33,0,33,66,33,0,0,66,66,0,0,16,0,33,0,33
0,0.883625,0.48809,0.990873,0.344645,1.0,0.122682,1.0,1.0,0.956941,0.058824,0.486486,0.270257,0.318153,0.55151,1.0,0.909091,1.0,1.0,F. Cristaldo,Grêmio,Grêmio,"AMF, LCMF, CF",AMF,9,27,7000000,2026-12-31,13,817,Argentina,Argentina,right,175,69,no,RS,Testing,2024,Meia Atacante,1.0,1,6,83,0.581672,0.285989,0.491555,0.346192,0.319444,0.260716,0.413043,0.441741,0.416362,0.411765,0.349099,0.287585,0.305953,0.451109,0.299687,0.560606,0.418527,2,2,2,3,1.0,3,1.0,1,2,5.0,2,2,2.0,2.0,1.0,2,1,66,66,66,50,83,50,83,83,66,16,66,66,66,66,83,66,83
2,1.0,1.0,1.0,0.135271,0.577778,0.0,0.0,0.105783,0.0,1.0,0.0,1.0,1.0,1.0,0.511737,1.0,0.653796,0.692425,Bruno Henrique,Internacional,Internacional,"AMF, RAMF, LCMF",AMF,9,34,700000,,13,775,Brazil,"Brazil, Italy",right,179,75,no,RS,Testing,2024,Meia Atacante,0.692,2,6,66,0.581672,0.285989,0.491555,0.346192,0.319444,0.260716,0.413043,0.441741,0.416362,0.411765,0.349099,0.287585,0.305953,0.451109,0.299687,0.560606,0.418527,1,1,1,4,2.0,6,5.5,5,6,1.0,6,1,1.0,1.0,2.0,1,2,83,83,83,33,66,0,8,16,0,83,0,83,83,83,66,83,66
