Unnamed: 0,Atleta,Equipe,Equipe_Janela_Análise,Posição,Posição_Wyscout,Código_Posição_Wyscout,Idade,Valor_Mercado,Fim_Contrato,Jogos,Minutos,Nacionalidade,Passaporte,Pé,Altura,Peso,Empréstimo,Duelos_Ofensivos_Ganhos,Dribles_BemSucedidos,Acelerações,xG,Finalizações_NoAlvo,Conversão_Gols,Conversão_xG,Ameaça_Ofensiva,xA,Assistência_Finalização,Deep_Completions,Passes_Chave,Passes_ÁreaPênalti_Certos,Liga,Base,Versão_Temporada,RF_Rating,ET_Rating,Rating
0,Paulinho,Atlético Mineiro,Atlético Mineiro,"CF, AMF, RAMF",CF,12,23,7500000,,10,1011,Brazil,Brazil,right,177,80,no,2.1376,1.245,0.53,0.32,0.89,10.0,0.5625,0.1797752808988764,0.11,0.62,0.89,0.36,0.62,MG,Testing,2024,0.47055104733145,0.4480516264520509,0.4593013368917505
1,J. Dinenno,Cruzeiro,Cruzeiro,"CF, RWF",CF,12,29,4500000,2024-12-31,11,946,Argentina,Argentina,right,186,82,no,1.996599,0.76,0.0,0.44,1.047018,18.519,1.090909090909091,0.1712062256809339,0.0,0.1,0.38,0.0,0.38,MG,Testing,2024,0.3666152272021437,0.3491879810909321,0.3579016041465379
2,Hulk,Atlético Mineiro,Atlético Mineiro,CF,CF,12,37,2500000,2024-12-31,9,915,Brazil,Brazil,left,180,85,no,6.0,2.656017,0.39,0.44,1.7685,15.0,1.340909090909091,0.1119592875318066,0.16,1.48,1.28,0.59,1.768995,MG,Testing,2024,1.0,1.0,1.0
3,Jonathas,Athletic Club,Athletic Club,CF,CF,12,35,300000,,10,752,Brazil,Brazil,right,192,81,no,1.79493,0.600048,0.0,0.77,1.433732,36.842,1.090909090909091,0.3392070484581498,0.02,0.48,0.36,0.12,0.24,MG,Testing,2024,0.8344336865924039,0.731745647967577,0.7830896672799905
4,Guilherme Santos,Villa Nova,Villa Nova,"CF, AMF",CF,12,22,200000,2024-12-31,6,530,Brazil,Brazil,left,181,76,yes,2.377355,0.68,0.17,0.44,0.8500679999999999,11.111,0.7727272727272728,0.1437908496732026,0.1,1.19,1.19,0.34,1.53,MG,Testing,2024,0.3975280004845996,0.5145337352433992,0.4560308678639994
5,Da Silva,Itabirito,Itabirito,CF,CF,12,25,100000,,8,552,Brazil,Brazil,right,187,0,no,1.793,0.653366,0.0,0.27,0.489375,6.25,0.5925925925925926,0.103448275862069,0.05,0.98,0.33,0.0,0.325,MG,Testing,2024,0.02479193304249203,0.04163572421156966,0.03321382862703084
6,Caiuby,Patrocinense,Patrocinense,"CF, LW, AMF",CF,12,35,75000,,8,503,Brazil,Brazil,left,184,85,no,2.50512,1.253708,0.36,0.14,0.5357500000000001,14.286,1.285714285714286,0.112,0.04,0.89,0.54,0.0,0.7162919999999999,MG,Testing,2024,0.4405596963191535,0.3855185886552772,0.4130391424872153
7,Caio Mancha,Villa Nova,Villa Nova,CF,CF,12,31,50000,,6,516,Brazil,Brazil,right,188,87,no,2.094211,0.8714460000000002,0.0,0.23,0.87,40.0,1.521739130434782,0.264367816091954,0.03,0.35,0.52,0.17,0.875,MG,Testing,2024,0.8017539282325555,0.6876711314663297,0.7447125298494426
8,David Lima,Pouso Alegre,Pouso Alegre,CF,CF,12,24,0,,10,773,Brazil,Brazil,,0,0,no,2.329767,0.69824,0.12,0.43,0.35007,5.556,0.2790697674418605,0.2047619047619048,0.03,0.58,0.35,0.23,0.23,MG,Testing,2024,0.0,0.0,0.0
9,Igor Bahia,Tombense,Tombense,CF,CF,12,31,0,,8,803,Brazil,Brazil,,0,0,no,2.46654,0.781622,0.0,0.76,1.683468,22.222,0.8815789473684211,0.2508250825082509,0.01,0.22,0.22,0.0,0.11,MG,Testing,2024,0.4680587621505229,0.453605544339702,0.4608321532451124
