Unnamed: 0,Atleta,Equipe,Equipe_Janela_Análise,Posição,Posição_Wyscout,Código_Posição_Wyscout,Idade,Valor_Mercado,Fim_Contrato,Jogos,Minutos,Nacionalidade,Passaporte,Pé,Altura,Peso,Empréstimo,Duelos_Ofensivos_Ganhos,Dribles_BemSucedidos,Acelerações,xG,Conversão_Gols,Conversão_xG,Ameaça_Ofensiva,xA,Assistência_Finalização,Liga,Base,Versão_Temporada,RF_Rating,ET_Rating,Rating
5,Eduardo Sasha,Red Bull Bragantino,Red Bull Bragantino,"CF, AMF",CF,12,32,1800000,2025-12-31,11,803,Brazil,"Brazil, Italy",right,173,65,no,2.016,0.781622,0.11,0.43,35.294,1.558139534883721,0.225130890052356,0.06,0.67,SP,Testing,2024,1.0,1.0,0.9999999999999999
6,J. Furch,Santos,Santos,CF,CF,12,34,1500000,,12,693,Argentina,Argentina,right,188,88,no,1.688093,0.26,0.13,0.53,15.789,0.7358490566037735,0.2145748987854251,0.07,0.65,SP,Testing,2024,0.6413713418841389,0.6508148936890567,0.6453483852623771
7,Régis,Guarani,Guarani,"CF, AMF",CF,12,31,1000000,,8,602,Brazil,Brazil,left,171,70,no,2.839833,1.047203,0.3,0.17,11.111,0.8823529411764705,0.1259259259259259,0.05,1.05,SP,Testing,2024,0.6088755842020316,0.5994849333302054,0.6033473282698766
8,Élvis,Ponte Preta,Ponte Preta,"CF, AMF",CF,12,33,700000,,13,1027,Brazil,Brazil,right,175,73,no,1.928718,0.7886240000000001,0.09,0.2,13.333,0.8999999999999999,0.1526717557251908,0.2,2.1,SP,Testing,2024,0.8729790901013686,0.9266965713460207,0.899627057695801
9,Dellatorre,Mirassol,Mirassol,CF,CF,12,31,650000,,11,940,Brazil,"Brazil, Italy",right,181,79,no,2.105232,0.6704880000000002,0.1,0.82,24.138,0.8170731707317074,0.2949640287769784,0.07,0.48,SP,Testing,2024,0.9087846319410192,0.9046944520018676,0.9065432923368413
10,Giovanni Augusto,Portuguesa,Portuguesa,"CF, AMF",CF,12,34,450000,,12,995,Brazil,Brazil,right,177,71,no,4.705454,1.721104,0.27,0.15,13.333,1.2,0.1102941176470588,0.1,1.9,SP,Testing,2024,0.8905149661209347,0.9376842061516151,0.9139188243730443
11,Willian,Santos,Santos,"CF, AMF",CF,12,37,400000,,10,546,Brazil,Brazil,right,171,66,no,2.14354,1.481522,0.16,0.32,20.0,1.03125,0.193939393939394,0.21,0.82,SP,Testing,2024,0.9583578313508713,0.96018705146968,0.9591867376869566
12,Bruno Mezenga,Água Santa,Água Santa,CF,CF,12,35,300000,2024-04-10,11,688,Brazil,Brazil,left,185,78,no,0.1309,0.13,0.13,0.2,8.333,0.65,0.1273885350318471,0.04,0.13,SP,Testing,2024,0.1598629822851316,0.1796528112200963,0.1680108035811036
13,Alex Sandro,Botafogo SP,Botafogo SP,"CF, LW",CF,12,28,300000,,12,799,Brazil,Brazil,left,175,74,no,2.930676,1.350976,0.56,0.23,15.789,1.478260869565218,0.1074766355140187,0.03,0.68,SP,Testing,2024,0.6589153765056961,0.6568040273289589,0.6571397300246219
14,Salatiel,Ituano,Ituano,CF,CF,12,31,300000,,10,601,Brazil,Brazil,right,187,76,no,2.289002,0.353351,0.18,0.11,0.0,0.0,0.08943089430894309,0.02,0.7,SP,Testing,2024,0.004199797735427862,0.0,0.0
15,Derek,Guarani,Guarani,"CF, LAMF, LWF",CF,12,26,200000,2025-11-30,7,545,Brazil,Brazil,left,185,80,no,4.126720000000001,2.145,1.49,0.45,0.0,0.0,0.1296829971181556,0.13,0.66,SP,Testing,2024,0.3581160363664149,0.4250817280508929,0.3903186129543305
16,Léo Passos,Santo André,Santo André,CF,CF,12,25,200000,,11,614,Brazil,"Brazil, Spain",right,183,78,no,1.612476,0.586608,0.44,0.17,0.0,0.0,0.08900523560209425,0.02,0.44,SP,Testing,2024,0.0,0.02066754004493257,0.008251197835744916
17,Kayke,São Bernardo FC,São Bernardo FC,CF,CF,12,35,200000,,10,539,Brazil,Brazil,right,182,80,no,0.794385,0.0,0.0,0.44,12.5,0.75,0.2767295597484277,0.01,0.6,SP,Testing,2024,0.3776234059950178,0.4258402467526813,0.4004728800535101
18,Diego Quirino,Inter de Limeira,Inter de Limeira,CF,CF,12,30,200000,,13,959,Brazil,Brazil,right,180,79,no,3.209275,0.620031,0.21,0.34,23.529,1.117647058823529,0.1931818181818182,0.03,0.31,SP,Testing,2024,0.684180600412631,0.700199233742589,0.6915421868650702
19,Neto Pessôa,Grêmio Novorizontino,Grêmio Novorizontino,CF,CF,12,29,125000,2024-12-31,14,930,Brazil,Brazil,left,178,76,no,1.162,0.386628,0.48,0.29,8.0,0.6551724137931035,0.1198347107438016,0.13,1.16,SP,Testing,2024,0.6344651191305419,0.6033266413946999,0.618093916109486
20,Jeh,Ponte Preta,Ponte Preta,CF,CF,12,24,0,,12,1036,Brazil,Brazil,right,185,77,no,4.515919999999999,1.47475,0.78,0.23,15.385,1.521739130434782,0.1017699115044248,0.01,0.26,SP,Testing,2024,0.5294466485565836,0.5827568001634947,0.5551676213517932
21,Henrique Dourado,Portuguesa,Portuguesa,CF,CF,12,34,0,2024-04-30,11,720,Brazil,Brazil,left,186,80,no,2.50005,0.249975,0.0,0.26,8.333,0.5,0.1733333333333333,0.03,0.25,SP,Testing,2024,0.2110890950255817,0.2363679593264438,0.2220950053585762
