Unnamed: 0,Ações_Defensivas_BemSucedidas,Duelos_Defensivos_Ganhos,Duelos_Aéreos_Ganhos,Passes_Longos_Certos,Passes_Progressivos_Certos,Passes_Laterais_Certos,Ações_Ofensivas_BemSucedidas,Duelos_Ofensivos_Ganhos,Pisadas_Área,Dribles_BemSucedidos,Corridas_Progressivas,Acelerações,xA,Assistência_Finalização,Passes_TerçoFinal_Certos,Deep_Completions,Deep_Completed_Crosses,Passes_ÁreaPênalti_Certos,Rating,Atleta,Equipe,Equipe_Janela_Análise,Posição,Posição_Wyscout,Código_Posição_Wyscout,Idade,Valor_Mercado,Fim_Contrato,Jogos,Minutos,Nacionalidade,Passaporte,Pé,Altura,Peso,Empréstimo,Liga,Base,Versão_Temporada,Role,L_Rating,L_Ranking,Size,L_Percentil,Ações_Defensivas_BemSucedidas_LM,Duelos_Defensivos_Ganhos_LM,Duelos_Aéreos_Ganhos_LM,Passes_Longos_Certos_LM,Passes_Progressivos_Certos_LM,Passes_Laterais_Certos_LM,Ações_Ofensivas_BemSucedidas_LM,Duelos_Ofensivos_Ganhos_LM,Pisadas_Área_LM,Dribles_BemSucedidos_LM,Corridas_Progressivas_LM,Acelerações_LM,xA_LM,Assistência_Finalização_LM,Passes_TerçoFinal_Certos_LM,Deep_Completions_LM,Deep_Completed_Crosses_LM,Passes_ÁreaPênalti_Certos_LM,Ações_Defensivas_BemSucedidas_Rank,Duelos_Defensivos_Ganhos_Rank,Duelos_Aéreos_Ganhos_Rank,Passes_Longos_Certos_Rank,Passes_Progressivos_Certos_Rank,Passes_Laterais_Certos_Rank,Ações_Ofensivas_BemSucedidas_Rank,Duelos_Ofensivos_Ganhos_Rank,Pisadas_Área_Rank,Dribles_BemSucedidos_Rank,Corridas_Progressivas_Rank,Acelerações_Rank,xA_Rank,Assistência_Finalização_Rank,Passes_TerçoFinal_Certos_Rank,Deep_Completions_Rank,Deep_Completed_Crosses_Rank,Passes_ÁreaPênalti_Certos_Rank,Ações_Defensivas_BemSucedidas_Percentil,Duelos_Defensivos_Ganhos_Percentil,Duelos_Aéreos_Ganhos_Percentil,Passes_Longos_Certos_Percentil,Passes_Progressivos_Certos_Percentil,Passes_Laterais_Certos_Percentil,Ações_Ofensivas_BemSucedidas_Percentil,Duelos_Ofensivos_Ganhos_Percentil,Pisadas_Área_Percentil,Dribles_BemSucedidos_Percentil,Corridas_Progressivas_Percentil,Acelerações_Percentil,xA_Percentil,Assistência_Finalização_Percentil,Passes_TerçoFinal_Certos_Percentil,Deep_Completions_Percentil,Deep_Completed_Crosses_Percentil,Passes_ÁreaPênalti_Certos_Percentil
17,0.198556,0.425297,0.096178,1.0,1.0,0.716692,0.417085,0.222782,0.0,0.216366,0.174129,0.0,0.263158,0.435484,1.0,0.330189,0.690058,0.567863,1.0,Charles,Villa Nova,Villa Nova,LB,LB,1,29,0,,7,508,Brazil,Brazil,left,177,74,no,MG,Testing,2024,Lateral Equilibrado,1.0,1,25,96,0.565054,0.51057,0.2776,0.519068,0.356236,0.382949,0.47397,0.462129,0.359135,0.536976,0.437811,0.328955,0.324211,0.432581,0.325547,0.362264,0.343626,0.359485,22.0,15,21,1.0,1,2,15.0,22,24.0,21,22.0,24.5,11.5,13.0,1,13.5,4.0,6,12,40,16,96,96,92,40,12,4,16,12,2,54,48,96,46,84,76
21,0.794224,0.377201,0.321668,0.477946,0.804985,1.0,0.452261,0.352215,0.183784,0.276786,0.716418,0.223881,0.210526,0.596774,0.648572,0.424528,0.590643,0.707242,0.922127,Mateus Henrique,América Mineiro,América Mineiro,RB,RB,1,21,0,,9,794,Brazil,Brazil,right,178,67,no,MG,Testing,2024,Lateral Equilibrado,0.922,2,25,92,0.565054,0.51057,0.2776,0.519068,0.356236,0.382949,0.47397,0.462129,0.359135,0.536976,0.437811,0.328955,0.324211,0.432581,0.325547,0.362264,0.343626,0.359485,6.0,20,7,13.0,2,1,13.0,15,18.0,20,5.0,15.5,15.0,7.0,3,8.0,6.0,4,76,20,72,48,92,96,48,40,28,20,80,38,40,72,88,68,76,84
9,0.563177,0.413052,0.0,0.992014,0.74733,0.60605,1.0,0.484614,0.291892,0.97604,0.726368,0.432836,0.473684,0.91129,0.320829,0.311321,1.0,0.887635,0.86667,Pedro Costa,Tombense,Tombense,RB,RB,1,30,50000,,8,829,Brazil,Brazil,right,184,80,no,MG,Testing,2024,Lateral Equilibrado,0.867,3,25,88,0.565054,0.51057,0.2776,0.519068,0.356236,0.382949,0.47397,0.462129,0.359135,0.536976,0.437811,0.328955,0.324211,0.432581,0.325547,0.362264,0.343626,0.359485,14.0,17,25,3.0,3,4,1.0,10,12.5,3,4.0,8.0,7.0,2.0,11,15.0,1.0,2,44,32,0,88,88,84,96,60,50,88,84,68,72,92,56,40,96,92
2,0.812274,0.555656,0.278557,0.433981,0.458855,0.493315,0.678392,0.24639,1.0,0.324,0.258706,0.174129,1.0,1.0,0.248102,1.0,0.888889,1.0,0.764043,William Furtado,Cruzeiro,Cruzeiro,"RB, RWB",RB,1,28,2000000,2024-12-31,11,1021,Brazil,Brazil,right,176,68,no,MG,Testing,2024,Lateral Equilibrado,0.764,4,25,84,0.565054,0.51057,0.2776,0.519068,0.356236,0.382949,0.47397,0.462129,0.359135,0.536976,0.437811,0.328955,0.324211,0.432581,0.325547,0.362264,0.343626,0.359485,5.0,10,12,15.0,8,7,5.0,20,1.0,19,18.0,18.0,1.0,1.0,14,1.0,2.0,1,80,60,52,40,68,72,80,20,96,24,28,28,96,96,44,96,92,96
0,0.17509,0.030658,0.29047,0.150519,0.73964,0.672378,0.472362,0.442894,0.686486,0.517359,0.636816,0.313433,0.684211,0.298387,0.70609,0.254717,0.333333,0.315373,0.757886,Guilherme Arana,Atlético Mineiro,Atlético Mineiro,"LB, LWB",LB,1,26,12000000,2027-12-31,10,994,Brazil,Brazil,left,176,66,no,MG,Testing,2024,Lateral Equilibrado,0.758,5,25,80,0.565054,0.51057,0.2776,0.519068,0.356236,0.382949,0.47397,0.462129,0.359135,0.536976,0.437811,0.328955,0.324211,0.432581,0.325547,0.362264,0.343626,0.359485,23.5,24,10,21.0,4,3,12.0,11,4.0,13,6.0,11.0,3.5,16.5,2,20.0,10.0,11,6,4,60,16,84,88,52,56,84,48,76,56,86,34,92,20,60,56
23,0.527076,0.6027,1.0,0.87476,0.625948,0.220249,0.650754,1.0,0.32973,0.570292,0.253731,0.129353,0.263158,0.637097,0.32418,0.490566,0.777778,0.644559,0.665427,Wender,Democrata GV,Democrata GV,LB,LB,1,25,0,,10,1031,Brazil,Brazil,,0,0,no,MG,Testing,2024,Lateral Equilibrado,0.665,6,25,76,0.565054,0.51057,0.2776,0.519068,0.356236,0.382949,0.47397,0.462129,0.359135,0.536976,0.437811,0.328955,0.324211,0.432581,0.325547,0.362264,0.343626,0.359485,15.0,7,1,4.0,6,21,6.5,1,11.0,12,19.5,21.0,11.5,6.0,9,4.0,3.0,5,40,72,96,84,76,16,74,96,56,52,22,16,54,76,64,84,88,80
4,0.998195,0.935905,0.021022,0.365293,0.410423,0.39394,0.781407,0.654696,0.6,0.756262,1.0,0.492537,0.947368,0.556452,0.318202,0.462264,0.508772,0.416592,0.652941,Marlon,América Mineiro,América Mineiro,LB,LB,1,30,700000,2025-12-31,8,729,Brazil,Brazil,left,177,69,no,MG,Testing,2024,Lateral Equilibrado,0.653,7,25,72,0.565054,0.51057,0.2776,0.519068,0.356236,0.382949,0.47397,0.462129,0.359135,0.536976,0.437811,0.328955,0.324211,0.432581,0.325547,0.362264,0.343626,0.359485,2.0,2,24,17.0,10,11,3.0,6,6.0,7,1.0,6.0,2.0,8.0,12,6.0,7.0,8,92,92,4,32,60,56,88,76,76,72,96,76,92,68,52,76,72,68
20,0.981949,0.775803,0.211424,0.636891,0.638836,0.442843,0.115578,0.03052,0.248649,0.095246,0.452736,0.0,0.105263,0.145161,0.38687,0.330189,0.128655,0.210902,0.553137,Lucas Mota,Itabirito,Itabirito,RB,RB,1,28,0,,8,776,Brazil,Brazil,right,184,79,no,MG,Testing,2024,Lateral Equilibrado,0.553,8,25,68,0.565054,0.51057,0.2776,0.519068,0.356236,0.382949,0.47397,0.462129,0.359135,0.536976,0.437811,0.328955,0.324211,0.432581,0.325547,0.362264,0.343626,0.359485,3.0,4,16,11.0,5,9,24.0,24,17.0,24,11.5,24.5,19.0,20.5,7,13.5,19.5,16,88,84,36,56,80,64,4,4,32,4,54,2,24,18,72,46,22,36
16,1.0,0.935221,0.273537,0.336402,0.45353,0.491704,0.650754,0.954926,0.167568,0.998429,0.253731,0.303483,0.0,0.354839,0.471798,0.292453,0.128655,0.169209,0.535196,Maurício,Villa Nova,Villa Nova,RB,RB,1,22,0,,6,589,Brazil,Brazil,right,0,0,no,MG,Testing,2024,Lateral Equilibrado,0.535,9,25,64,0.565054,0.51057,0.2776,0.519068,0.356236,0.382949,0.47397,0.462129,0.359135,0.536976,0.437811,0.328955,0.324211,0.432581,0.325547,0.362264,0.343626,0.359485,1.0,3,13,18.0,9,8,6.5,2,19.0,2,19.5,12.0,24.5,15.0,6,16.0,19.5,18,96,88,48,28,64,68,74,92,24,92,22,52,2,40,76,36,22,28
3,0.628159,0.59792,0.228443,0.798712,0.327655,0.574176,0.256281,0.135245,0.427027,0.202243,0.338308,0.248756,0.263158,0.5,0.619976,0.283019,0.269006,0.161276,0.461572,Marlon,Cruzeiro,Cruzeiro,"LB, LWB",LB,1,26,2000000,2026-12-31,9,906,Brazil,Brazil,left,174,68,no,MG,Testing,2024,Lateral Equilibrado,0.462,10,25,60,0.565054,0.51057,0.2776,0.519068,0.356236,0.382949,0.47397,0.462129,0.359135,0.536976,0.437811,0.328955,0.324211,0.432581,0.325547,0.362264,0.343626,0.359485,9.0,8,15,6.0,13,5,21.0,23,8.5,22,15.0,14.0,11.5,10.5,5,17.5,11.0,19,64,68,40,76,48,80,16,8,66,12,40,44,54,57,80,30,56,24
