Unnamed: 0,Ações_Defensivas_BemSucedidas,Duelos_Defensivos_Ganhos,Duelos_Aéreos_Ganhos,Finalizações_Bloqueadas,Interceptações_Ajustadas_a_Posse,Passes_Laterais_Certos,Rating,Atleta,Equipe,Equipe_Janela_Análise,Posição,Posição_Wyscout,Código_Posição_Wyscout,Idade,Valor_Mercado,Fim_Contrato,Jogos,Minutos,Nacionalidade,Passaporte,Pé,Altura,Peso,Empréstimo,Liga,Base,Versão_Temporada,Role,L_Rating,L_Ranking,Size,L_Percentil,Ações_Defensivas_BemSucedidas_LM,Duelos_Defensivos_Ganhos_LM,Duelos_Aéreos_Ganhos_LM,Finalizações_Bloqueadas_LM,Interceptações_Ajustadas_a_Posse_LM,Passes_Laterais_Certos_LM,Ações_Defensivas_BemSucedidas_Rank,Duelos_Defensivos_Ganhos_Rank,Duelos_Aéreos_Ganhos_Rank,Finalizações_Bloqueadas_Rank,Interceptações_Ajustadas_a_Posse_Rank,Passes_Laterais_Certos_Rank,Ações_Defensivas_BemSucedidas_Percentil,Duelos_Defensivos_Ganhos_Percentil,Duelos_Aéreos_Ganhos_Percentil,Finalizações_Bloqueadas_Percentil,Interceptações_Ajustadas_a_Posse_Percentil,Passes_Laterais_Certos_Percentil
2,0.725599,0.762552,0.413167,0.477941,0.690217,0.713217,1.0,Bruno Fuchs,Atlético Mineiro,Atlético Mineiro,"RCB, CB",RCB,4,25,1800000,2024-12-31,7,692,Brazil,Brazil,right,190,85,no,MG,Testing,2024,Zagueiro Defensivo,1.0,1,26,96,0.466426,0.490949,0.427375,0.402715,0.441541,0.458552,4.0,4,14,8.0,3.0,2,84,84,46,69,88,92
6,0.46593,0.495045,1.0,0.279412,0.577899,1.0,0.969963,Ricardo Silva,América Mineiro,América Mineiro,RCB,RCB,4,31,300000,,7,717,Brazil,Brazil,right,190,84,no,MG,Testing,2024,Zagueiro Defensivo,0.97,2,26,92,0.466426,0.490949,0.427375,0.402715,0.441541,0.458552,14.0,12,1,21.0,7.5,1,46,53,96,19,71,96
11,1.0,0.934989,0.464842,1.0,0.596014,0.398602,0.914703,Ruan,Ipatinga,Ipatinga,RCB,RCB,4,25,100000,,5,530,Brazil,Brazil,right,186,78,no,MG,Testing,2024,Zagueiro Defensivo,0.915,3,26,88,0.466426,0.490949,0.427375,0.402715,0.441541,0.458552,1.0,2,10,1.0,6.0,15,96,92,61,96,76,42
4,0.598527,0.759497,0.274211,0.183824,0.717391,0.56935,0.892004,Neris,Cruzeiro,Cruzeiro,"LCB, CB",LCB,4,31,700000,2024-12-31,8,720,Brazil,Brazil,right,190,88,no,MG,Testing,2024,Zagueiro Defensivo,0.892,4,26,84,0.466426,0.490949,0.427375,0.402715,0.441541,0.458552,8.0,5,21,25.0,2.0,8,69,80,19,3,92,69
25,0.751381,0.712927,0.41084,0.213235,0.61413,0.448994,0.875621,Donato,Democrata GV,Democrata GV,RCB,RCB,4,30,0,,9,940,Brazil,Brazil,right,190,78,no,MG,Testing,2024,Zagueiro Defensivo,0.876,5,26,80,0.466426,0.490949,0.427375,0.402715,0.441541,0.458552,3.0,8,15,23.0,5.0,13,88,69,42,11,80,50
10,0.497238,0.549768,0.295195,0.367647,0.530797,0.709229,0.866481,Zé Vitor,Tombense,Tombense,LCB,LCB,4,23,100000,,6,544,Brazil,Brazil,left,189,86,no,MG,Testing,2024,Zagueiro Defensivo,0.866,6,26,76,0.466426,0.490949,0.427375,0.402715,0.441541,0.458552,10.0,11,19,14.5,10.0,3,61,57,26,44,61,88
19,0.491713,0.103163,0.42804,0.330882,1.0,0.559489,0.799617,Renan Arantes,Villa Nova,Villa Nova,RCB,RCB,4,22,0,,6,598,Brazil,Brazil,,0,0,no,MG,Testing,2024,Zagueiro Defensivo,0.8,7,26,73,0.466426,0.490949,0.427375,0.402715,0.441541,0.458552,12.0,25,13,16.0,1.0,9,53,3,50,38,96,65
8,0.427256,0.236947,0.43232,0.617647,0.577899,0.594417,0.730382,Cleylton,Ipatinga,Ipatinga,LCB,LCB,4,31,200000,,7,753,Brazil,Brazil,right,190,83,no,MG,Testing,2024,Zagueiro Defensivo,0.73,8,26,69,0.466426,0.490949,0.427375,0.402715,0.441541,0.458552,15.0,22,12,3.0,7.5,6,42,15,53,88,71,76
20,0.755064,0.752129,0.376245,0.514706,0.416667,0.323346,0.707846,Guilherme Souza,Patrocinense,Patrocinense,RCB,RCB,4,27,0,,7,647,Brazil,Brazil,right,188,79,no,MG,Testing,2024,Zagueiro Defensivo,0.708,9,26,65,0.466426,0.490949,0.427375,0.402715,0.441541,0.458552,2.0,6,16,6.5,15.0,21,92,76,38,75,42,19
1,0.627993,0.901422,0.25051,0.389706,0.327899,0.597556,0.694357,Jemerson,Atlético Mineiro,Atlético Mineiro,LCB,LCB,4,31,2000000,2024-12-31,10,1022,Brazil,"Brazil, Monaco",right,184,77,no,MG,Testing,2024,Zagueiro Defensivo,0.694,10,26,61,0.466426,0.490949,0.427375,0.402715,0.441541,0.458552,7.0,3,22,13.0,18.0,5,73,88,15,50,30,80
