Unnamed: 0,Duelos_Aéreos_Ganhos,Passes_Curtos_Médios_Certos,Passes_Longos_Certos,Passes_Progressivos_Certos,Defesas,Gols_Evitados,Saídas,Interceptações.1,xG_Evitado,Finalizações_por_Gol_Sofrido,Rating,Atleta,Equipe,Equipe_Janela_Análise,Posição,Posição_Wyscout,Código_Posição_Wyscout,Idade,Valor_Mercado,Fim_Contrato,Jogos,Minutos,Nacionalidade,Passaporte,Pé,Altura,Peso,Empréstimo,Liga,Base,Versão_Temporada,Role,L_Rating,L_Ranking,Size,L_Percentil,Duelos_Aéreos_Ganhos_LM,Passes_Curtos_Médios_Certos_LM,Passes_Longos_Certos_LM,Passes_Progressivos_Certos_LM,Defesas_LM,Gols_Evitados_LM,Saídas_LM,Interceptações.1_LM,xG_Evitado_LM,Finalizações_por_Gol_Sofrido_LM,Duelos_Aéreos_Ganhos_Rank,Passes_Curtos_Médios_Certos_Rank,Passes_Longos_Certos_Rank,Passes_Progressivos_Certos_Rank,Defesas_Rank,Gols_Evitados_Rank,Saídas_Rank,Interceptações.1_Rank,xG_Evitado_Rank,Finalizações_por_Gol_Sofrido_Rank,Duelos_Aéreos_Ganhos_Percentil,Passes_Curtos_Médios_Certos_Percentil,Passes_Longos_Certos_Percentil,Passes_Progressivos_Certos_Percentil,Defesas_Percentil,Gols_Evitados_Percentil,Saídas_Percentil,Interceptações.1_Percentil,xG_Evitado_Percentil,Finalizações_por_Gol_Sofrido_Percentil
0,0.0,0.664457,1.0,1.0,0.035983,0.097973,0.604651,0.762295,0.036437,0.014388,0.013975,Éverson,Atlético Mineiro,Atlético Mineiro,GK,GK,0,33,2500000,2025-12-31,11,1138,Brazil,Brazil,right,192,86,no,MG,Testing,2024,Goleiro Líbero,0.014,11,12,8,0.391855,0.445649,0.436981,0.519519,0.407177,0.401933,0.52907,0.476093,0.408836,0.283007,12,3,1,1,10.0,11,6.0,2.0,10,10,0,75,91,91,16,8,50,83,16,16
8,0.24785,0.341447,0.412727,0.678077,0.011467,0.148649,0.813953,0.622951,0.010289,0.003997,0.0,Cairo,Patrocinense,Patrocinense,GK,GK,0,39,0,,7,725,Brazil,Brazil,right,0,0,no,MG,Testing,2024,Goleiro Líbero,0.0,12,12,0,0.391855,0.445649,0.436981,0.519519,0.407177,0.401933,0.52907,0.476093,0.408836,0.283007,7,8,6,4,11.0,10,3.0,3.0,11,11,41,33,50,66,8,16,75,75,8,8
5,0.570656,0.261875,1.0,1.0,0.380243,0.67121,1.0,0.606557,0.380072,0.687918,1.0,Fabrício,Nova Iguaçu,Nova Iguaçu,GK,GK,0,38,100000,,13,1394,Brazil,Brazil,right,193,93,no,RJ,Testing,2024,Goleiro Líbero,1.0,1,12,91,0.512307,0.384311,0.398033,0.430963,0.368242,0.447757,0.450142,0.589481,0.368213,0.593804,6,8,1,1,7.0,3,1.0,7.0,6,5,50,33,91,91,41,75,91,41,50,58
4,0.532629,0.171542,0.427274,0.44186,0.381253,1.0,0.905983,0.754098,0.379236,0.68699,0.945495,Mota,Madureira,Madureira,GK,GK,0,38,100000,,11,1105,Brazil,Brazil,right,195,86,no,RJ,Testing,2024,Goleiro Líbero,0.945,2,12,83,0.512307,0.384311,0.398033,0.430963,0.368242,0.447757,0.450142,0.589481,0.368213,0.593804,7,10,6,6,6.0,1,2.0,5.0,7,6,41,16,50,50,50,91,83,58,41,50
11,1.0,0.309934,0.596727,0.559981,0.387569,0.374787,0.367521,0.827869,0.389254,0.698259,0.810509,Leandro Matheus,Sampaio Corrêa RJ,Sampaio Corrêa RJ,GK,GK,0,23,0,,11,1167,Brazil,Brazil,left,191,0,no,RJ,Testing,2024,Goleiro Líbero,0.811,3,12,75,0.512307,0.384311,0.398033,0.430963,0.368242,0.447757,0.450142,0.589481,0.368213,0.593804,1,7,3,2,4.0,7,7.5,4.0,4,3,91,41,75,83,66,41,37,66,66,75
0,0.0,0.643492,0.26091,0.377293,1.0,0.649063,0.564103,0.188525,1.0,0.0,0.736224,A. Rossi,Flamengo,Flamengo,GK,GK,0,28,7000000,,10,1032,Argentina,"Argentina, Italy",right,193,95,no,RJ,Testing,2024,Goleiro Líbero,0.736,4,12,66,0.512307,0.384311,0.398033,0.430963,0.368242,0.447757,0.450142,0.589481,0.368213,0.593804,12,3,9,9,1.0,4,4.0,11.0,1,12,0,75,25,25,91,66,66,8,91,0
1,0.250009,0.378731,0.350545,0.477777,0.570995,0.846678,0.222222,0.0,0.573541,1.0,0.69198,Léo Jardim,Vasco da Gama,Vasco da Gama,GK,GK,0,28,3000000,2025-12-31,11,1184,Brazil,"Brazil, Italy",right,188,82,no,RJ,Testing,2024,Goleiro Líbero,0.692,5,12,58,0.512307,0.384311,0.398033,0.430963,0.368242,0.447757,0.450142,0.589481,0.368213,0.593804,10,5,7,4,2.0,2,10.0,12.0,2,1,16,58,41,66,83,83,16,0,83,91
3,0.697002,0.750934,0.0,0.0,0.398434,0.37138,0.418803,0.270492,0.397835,0.70821,0.664212,Fábio,Fluminense,Fluminense,GK,GK,0,43,200000,,6,634,Brazil,"Brazil, Italy",right,190,93,no,RJ,Testing,2024,Goleiro Líbero,0.664,6,12,50,0.512307,0.384311,0.398033,0.430963,0.368242,0.447757,0.450142,0.589481,0.368213,0.593804,3,2,12,12,3.0,8,6.0,10.0,3,2,75,83,0,0,75,33,50,16,75,83
9,0.403528,0.069287,0.056441,0.137754,0.38378,0.359455,0.65812,0.852459,0.386626,0.695267,0.565905,Dida,Portuguesa RJ,Portuguesa RJ,GK,GK,0,38,0,,12,1168,Brazil,Brazil,,190,81,no,RJ,Testing,2024,Goleiro Líbero,0.566,7,12,41,0.512307,0.384311,0.398033,0.430963,0.368242,0.447757,0.450142,0.589481,0.368213,0.593804,9,11,11,11,5.0,9,3.0,3.0,5,4,25,8,8,8,58,25,75,75,58,66
6,0.827083,0.396874,0.304651,0.371655,0.193785,0.015332,0.461538,0.991803,0.193888,0.529032,0.558755,André Luiz,Boavista,Boavista,GK,GK,0,24,100000,,15,1588,Brazil,Brazil,right,189,79,no,RJ,Testing,2024,Goleiro Líbero,0.559,8,12,33,0.512307,0.384311,0.398033,0.430963,0.368242,0.447757,0.450142,0.589481,0.368213,0.593804,2,4,8,10,10.0,11,5.0,2.0,10,9,83,66,33,16,16,8,58,83,16,25
