Unnamed: 0,Atleta,Equipe,Equipe_Janela_Análise,Posição,Posição_Wyscout,Código_Posição_Wyscout,Idade,Valor_Mercado,Fim_Contrato,Jogos,Minutos,Nacionalidade,Passaporte,Pé,Altura,Peso,Empréstimo,Ações_Defensivas_BemSucedidas,Duelos_Defensivos_Ganhos,Duelos_Aéreos_Ganhos,Finalizações_Bloqueadas,Interceptações_Ajustadas_a_Posse,Passes_Laterais_Certos,Liga,Base,Versão_Temporada,RF_Rating,ET_Rating,Rating
7,Denílson,Caxias,Caxias,"RCB, LCB",RCB,4,28,200000,,6,542,Brazil,Brazil,right,187,77,no,4.58,2.587698,2.388,0.2,3.9,10.75299,RS,Testing,2024,0.0,0.0,0.0
8,Marcão,Novo Hamburgo,Novo Hamburgo,"RCB, CB",RCB,4,28,150000,,10,974,Brazil,Brazil,right,193,82,no,6.11,1.528785,2.34,0.92,6.26,12.72297,RS,Testing,2024,0.2825946680405599,0.2580028187673415,0.2702987434039507
9,Alisson,Caxias,Caxias,RCB,RCB,4,30,150000,,8,660,Brazil,Brazil,right,186,91,no,9.79,4.735809000000001,4.578015,0.79,8.35,19.42416,RS,Testing,2024,1.0,1.0,1.0
10,Samuel,EC São José,EC São José,"RCB, RB, RWB",RCB,4,24,100000,2026-06-30,8,517,Brazil,Brazil,right,177,0,no,11.66,6.44088,1.217257,0.17,6.0,8.180031999999999,RS,Testing,2024,0.6855645603167287,0.6579031061459595,0.6717338332313441
11,Fredson,EC São José,EC São José,"CB, RCB",CB,4,32,100000,,11,998,Brazil,Brazil,right,185,83,no,7.21,2.43588,3.246264,0.72,7.35,14.158626,RS,Testing,2024,0.477512381924349,0.5278180121689805,0.5026651970466647
12,Zé Pedro,Brasil de Pelotas,Brasil de Pelotas,RCB,RCB,4,24,50000,,11,1067,Brazil,Brazil,right,194,85,no,7.59,3.798246,1.0125,0.93,4.16,14.506008,RS,Testing,2024,0.3085814186059264,0.2693957337599162,0.2889885761829213
13,Islan,Novo Hamburgo,Novo Hamburgo,LCB,LCB,4,27,0,,6,518,Brazil,Brazil,,0,0,no,7.75,1.662316,4.607235,0.18,8.53,14.939715,RS,Testing,2024,0.5865606277398666,0.668346760949811,0.6274536943448388
14,Jefferson,Santa Cruz RS,Santa Cruz RS,RCB,RCB,4,22,0,,8,718,Brazil,Brazil,,0,0,no,8.02,3.635015999999999,2.882388,0.88,5.44,12.789632,RS,Testing,2024,0.4249147518143089,0.4391155597111563,0.4320151557627325
15,Vitor Dadalt,Avenida,Avenida,LCB,LCB,4,27,0,,10,932,Brazil,Brazil,right,192,0,no,7.15,2.317666,3.38124,0.77,7.04,19.316851,RS,Testing,2024,0.6386825831285041,0.6421580142678395,0.6404202986981717
16,Bruno Jesus,São Luiz,São Luiz,"LCB, RCB",LCB,4,26,0,,9,853,Brazil,"Brazil, Poland",right,191,76,no,8.02,3.48,2.74455,0.21,5.84,14.98739,RS,Testing,2024,0.512076860292263,0.5225155003217254,0.5172961803069942
