Unnamed: 0,Atleta,Equipe,Equipe_Janela_Análise,Posição,Posição_Wyscout,Código_Posição_Wyscout,Idade,Valor_Mercado,Fim_Contrato,Jogos,Minutos,Nacionalidade,Passaporte,Pé,Altura,Peso,Empréstimo,Ações_Defensivas_BemSucedidas,Duelos_Defensivos_Ganhos,Duelos_Aéreos_Ganhos,Passes_Longos_Certos,Passes_Frontais_Certos,Passes_Progressivos_Certos,Duelos_Ofensivos_Ganhos,Dribles_BemSucedidos,Corridas_Progressivas,Passes_TerçoFinal_Certos,Liga,Base,Versão_Temporada,RF_Rating,ET_Rating,Rating
0,Zé Ivaldo,Cruzeiro,Cruzeiro,"RCB, LCB",RCB,4,27,3000000,,8,613,Brazil,Brazil,right,185,78,no,4.99,2.495181000000001,1.76293,5.875072,17.473093,10.573836,2.057406,0.733392,2.5,8.51324,MG,Testing,2024,0.8623220954981062,0.8932889622887386,0.8778055288934223
1,Jemerson,Atlético Mineiro,Atlético Mineiro,LCB,LCB,4,31,2000000,2024-12-31,10,1022,Brazil,"Brazil, Monaco",right,184,77,no,7.66,3.963452,1.674516,2.642892,14.445252,3.5256,0.6138899999999999,0.0,0.62,1.67401,MG,Testing,2024,0.5742925513816783,0.5970586325376013,0.5856755919596397
2,Bruno Fuchs,Atlético Mineiro,Atlético Mineiro,"RCB, CB",RCB,4,25,1800000,2024-12-31,7,692,Brazil,Brazil,right,190,85,no,8.19,3.51,2.209909,3.770208,14.958104,7.67039,0.5199739999999999,0.26,1.69,5.85013,MG,Testing,2024,1.0,1.0,1.0
3,Éder,América Mineiro,América Mineiro,"LCB, RCB",LCB,4,28,1500000,2024-12-31,7,641,Brazil,Brazil,right,184,82,no,5.76,1.407171,2.665476,4.493328,19.66055,8.144616,0.4200000000000001,0.14,1.4,4.915414,MG,Testing,2024,0.8489243819926181,0.8473086053187091,0.8481164936556636
4,Neris,Cruzeiro,Cruzeiro,"LCB, CB",LCB,4,31,700000,2024-12-31,8,720,Brazil,Brazil,right,190,88,no,7.5,3.500025,1.75253,2.503193,13.25025,4.371516000000001,1.62495,0.75,0.5,3.878442,MG,Testing,2024,0.6553214325218666,0.7216615732387544,0.6884915028803105
5,João Marcelo,Cruzeiro,Cruzeiro,"LCB, RCB",LCB,4,23,550000,2027-06-30,9,889,Brazil,Brazil,right,190,84,no,6.28,3.034010000000001,2.331,1.621998,11.645774,4.758831,0.811388,0.306,1.82,3.84648,MG,Testing,2024,0.772370047153227,0.6992899942964961,0.7358300207248614
6,Ricardo Silva,América Mineiro,América Mineiro,RCB,RCB,4,31,300000,,7,717,Brazil,Brazil,right,190,84,no,6.78,2.636516,4.1415,2.26125,14.562025,5.64558,0.375,0.0,0.0,2.005614,MG,Testing,2024,0.8793256963697983,0.8243953256355683,0.8518605110026831
7,Ednei,Tombense,Tombense,"RCB, LCB",RCB,4,33,250000,,8,841,Brazil,Brazil,right,189,81,no,5.78,1.928475,2.890814999999999,5.136886000000001,14.122752,7.067022,0.213312,0.106656,0.96,3.640302,MG,Testing,2024,0.847985654808349,0.8046895603465716,0.8263376075774602
8,Cleylton,Ipatinga,Ipatinga,LCB,LCB,4,31,200000,,7,753,Brazil,Brazil,right,190,83,no,6.57,1.79375,2.272951,1.910678,9.680079,2.268652,0.12,0.0,0.24,1.195262,MG,Testing,2024,0.2913116440699564,0.2705525632481762,0.2809321036590663
9,Danilo Cardoso,Athletic Club,Athletic Club,RCB,RCB,4,26,150000,,8,864,Brazil,Brazil,right,183,77,no,6.88,2.08561,3.018678,2.397059,10.835799,4.997772,0.52,0.0,0.21,2.709432,MG,Testing,2024,0.7704397868474979,0.7399202743930908,0.7551800306202943
10,Zé Vitor,Tombense,Tombense,LCB,LCB,4,23,100000,,6,544,Brazil,Brazil,left,189,86,no,6.95,2.8152,1.8216,2.976627,13.06968,5.789,0.8271900000000001,0.33,1.32,3.637791,MG,Testing,2024,0.7715121910210594,0.7867381740986823,0.7791251825598707
