Unnamed: 0,Atleta,Equipe,Equipe_Janela_Análise,Posição,Posição_Wyscout,Código_Posição_Wyscout,Idade,Valor_Mercado,Fim_Contrato,Jogos,Minutos,Nacionalidade,Passaporte,Pé,Altura,Peso,Empréstimo,Ações_Defensivas_BemSucedidas,Passes_Longos_Certos,Passes_Progressivos_Certos,Pisadas_Área,Dribles_BemSucedidos,Corridas_Progressivas,xG,xA,Assistência_Finalização,Passes_TerçoFinal_Certos,Deep_Completions,Passes_Chave,Passes_ÁreaPênalti_Certos,Liga,Base,Versão_Temporada,RF_Rating,ET_Rating,Rating
5,Karl,Ypiranga Erechim,Ypiranga Erechim,"RCMF, AMF, RDMF",RCMF,8,30,0,,9,525,Brazil,Brazil,both,182,75,no,6.34,1.0275,3.259028,1.54,0.169983,0.51,0.03,0.0,0.34,3.598777,0.34,0.0,0.85625,RS,Testing,2024,0.1680938763071047,0.2144039617694262,0.192227000045305
6,Amaral,Santa Cruz RS,Santa Cruz RS,"LCMF, LDMF, RDMF",LCMF,8,34,0,,10,961,Brazil,Brazil,right,177,73,no,8.05,1.5,3.0888,0.0,0.653296,0.28,0.01,0.0,0.19,2.343042,0.09,0.0,0.28,RS,Testing,2024,0.1475693846136219,0.1168573503554348,0.1328895301748256
7,Filipe Fraga,Novo Hamburgo,Novo Hamburgo,"RCMF, RDMF, LCMF",RCMF,8,24,0,,11,730,Brazil,Brazil,,0,0,no,8.68,1.712928,3.946864,0.13,0.920835,0.53,0.03,0.03,0.26,2.76119,0.66,0.13,1.050601,RS,Testing,2024,0.4249385696638213,0.4300754470329013,0.4296933552691414
8,Robson,Novo Hamburgo,Novo Hamburgo,"LCMF, LDMF, RCMF",LCMF,8,32,0,,10,836,Brazil,Brazil,right,180,71,no,11.22,1.205652,2.053089,0.36,0.600012,0.48,0.01,0.0,0.12,2.41395,0.0,0.0,0.0,RS,Testing,2024,0.1660778185126836,0.1597722932824255,0.1637582836279156
9,Rafael Carrilho,EC São José,EC São José,"RCMF, DMF",RCMF,8,29,0,,12,1114,Brazil,Brazil,right,176,71,no,8.08,3.875348,6.6234,0.81,0.8891019999999998,0.73,0.06,0.09,0.89,5.896384,0.81,0.16,0.8105020000000001,RS,Testing,2024,0.9867793911120315,1.0,0.9984700672449021
10,Anderson Recife,Brasil de Pelotas,Brasil de Pelotas,"LCMF, LDMF",LCMF,8,27,0,,11,1067,Brazil,Brazil,,0,0,no,9.53,1.433751,2.359,0.34,1.264311,0.59,0.02,0.0,0.25,2.10889,0.34,0.0,0.337744,RS,Testing,2024,0.2011338765164495,0.2030472593561098,0.2031240950651873
11,David Cunha,Guarany de Bagé,Guarany de Bagé,"RCMF, LCMF",RCMF,8,28,0,,11,1023,Brazil,Brazil,,181,76,no,6.51,2.905,5.89256,0.0,0.528,0.97,0.01,0.01,0.09,4.664,0.44,0.18,0.529135,RS,Testing,2024,0.7436102967945708,0.8368579726974259,0.7942755327428923
12,Allan Christian,Guarany de Bagé,Guarany de Bagé,"LCMF, RCMF",LCMF,8,30,0,,11,664,Brazil,Brazil,right,183,86,no,9.49,1.62559,2.167354,0.68,0.678125,0.68,0.01,0.0,0.14,2.439351,0.27,0.0,0.27,RS,Testing,2024,0.1458041438473981,0.1784065528741579,0.162934383960919
13,Guilherme Dal Pian,São Luiz,São Luiz,"LCMF, LW",LCMF,8,25,0,,11,747,Brazil,Brazil,,0,0,no,6.27,0.9652729999999999,3.855214,0.84,1.807179,2.17,0.06,0.18,1.2,3.13625,0.12,0.0,0.7245550000000001,RS,Testing,2024,0.3230382360514762,0.4426108694395116,0.3847823856365329
14,Elyeser,Caxias,Caxias,"LCMF, LDMF, RCMF",LCMF,8,33,0,,14,1166,Brazil,Brazil,right,182,79,no,7.36,1.839411,2.846808999999999,0.75,0.754607,0.33,0.08,0.0,0.17,3.928524,0.17,0.08,0.08431099999999998,RS,Testing,2024,0.1244537628474853,0.1719388685796917,0.1489542180454898
15,Gabriel Davis,América RN,São Luiz,"RCMF, LCMF",RCMF,8,34,0,,12,901,Brazil,Brazil,right,180,77,no,6.49,2.993598,4.69234,0.2,1.1,1.2,0.13,0.13,1.0,4.492702,0.4,0.3,0.7,RS,Testing,2024,0.753850990110275,0.7331586264349389,0.7473072241778623
16,Emerson Martins,Caxias,Caxias,"RCMF, RDMF, RW",RCMF,8,33,0,,13,870,Brazil,Brazil,,0,0,no,4.76,0.66375,1.661472,1.77,0.11,0.22,0.23,0.05,0.55,2.2125,0.22,0.22,0.440022,RS,Testing,2024,0.0,0.0,0.0
0,A. Moreno,Palmeiras,Palmeiras,"RCMF, LCMF, DMF",RCMF,8,24,8000000,2025-12-31,15,1223,Argentina,Argentina,right,177,73,no,9.86,1.912201,5.150232000000001,1.1,0.366696,0.59,0.05,0.03,0.74,6.0352,1.03,0.15,0.8085,SP,Testing,2024,0.9339477006528671,0.9479877108416114,0.9430202846191582
1,Maycon,Corinthians,Corinthians,"LCMF, LDMF",LCMF,8,26,6000000,2025-12-31,10,924,Brazil,Brazil,left,178,72,yes,5.36,1.849628,5.258088,1.46,0.4875,0.78,0.41,0.05,0.97,5.55225,0.58,0.29,0.9726300000000001,SP,Testing,2024,0.7165434499718393,0.7898765995757325,0.7548530386344374
2,Zé Rafael,Palmeiras,Palmeiras,"LCMF, AMF",LCMF,8,30,5000000,2026-12-31,12,952,Brazil,"Brazil, Italy",right,175,71,no,7.18,1.9875,2.743884,1.32,0.66,1.51,0.09,0.11,0.66,2.645999999999999,0.57,0.66,0.475,SP,Testing,2024,0.3136782210486316,0.3171946506168304,0.3161245127557424
3,R. Garro,Corinthians,Corinthians,"RCMF, AMF",RCMF,8,26,4500000,2025-12-31,6,573,Argentina,"Argentina, Italy",left,174,70,no,4.71,2.66793,6.123924000000001,1.26,1.41375,0.94,0.08,0.14,2.36,5.341248,1.73,0.16,1.56884,SP,Testing,2024,0.8181269950779748,0.8637237518389743,0.8427597250986839
4,Lucas Evangelista,Red Bull Bragantino,Red Bull Bragantino,LCMF,LCMF,8,28,3500000,2026-06-30,9,713,Brazil,Brazil,right,181,79,no,6.94,0.7559999999999999,2.775536,0.88,0.252,0.76,0.03,0.05,0.88,3.408952,0.63,0.0,0.882063,SP,Testing,2024,0.2310853970044975,0.2497802138216073,0.2409572732491883
5,Jadsom Silva,Red Bull Bragantino,Red Bull Bragantino,"RCMF, DMF",RCMF,8,22,3000000,2025-12-31,11,831,Brazil,Brazil,right,173,67,no,7.58,2.49171,5.088684,0.32,0.542792,0.43,0.02,0.02,0.54,5.630625,0.32,0.11,0.325736,SP,Testing,2024,0.6710699448933561,0.6559676420427076,0.6649661594597394
6,R. Ríos,Palmeiras,Palmeiras,"RCMF, RDMF",RCMF,8,23,1000000,2026-12-31,13,795,Colombia,Colombia,right,185,78,no,10.64,1.3584,3.167319,1.58,2.489256,1.81,0.08,0.01,0.34,4.304024999999999,0.34,0.11,0.905,SP,Testing,2024,0.4789018060728311,0.554180019533116,0.5176676687560476
7,Matheus Barbosa,Botafogo SP,Botafogo SP,"RCMF, DMF",RCMF,8,29,700000,,11,905,Brazil,Brazil,both,184,75,no,7.36,2.289372,3.979569,0.7,0.594595,0.1,0.05,0.01,0.3,4.772501999999999,0.2,0.1,0.298,SP,Testing,2024,0.3598122339910164,0.4237759033760562,0.3926487082451399
8,Anderson Leite,Guarani,Guarani,"RCMF, RDMF, RW",RCMF,8,30,500000,,11,748,Brazil,Brazil,right,183,79,no,10.35,2.288297,3.486989,0.84,0.600048,0.36,0.06,0.0,0.0,3.847865,0.24,0.0,0.120036,SP,Testing,2024,0.5496432676851568,0.5255947407590418,0.5387917388467505
9,Gustavo Bochecha,Inter de Limeira,Inter de Limeira,LCMF,LCMF,8,27,500000,,12,1126,Brazil,Brazil,left,173,73,no,5.99,1.115902,2.8275,1.63,0.51432,0.0,0.1,0.05,0.77,2.998216000000001,0.34,0.09,0.42723,SP,Testing,2024,0.1307931494155347,0.1195824698925902,0.1254608879452177
10,L. Maciel,Botafogo SP,Botafogo SP,"LCMF, RCMF",LCMF,8,28,500000,,10,833,Argentina,Argentina,right,180,72,no,6.81,1.621065,2.812803,0.65,0.975,0.43,0.13,0.13,1.3,3.456,0.43,0.22,0.539221,SP,Testing,2024,0.2728524829279621,0.2932403386532473,0.2836638337680489
11,Léo Naldi,Ponte Preta,Ponte Preta,RCMF,RCMF,8,22,400000,2025-07-10,11,624,Brazil,Brazil,right,176,70,no,9.52,1.296847,2.452684,0.0,0.724971,0.43,0.03,0.02,0.14,1.73342,0.29,0.0,0.435,SP,Testing,2024,0.2771168597558238,0.2435984809928261,0.2609256012927703
12,Gabriel,Mirassol,Mirassol,"LCMF, DMF, LDMF",LCMF,8,34,350000,,12,969,Brazil,Brazil,right,178,67,no,6.97,2.320164,6.683403999999999,0.93,0.3725,0.28,0.08,0.16,0.65,6.225268000000001,0.56,0.19,0.7428199999999999,SP,Testing,2024,0.9283501293108571,0.9245983751341377,0.9284952158154813
