Unnamed: 0,Atleta,Equipe,Equipe_Janela_Análise,Posição,Posição_Wyscout,Código_Posição_Wyscout,Idade,Valor_Mercado,Fim_Contrato,Jogos,Minutos,Nacionalidade,Passaporte,Pé,Altura,Peso,Empréstimo,Ações_Defensivas_BemSucedidas,Passes_Longos_Certos,Passes_Progressivos_Certos,Pisadas_Área,Dribles_BemSucedidos,Corridas_Progressivas,xG,xA,Assistência_Finalização,Passes_TerçoFinal_Certos,Deep_Completions,Passes_Chave,Passes_ÁreaPênalti_Certos,Liga,Base,Versão_Temporada,RF_Rating,ET_Rating,Rating
30,José Aldo,Ituano,Ituano,"RCMF, LCMF, LDMF",RCMF,8,25,50000,,8,590,Brazil,Brazil,right,175,70,no,11.55,3.054638,6.9618,0.0,1.870119,0.17,0.01,0.01,0.34,7.30279,0.51,0.0,0.509949,SP,Testing,2024,1.0,0.9956467980479383,1.0
31,Felipinho,Ponte Preta,Ponte Preta,"LCMF, RCMF, LDMF",LCMF,8,22,0,,6,535,Brazil,Brazil,left,183,77,no,10.77,1.176875,2.187324,0.67,0.675,0.34,0.07,0.0,0.17,2.8628,0.5,0.0,0.336,SP,Testing,2024,0.3055800804486934,0.3190289326451067,0.3129857516394022
32,Kady,Água Santa,Água Santa,"RCMF, LCMF",RCMF,8,28,0,,10,560,Brazil,Brazil,right,182,0,no,6.59,2.412,2.08971,0.48,0.16,0.48,0.07,0.01,0.32,2.5713,0.16,0.0,0.16,SP,Testing,2024,0.0,0.0,0.0
33,Marciel,Santo André,Santo André,"LCMF, LDMF, DMF",LCMF,8,29,0,,9,594,Brazil,Brazil,left,186,78,no,6.36,0.9079999999999999,2.118276,0.91,0.604384,0.91,0.08,0.01,0.15,3.6375,0.45,0.15,0.4543160000000001,SP,Testing,2024,0.0791983921890679,0.1129166309936743,0.09626704653882712
34,Rodrigo Souza,São Bernardo FC,São Bernardo FC,"RCMF, LCMF",RCMF,8,36,0,2024-11-30,10,736,Brazil,Brazil,right,186,91,no,10.87,3.20275,4.596726,0.56,1.112,0.28,0.05,0.14,0.7,4.179434000000001,0.7,0.42,0.974111,SP,Testing,2024,0.7247103696951775,0.7692998953064658,0.7486346113265254
35,Romisson,São Bernardo FC,São Bernardo FC,"LCMF, RCMF, LWB",LCMF,8,27,0,2024-10-30,11,555,Brazil,Brazil,right,178,64,no,4.42,1.050084,3.7872,1.05,0.8399160000000001,1.05,0.1,0.04,0.84,5.048952,1.26,0.21,1.26,SP,Testing,2024,0.4027301302380981,0.4443345891243897,0.4244562315290724
36,Gustavinho,Red Bull Bragantino,Red Bull Bragantino,"RCMF, LDMF",RCMF,8,19,0,,10,613,Brazil,Brazil,right,175,68,no,5.87,2.200176,4.407516,0.59,0.586608,1.03,0.05,0.04,0.73,4.842449999999999,0.73,0.29,1.03,SP,Testing,2024,0.5677513324840122,0.5803200146640011,0.5752878456603697
37,Lucas Buchecha,Inter de Limeira,Inter de Limeira,RCMF,RCMF,8,23,0,,12,979,Brazil,Brazil,,0,0,no,7.05,0.705,1.412184,0.91,0.707798,1.11,0.04,0.02,0.4,1.508904,0.7,0.4,0.505,SP,Testing,2024,0.1055481449299285,0.009213312365075168,0.05750589603694335
38,Eduardo,Portuguesa,Portuguesa,"LCMF, LDMF",LCMF,8,23,0,2024-12-31,9,573,Brazil,Brazil,right,183,81,yes,6.6,3.452715,6.593999999999999,0.16,0.79,0.47,0.05,0.04,0.47,7.22394,0.79,0.16,0.9412499999999998,SP,Testing,2024,0.9651457481844441,1.0,0.9847162083524353
39,Tauã Belo,Portuguesa,Portuguesa,"LCMF, RCMF",LCMF,8,29,0,2024-04-15,6,550,Brazil,Brazil,right,176,75,no,9.98,1.4715,2.78445,0.33,0.325,0.33,0.03,0.03,0.33,2.6176,0.16,0.16,0.325,SP,Testing,2024,0.3439036793521169,0.3360147854560124,0.3407008021024554
