Unnamed: 0,Atleta,Equipe,Equipe_Janela_Análise,Posição,Posição_Wyscout,Código_Posição_Wyscout,Idade,Valor_Mercado,Fim_Contrato,Jogos,Minutos,Nacionalidade,Passaporte,Pé,Altura,Peso,Empréstimo,Ações_Defensivas_BemSucedidas,Duelos_Defensivos_Ganhos,Duelos_Aéreos_Ganhos,Finalizações_Bloqueadas,Interceptações_Ajustadas_a_Posse,Passes_Longos_Certos,Passes_Frontais_Certos,Passes_Progressivos_Certos,Passes_Laterais_Certos,Duelos_Ofensivos_Ganhos,Dribles_BemSucedidos,Corridas_Progressivas,Passes_TerçoFinal_Certos,Liga,Base,Versão_Temporada,RF_Rating,ET_Rating,Rating
0,Zé Ivaldo,Cruzeiro,Cruzeiro,"RCB, LCB",RCB,4,27,3000000,,8,613,Brazil,Brazil,right,185,78,no,4.99,2.495181000000001,1.76293,0.44,4.52,5.875072,17.473093,10.573836,19.383904,2.057406,0.733392,2.5,8.51324,MG,Testing,2024,0.6926372469074692,0.731638821434721,0.7121380341710951
1,Jemerson,Atlético Mineiro,Atlético Mineiro,LCB,LCB,4,31,2000000,2024-12-31,10,1022,Brazil,"Brazil, Monaco",right,184,77,no,7.66,3.963452,1.674516,0.53,5.29,2.642892,14.445252,3.5256,20.874334,0.6138899999999999,0.0,0.62,1.67401,MG,Testing,2024,0.6448236711508104,0.6294524374368694,0.6371380542938399
2,Bruno Fuchs,Atlético Mineiro,Atlético Mineiro,"RCB, CB",RCB,4,25,1800000,2024-12-31,7,692,Brazil,Brazil,right,190,85,no,8.19,3.51,2.209909,0.65,7.29,3.770208,14.958104,7.67039,23.929215,0.5199739999999999,0.26,1.69,5.85013,MG,Testing,2024,1.0,1.0,1.0
3,Éder,América Mineiro,América Mineiro,"LCB, RCB",LCB,4,28,1500000,2024-12-31,7,641,Brazil,Brazil,right,184,82,no,5.76,1.407171,2.665476,0.56,6.47,4.493328,19.66055,8.144616,19.377692,0.4200000000000001,0.14,1.4,4.915414,MG,Testing,2024,0.6958096598613283,0.7299639111132008,0.7128867854872645
4,Neris,Cruzeiro,Cruzeiro,"LCB, CB",LCB,4,31,700000,2024-12-31,8,720,Brazil,Brazil,right,190,88,no,7.5,3.500025,1.75253,0.25,7.44,2.503193,13.25025,4.371516000000001,20.129326,1.62495,0.75,0.5,3.878442,MG,Testing,2024,0.7668262117555843,0.8341745496300497,0.800500380692817
5,João Marcelo,Cruzeiro,Cruzeiro,"LCB, RCB",LCB,4,23,550000,2027-06-30,9,889,Brazil,Brazil,right,190,84,no,6.28,3.034010000000001,2.331,0.4,5.09,1.621998,11.645774,4.758831,20.453472,0.811388,0.306,1.82,3.84648,MG,Testing,2024,0.5772913923402386,0.6038781755723898,0.5905847839563142
6,Ricardo Silva,América Mineiro,América Mineiro,RCB,RCB,4,31,300000,,7,717,Brazil,Brazil,right,190,84,no,6.78,2.636516,4.1415,0.38,6.67,2.26125,14.562025,5.64558,31.503816,0.375,0.0,0.0,2.005614,MG,Testing,2024,0.6876232251316582,0.6977557461375135,0.6926894856345858
7,Ednei,Tombense,Tombense,"RCB, LCB",RCB,4,33,250000,,8,841,Brazil,Brazil,right,189,81,no,5.78,1.928475,2.890814999999999,0.43,5.27,5.136886000000001,14.122752,7.067022,22.04685,0.213312,0.106656,0.96,3.640302,MG,Testing,2024,0.6105514557258873,0.5930304075007968,0.6017909316133421
8,Cleylton,Ipatinga,Ipatinga,LCB,LCB,4,31,200000,,7,753,Brazil,Brazil,right,190,83,no,6.57,1.79375,2.272951,0.84,6.67,1.910678,9.680079,2.268652,20.791425,0.12,0.0,0.24,1.195262,MG,Testing,2024,0.3710324895921452,0.3319817220269786,0.3515071058095619
9,Danilo Cardoso,Athletic Club,Athletic Club,RCB,RCB,4,26,150000,,8,864,Brazil,Brazil,right,183,77,no,6.88,2.08561,3.018678,0.63,7.21,2.397059,10.835799,4.997772,11.8792,0.52,0.0,0.21,2.709432,MG,Testing,2024,0.6325350998165655,0.617032657185151,0.6247838785008583
