Unnamed: 0,Passes_Longos_Certos,Passes_Frontais_Certos,Passes_Progressivos_Certos,Duelos_Ofensivos_Ganhos,Dribles_BemSucedidos,xG,Finalizações_NoAlvo,Conversão_Gols,xA,Assistência_Finalização,Passes_Inteligentes_Certos,Passes_EntreLinhas_Certos,Passes_Chave,Rating,Atleta,Equipe,Equipe_Janela_Análise,Posição,Posição_Wyscout,Código_Posição_Wyscout,Idade,Valor_Mercado,Fim_Contrato,Jogos,Minutos,Nacionalidade,Passaporte,Pé,Altura,Peso,Empréstimo,Liga,Base,Versão_Temporada,Role,L_Rating,L_Ranking,Size,L_Percentil,Passes_Longos_Certos_LM,Passes_Frontais_Certos_LM,Passes_Progressivos_Certos_LM,Duelos_Ofensivos_Ganhos_LM,Dribles_BemSucedidos_LM,xG_LM,Finalizações_NoAlvo_LM,Conversão_Gols_LM,xA_LM,Assistência_Finalização_LM,Passes_Inteligentes_Certos_LM,Passes_EntreLinhas_Certos_LM,Passes_Chave_LM,Passes_Longos_Certos_Rank,Passes_Frontais_Certos_Rank,Passes_Progressivos_Certos_Rank,Duelos_Ofensivos_Ganhos_Rank,Dribles_BemSucedidos_Rank,xG_Rank,Finalizações_NoAlvo_Rank,Conversão_Gols_Rank,xA_Rank,Assistência_Finalização_Rank,Passes_Inteligentes_Certos_Rank,Passes_EntreLinhas_Certos_Rank,Passes_Chave_Rank,Passes_Longos_Certos_Percentil,Passes_Frontais_Certos_Percentil,Passes_Progressivos_Certos_Percentil,Duelos_Ofensivos_Ganhos_Percentil,Dribles_BemSucedidos_Percentil,xG_Percentil,Finalizações_NoAlvo_Percentil,Conversão_Gols_Percentil,xA_Percentil,Assistência_Finalização_Percentil,Passes_Inteligentes_Certos_Percentil,Passes_EntreLinhas_Certos_Percentil,Passes_Chave_Percentil
20,0.34096,0.238489,0.531964,0.809207,0.832809,0.9,0.685582,0.357133,1.0,1.0,1.0,0.802632,1.0,1.0,Pedro Oliveira,Democrata GV,Democrata GV,"LAMF, LW",LAMF,10,25,0,,11,969,Brazil,Brazil,right,176,68,no,MG,Testing,2024,Extremo Organizador,1.0,1,21,95,0.306406,0.350858,0.415345,0.63254,0.526879,0.387302,0.495099,0.334773,0.417819,0.395863,0.183584,0.245945,0.45805,7,17,6,7,3,2.0,7.0,8.0,1.0,1.0,1.0,2.0,1.0,66,19,71,66,85,90,66,61,95,95,95,90,95
0,0.773229,1.0,1.0,0.500489,0.33104,0.0,0.098808,0.0,0.483871,0.621212,0.747351,1.0,0.690476,0.893666,Gustavo Scarpa,Atlético Mineiro,Atlético Mineiro,"LW, RCMF",LW,10,30,12000000,2026-06-30,10,776,Brazil,"Brazil, Italy",left,176,74,no,MG,Testing,2024,Extremo Organizador,0.894,2,21,90,0.306406,0.350858,0.415345,0.63254,0.526879,0.387302,0.495099,0.334773,0.417819,0.395863,0.183584,0.245945,0.45805,2,1,1,14,18,21.0,20.0,19.0,8.0,3.5,2.0,1.0,6.0,90,95,95,33,14,0,4,9,61,83,90,95,71
2,0.214108,0.407949,0.638291,0.922372,0.916919,0.2,0.75574,0.392167,0.612903,0.530303,0.21858,0.146718,0.607143,0.861764,Arthur Gomes,Cruzeiro,Cruzeiro,"LW, LAMF, LWF",LW,10,25,4000000,2027-06-30,11,889,Brazil,Brazil,right,174,69,no,MG,Testing,2024,Extremo Organizador,0.862,3,21,85,0.306406,0.350858,0.415345,0.63254,0.526879,0.387302,0.495099,0.334773,0.417819,0.395863,0.183584,0.245945,0.45805,10,6,5,2,2,17.5,3.0,7.0,6.5,7.0,9.0,13.0,8.0,52,71,76,90,90,16,85,66,69,66,57,38,61
3,0.547109,0.243396,0.685045,0.861016,0.683741,0.333333,0.372938,0.208333,0.935484,0.621212,0.0,0.398625,0.833333,0.846847,Vitor Jacaré,América Mineiro,América Mineiro,"LW, LAMF, RW",LW,10,24,1400000,,9,647,Brazil,Brazil,right,178,72,no,MG,Testing,2024,Extremo Organizador,0.847,4,21,80,0.306406,0.350858,0.415345,0.63254,0.526879,0.387302,0.495099,0.334773,0.417819,0.395863,0.183584,0.245945,0.45805,5,16,4,6,6,12.5,15.0,16.0,2.5,3.5,15.5,5.0,2.0,76,23,80,71,71,40,28,23,88,83,26,76,90
1,1.0,0.793666,0.799165,0.626825,0.510214,0.2,0.0,0.0,0.225806,0.267677,0.249985,0.496251,0.27381,0.796203,Igor Gomes,Atlético Mineiro,Atlético Mineiro,"LW, AMF, LCMF",LW,10,25,5500000,2026-12-31,11,782,Brazil,Brazil,right,183,73,no,MG,Testing,2024,Extremo Organizador,0.796,5,21,76,0.306406,0.350858,0.415345,0.63254,0.526879,0.387302,0.495099,0.334773,0.417819,0.395863,0.183584,0.245945,0.45805,1,2,2,13,12,17.5,21.0,19.0,14.0,16.0,7.0,4.0,15.0,95,90,90,38,42,16,0,9,33,23,66,80,28
19,0.100102,0.261645,0.478816,1.0,1.0,0.566667,0.171895,0.0,0.677419,0.560606,0.235724,0.302066,0.761905,0.78884,Richard Cossoniche,Democrata GV,Democrata GV,"RAMF, RW, LAMF",RAMF,10,22,0,,10,848,Brazil,Brazil,right,169,62,no,MG,Testing,2024,Extremo Organizador,0.789,6,21,71,0.306406,0.350858,0.415345,0.63254,0.526879,0.387302,0.495099,0.334773,0.417819,0.395863,0.183584,0.245945,0.45805,18,14,9,1,1,4.0,19.0,19.0,5.0,5.0,8.0,7.0,4.0,14,33,57,95,95,80,9,9,76,76,61,66,80
14,0.559454,0.363781,0.315541,0.910819,0.65283,0.366667,0.408737,0.2564,0.354839,0.343434,0.514306,0.690436,0.714286,0.677075,Rafinha,Tombense,Tombense,"LW, LAMF, LWF",LW,10,24,0,,8,749,Brazil,Brazil,,0,0,no,MG,Testing,2024,Extremo Organizador,0.677,7,21,66,0.306406,0.350858,0.415345,0.63254,0.526879,0.387302,0.495099,0.334773,0.417819,0.395863,0.183584,0.245945,0.45805,4,7,13,3,7,9.0,12.0,12.0,12.0,12.0,3.0,3.0,5.0,80,66,38,85,66,57,42,42,42,42,85,85,76
16,0.11613,0.266391,0.368396,0.88163,0.82999,0.166667,0.561083,0.2564,0.451613,0.313131,0.0,0.0,0.369048,0.620216,Marcílio,Patrocinense,Patrocinense,"LW, RW, RAMF",LW,10,24,0,,9,577,Brazil,Brazil,left,170,70,no,MG,Testing,2024,Extremo Organizador,0.62,8,21,61,0.306406,0.350858,0.415345,0.63254,0.526879,0.387302,0.495099,0.334773,0.417819,0.395863,0.183584,0.245945,0.45805,16,13,11,5,5,19.0,10.0,12.0,9.0,14.0,15.5,17.5,13.0,23,38,47,76,76,9,52,42,57,33,26,16,38
8,0.618152,0.514021,0.493852,0.733818,0.432395,0.6,0.95004,0.0,0.193548,0.469697,0.0,0.0,0.559524,0.619616,Thiaguinho,Pouso Alegre,Pouso Alegre,"LW, LWF, LAMF",LW,10,25,0,,9,580,Brazil,Brazil,right,173,66,no,MG,Testing,2024,Extremo Organizador,0.62,9,21,57,0.306406,0.350858,0.415345,0.63254,0.526879,0.387302,0.495099,0.334773,0.417819,0.395863,0.183584,0.245945,0.45805,3,4,8,10,14,3.0,2.0,19.0,16.0,8.0,15.5,17.5,9.0,85,80,61,52,33,85,90,9,23,61,26,16,57
18,0.158135,0.0,0.147906,0.882318,0.832136,0.466667,0.384619,0.4762,0.225806,0.323232,0.0,0.0,0.404762,0.527058,Erick Salles,Itabirito,Itabirito,"LW, LAMF, CF",LW,10,29,0,,8,788,Brazil,Brazil,right,172,70,no,MG,Testing,2024,Extremo Organizador,0.527,10,21,52,0.306406,0.350858,0.415345,0.63254,0.526879,0.387302,0.495099,0.334773,0.417819,0.395863,0.183584,0.245945,0.45805,13,21,18,4,4,6.5,14.0,5.0,14.0,13.0,15.5,17.5,11.0,38,0,14,80,80,69,33,76,33,38,26,16,47
